cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,poi_food,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US17031020901,0.0554376585905612,-0.2105506212584134,0.1091300808287698,-0.0831270683201469,0.1085076598163002,-0.0860263020068033,-0.0812372945108535,-0.1957055175594772,-0.0530185705174864,-0.1339486058031214,0.0907295160097113,-0.1415909250110827,-0.1472113889132527,-0.1847152243232733,-0.3237274946613554,-0.1285903759221123,-0.0111649878068939,0.1656699912606046,-0.0612875639927026,0.0601944665319955,0.0227170876844436,-0.0288115808587612,-0.1230958222706844,-0.0938187955153967,-0.0988704103818948,0.259795683632697,0.0764166950682147,-0.0196565414404322,0.0853945655610903,0.0653342357773671,0.0167371176045537,-0.0277380366571448,-0.0521218072507836,-0.0757158780049764,0.0111685273054976,-0.0979046360431407,-0.1392083519722066,-0.1045724950486596,0.0442509140311334,-0.00032077300892565817,-0.102263373011314,-0.0620316712834337,0.061011435517871,0.0021197680127696,0.2059247601241624,0.1249851678262688,0.042503155740272,-0.0009020889859048252,0.1684065690641692,-0.1111099343284832,-0.0485018335526989,0.0735251260248635,-0.2149525276645721,0.0162479750027943,0.2102714510841613,-0.0604211079115617,0.1210485718859767,0.0928574208429524,0.0720223471570061,0.0137412669529103,0.0135142924871259,-0.1324027526647698,-0.1939162479411452,0.0713829497282761,12.360379,6094,0.485422,12554.025157491831,9.43787627537238
1400000US17031806400,0.0220276270730542,-0.2584608274159364,0.1238601288024503,0.0226892210484687,0.1037330018584923,-0.0105006923800665,-0.0683733612002945,-0.1349005515227684,0.0229944524097942,-0.1567326906083142,0.0517963308743364,-0.1657603022460527,-0.1456456842197192,-0.1322997876486908,-0.2611154737395837,-0.018096150005716,-0.0273076985827491,0.1552172799947732,0.0003289240928849488,0.0859207025283563,-0.0107385790952154,0.0269234261634646,-0.0546933732440487,-0.0132831821370514,-0.0518392054763964,0.3302173512420481,0.0862989140518963,-0.038594351887061,0.0967344055158895,0.0373849805502588,-0.0342229434550445,-0.0175177973303253,-0.1541276285630309,-0.0305391307155305,0.1052319328337684,-0.1293681977141923,-0.1150472313968629,-0.0901706421020596,0.0068385051491505,0.0003222480797233516,-0.1883622454777155,-0.0678332651559068,0.1302741952830632,0.0267616104990444,0.1594375715210275,0.1569768815119172,0.0230172974422266,-0.0575611883555901,0.1425621709941878,-0.177595790240447,-0.0636269621953923,-0.0085935789736647,-0.2180726202343678,0.0514272405321982,0.2854723194197635,-0.0894021554089181,0.1555600641214003,0.0896432584842929,0.0212017278908371,-0.0096390643627994,0.067284399862968,-0.0298685134878551,-0.129041749392404,0.0383441123288561,0.874362,2381,1.143691,2081.8560257971776,7.641495320195824
1400000US17031803014,0.0031991518691685,-0.2653138252825689,0.122765137396196,0.0153682992597092,0.1154299549592604,0.0049024760002706,-0.0542426878589691,-0.1410036091244254,0.014046527769101,-0.1783509497094299,0.0041594819909258,-0.1650462432405499,-0.1596682792193175,-0.1075611043322487,-0.2535993096261389,0.0014155716646123,-0.0352721310755613,0.1615134307918425,0.0121400241941964,0.1065848777934049,-0.0251539636443098,-0.0074625372681139,-0.0572202032223856,-0.0076286756595003,-0.0432924019046279,0.3580450459476485,0.0826593172985883,-0.0717682228025235,0.1011174719371353,0.0143896762552796,-0.0448638680015166,-0.0089303689902526,-0.1705732034050954,-0.0280669924228417,0.0906438067028034,-0.1197358807265831,-0.1007261871905722,-0.1044507748317685,0.0172045285852893,0.0195865298387601,-0.1635024710145322,-0.0486099203586503,0.1390701760090668,0.0124689718627157,0.157589672992389,0.1389110918079739,0.0101985187010932,-0.0303201198419046,0.129000986429453,-0.1939892411008645,-0.0879063214428303,-0.0186724665410781,-0.2213848327165356,0.0687372981266394,0.3091000053315149,-0.0904920333083537,0.1377424650916613,0.111711090138588,0.0365568008088105,-0.0133249681232222,0.0558133785881784,-0.0326061589976103,-0.1371443489471189,0.0297169665667613,0.0,3348,1.26625,2644.0276406712733,7.880436794397069
1400000US17031030103,0.087973817289807,-0.2143981665653374,0.0829988354776501,-0.1050472216731815,0.0717480762029621,-0.134281853328007,-0.1146220695471984,-0.1752441730098247,-0.1456697421287713,-0.0063570188116645,0.1540729620928377,-0.0620025614487781,-0.0935773131364181,-0.1712788034414707,-0.3047475983290258,-0.1994437758657261,0.1050912338905193,0.1967047659237798,-0.0925420141260536,0.0304912594104887,0.0806254894454911,-0.0438702618132021,-0.1288125958562575,-0.099840814326099,-0.0774782489520272,0.2205079697085192,0.0246956354458475,0.0551747297816096,0.0427121333554617,0.0875138573711707,0.065568818711753,-0.0110753553544537,0.0255731887980122,-0.1402230578761214,-0.010385926987868,-0.1650324712420803,-0.1678482746082143,-0.0358214525088103,0.0749041903066928,0.0357544667591279,-0.1424871851112385,-0.083974376616369,0.0458440729871124,-0.0281870563716108,0.1867162610298114,0.136882732960764,0.0010784216427132,0.0298360133471107,0.2236090629806714,-0.0149232329853666,-0.0326119633057312,0.1158449820317732,-0.1988759092879067,0.0183862316707267,0.2127666009763751,-0.0688490966403433,0.1139310176880075,0.0987149778034645,0.1011189700384995,-0.0329460691880285,0.0248741084342942,-0.1628927302280702,-0.2135509258216777,0.0662955874082581,34.629636,2490,0.086631,28742.59791529591,10.266170340221256
1400000US17031240900,0.0193623681570447,-0.2472315769124362,0.1055209539267722,-0.0630793550653096,0.1035228322683142,-0.0366886085355992,-0.0424820349396398,-0.1670094039424952,-0.0422854445261065,-0.1964731957879503,0.0577032605524634,-0.2266373219696106,-0.1657959851964909,-0.1623472125233026,-0.2705829235630763,-0.0226601863905837,-0.0794984229987665,0.115882830478054,-0.064468657689018,0.1045922321547655,-0.0372979554331271,-0.0522620152472268,-0.0949474276631723,-0.0334843293757268,-0.0538509931503317,0.2500034756185216,0.0685742419650058,-0.1231020732951334,0.1454471560263286,0.0568586282157103,-0.0468968627034952,-0.04101435632424,-0.1331452656669616,-0.0339250285890256,-0.0255386596969096,0.0046096359695001,-0.0668623436091887,-0.1307751564246413,-0.0242025638518808,0.0087912593260324,-0.1163673315657534,-0.0098415219500664,0.0502512910886093,0.0204899725195979,0.1645600848642302,0.1243328757255121,0.0449899360500954,-0.0077807349276891,0.1099597806587006,-0.1483331822437965,-0.1127254165860612,0.0495036978241473,-0.2063092100714695,0.0550856856609811,0.2165782632952249,-0.0443332371773128,0.1133415541250921,0.1002924033232182,0.0312904708310074,0.1171672136644705,-0.0102990411976544,-0.1302739748731501,-0.1334377266972123,0.0707541005152276,5.218891,983,0.958058,1026.0339144394181,6.934430232206509
1400000US17031836500,-0.0042437269674122,-0.224270794262923,0.1037151496830833,-0.0308010561606271,0.1037531972924878,-0.0443633129947084,-0.1469207126247195,-0.1652163339017192,-0.0553308660888892,-0.1086493881292476,0.0738840355979741,-0.1789662930581602,-0.1353089758978979,-0.1700004676220635,-0.3312138236125663,-0.1163653752275744,-0.0433076884697899,0.1586720433421085,-0.1091133435662345,0.0847951414263255,-0.0300384330552058,-0.0451805833145012,-0.100915881834448,-0.0724312062399174,-0.098863967959084,0.2924873404533195,0.080993902325686,-0.0586966492629082,0.0831046348390176,0.0826593099346209,-0.0214432890853292,-0.0386180026668153,-0.0550553056027579,-0.0758230471153686,-0.0046649585743592,-0.0523625068847077,-0.0413167376415216,-0.0961778724761371,0.0493096822224374,0.0456517467836308,-0.1251876074283428,-0.0361662582310777,0.0775403666430899,0.0150438165786695,0.2080625009171457,0.151731131009506,0.0907894184366357,-0.0191016804067333,0.1950610266358702,-0.1653455815095585,-0.0148733086608888,0.1080438273398468,-0.1787881270953723,0.0539988358362853,0.2186133655777333,-0.0562953414863925,0.1389219570081188,0.0979398019747738,0.036056032471363,0.0388417686288205,0.0055386761599815,-0.117068584895416,-0.1490029456276847,0.0411133553057005,0.0,1791,0.468075,3826.30988623618,8.249917455817796
1400000US17031063200,0.0379676867424575,-0.233784157053671,0.0401499096951007,-0.101220990396583,0.0736022034998277,-0.1037247062141813,-0.0880031243684019,-0.1386159832210436,-0.0905368980569182,-0.0910148544764432,0.1406820722223456,-0.1217137739640433,-0.1143193304500636,-0.1870786938707138,-0.22768990279895,-0.1135002664218113,0.0101518276730562,0.1314259220687117,-0.1221184172394505,0.0702385001477159,0.0290519068011687,-0.0071464989627996,-0.1196504432238043,-0.030557207846605,-0.1093181367896696,0.1765250927892523,0.0481921818395563,-0.0680713081234948,0.081000114769768,0.0709794639342543,-0.0156210129369967,0.0014624164633906,-0.0040460461192111,-0.0902872873885064,-0.0173709542006345,-0.0796822877862272,-0.0932301925055466,-0.0785777277942608,0.0329585092715014,0.0219925122878014,-0.1386292324403687,-0.0502835336423273,0.0927968146867835,-0.0043377242547581,0.1698573035860657,0.1763757321555121,0.0179305423926564,0.0392471890437446,0.1833138987036097,-0.0844105252073348,-0.0636937485203805,0.1204831351343891,-0.1902794326223112,0.0294805094801148,0.2001085517228631,-0.0390808483635766,0.0878763240780371,0.1005481779794855,0.0828539452188726,0.0334312560852328,-0.0023457655124843,-0.163421256143278,-0.1328123588032286,0.1059125293934045,13.632187,6285,0.366779,17135.659347999746,9.748975269304891
1400000US17031825400,-0.0563403558333778,-0.1681885057878707,0.0793505545236204,-0.042762426058487,0.0974873419299075,-0.0885179604942843,-0.0729753601153296,-0.0881104908934916,0.019422421868377,-0.1373329640100148,0.0318322715091705,-0.1940440146977076,-0.0957580024126528,-0.1045412838755743,-0.3211118184187896,0.0034077795684696,-0.1320295079664903,0.1002498549924161,-0.1116338915919832,0.1096356952771321,-0.0495387513928738,-0.0482589677550308,-0.0770488591990832,0.0239214299100739,-0.0423727516481107,0.2079223881377147,0.0114760374659424,-0.1254008798385872,0.1318757338822837,0.0619464146425208,-0.0827134465375508,0.00044004013904287617,-0.0710226085188718,-0.0426520271924278,-0.0317041373472056,-0.003896038894203,-0.0462905399779788,-0.1091461313137126,0.0368462817755756,-0.0577726019139474,-0.0716050186340982,0.0140093195043368,0.1022001922121716,0.0200177035071356,0.1233225608497552,0.1172696819878776,0.1031848751133568,-0.0747425568274339,0.1519812726891879,-0.2344637331485565,-0.0833042776277569,0.0764828804666066,-0.1383402892097914,0.0578558605968789,0.2202025074761381,0.0363526942535017,0.1295111164762588,0.0746993709532232,0.0240182117108503,0.0013818465404857,-0.0213855103396227,-0.1216777551888831,-0.1168641628228409,0.0607133818098186,0.805908,5459,7.44502,733.2418180206366,6.5988384267012
1400000US17031081700,0.1311708566606607,-0.233373658251342,0.1031660058593477,-0.1673009134159074,0.0362026469323619,-0.1780461571582659,-0.0019436073169601,-0.1192822111347455,-0.1818037637638946,-0.0259095960404565,0.1583187841968241,0.0253023285758352,-0.0279294820991466,-0.1348578529092887,-0.2154934429350131,-0.1925699965038506,0.1782627417337971,0.2029890927159683,-0.0549582283369136,0.0131057266296817,0.0987933335245384,-0.0298882502879875,-0.1229074747527554,-0.020832277167071,0.0259942926481509,0.1597473720489819,0.0127212397546426,0.0205254389337434,0.0898761075526386,0.0827205584351288,0.0369106528723063,-0.0438170496154296,-0.0187119624337604,-0.1357117798207682,0.0107321256188601,-0.1924376389943239,-0.2699775309779526,-0.0553704762592823,0.0998048812247099,-0.0642148264565443,-0.1720773625601253,-0.088310718487127,0.0252628193049887,-0.0691040333752169,0.1285636659201195,0.1725269705109666,-0.075684965117772,0.0828027233902072,0.2044892929367739,0.048003323580662,-0.0931007020495374,0.0942629629508614,-0.1987507238263484,0.0052321853402065,0.2247936987505229,-0.0815436884944254,0.0743102922691292,0.0280263093406001,0.1144339414745327,-0.0578337694141269,0.0412820424385817,-0.0936971942584732,-0.1800983350995603,0.0845815360959569,286.749128,4377,0.359199,12185.44595057336,9.408079625459163
1400000US17031320400,0.0575984299053191,-0.2387594696349612,0.0838426817786805,-0.0904218606135611,0.0671571806543476,-0.1003363953252401,-0.0892498727866933,-0.154672025797393,-0.0960974753129931,-0.0851933995179855,0.108514013363187,-0.1154626121005699,-0.1195332610320108,-0.1739742599241332,-0.2629000971529533,-0.1503272407294161,0.0256192913285496,0.1450100405747448,-0.1066803683710712,0.0709426200592147,0.0414991970913472,-0.0441853116969088,-0.1462671662845094,-0.0814222310210658,-0.0945666103217522,0.2187473298386844,0.0704648111028026,-0.0305596401862576,0.0740490767407983,0.0879932006255682,0.0275739929880813,-0.0385619253910787,-0.0234136752228334,-0.0854498631317766,-0.029741581308104,-0.0864207066724346,-0.1094556324972476,-0.0928854211693771,0.0629184896841637,0.0458049044085296,-0.1318943436900314,-0.0031337421677464,0.0584440191859011,-0.0395075720370595,0.1727664122740693,0.1507619285489111,0.019194595695829,0.0291094229463806,0.1760168955939252,-0.0764304610863346,-0.0665870269271544,0.1262704267322928,-0.2004215995396255,0.0295854494566388,0.2095564093041763,-0.0457227962305459,0.1200000419532491,0.1105993506374044,0.0636147458073892,0.0262999725914887,0.0092879890143716,-0.1612030264280241,-0.1783066676497333,0.0689779698102718,59.692286,3049,0.804124,3791.7037670806994,8.240834438739311
