cb_2020_3,tcc_mean
1400000US36001000100,18.302703881141884
1400000US36001000201,18.363048087228
1400000US36001000202,25.343550418883382
1400000US36001000301,17.640589860566728
1400000US36001000302,27.034572271628438
1400000US36001000401,37.35192972898199
1400000US36001000403,19.359856954783094
1400000US36001000404,23.241717729293637
1400000US36001000501,12.33620453030442
1400000US36001000502,18.725682314287127
1400000US36001000600,6.246116278584398
1400000US36001000700,27.429967419529756
1400000US36001000800,7.420520555204533
1400000US36001001100,5.131152483605941
1400000US36001001400,20.857122091042477
1400000US36001001500,17.250348683492426
1400000US36001001600,21.239408476299
1400000US36001001700,29.361828489623587
1400000US36001001802,38.73953311504662
1400000US36001001803,36.2742202736772
1400000US36001001804,42.48256453798987
1400000US36001001901,23.870768931740052
1400000US36001001902,28.22845301454486
1400000US36001002000,39.16928016135261
1400000US36001002100,14.021738553865365
1400000US36001002200,10.133497040496229
1400000US36001002300,20.289800537247512
1400000US36001002500,7.934844218202819
1400000US36001002600,20.97398879550117
1400000US36001012700,18.86681665484254
1400000US36001012800,20.47093989945334
1400000US36001012900,28.35961700766525
1400000US36001013000,36.475442024528405
1400000US36001013100,16.843791846803718
1400000US36001013200,10.547849844545455
1400000US36001013300,20.715492229686085
1400000US36001013400,12.96167676420809
1400000US36001013503,31.80116587974263
1400000US36001013505,33.75592673625121
1400000US36001013507,34.54466295496378
1400000US36001013509,40.16768926385188
1400000US36001013510,33.89703832192128
1400000US36001013511,36.16476001589527
1400000US36001013512,47.45743215617162
1400000US36001013602,37.034374337990165
1400000US36001013603,42.40774269628924
1400000US36001013604,41.24198293737118
1400000US36001013703,32.62585156183745
1400000US36001013706,44.81115686171001
1400000US36001013707,47.41589374991654
1400000US36001013708,25.456622442520686
1400000US36001013709,42.16366325495175
1400000US36001013802,52.62450931230934
1400000US36001013803,41.38291061573341
1400000US36001013804,47.912148924829516
1400000US36001013901,31.59061321811403
1400000US36001013902,36.3173570676243
1400000US36001014001,15.729010308911368
1400000US36001014002,27.13409369121906
1400000US36001014100,60.54346114159934
1400000US36001014201,52.27320398590634
1400000US36001014202,51.309097405025916
1400000US36001014203,45.82082819280679
1400000US36001014301,44.95618907068362
1400000US36001014303,44.2187099120638
1400000US36001014304,39.6573305077949
1400000US36001014401,60.034290170874925
1400000US36001014402,38.631896593829815
1400000US36001014501,54.25216390187098
1400000US36001014502,56.13528961496439
1400000US36001014503,51.26348502104605
1400000US36001014606,41.66489244289453
1400000US36001014608,32.908932403903044
1400000US36001014609,53.27131033745096
1400000US36001014611,52.3874472665798
1400000US36001014612,46.9731594591419
1400000US36001014613,46.48574190007902
1400000US36001014614,54.179920474606405
1400000US36001014615,44.24976693760652
