cb_2020_3,impervious_mean,building_density,poi_total_all,poi_diversity,ntl_sum,road_density_local,ndvi_mean,slope_mean,dist_water_m
1400000US01001020100,6.757964682322957,0.0,0.916002,0.0,140.15847778320312,8898.483853701193,0.7078919183104994,5.070172858411069,1104.3800586885354
1400000US01001020200,21.777145951800705,1.204523,3.613568,0.693147,199.77267456054688,19810.26719136605,0.6349189437779458,3.721003141433425,1245.9678113004286
1400000US01001020300,19.74728215420639,8.786244,1.869414,0.693147,251.70292663574224,28702.606255072173,0.6284922850141217,3.826189663251278,1485.0080222086783
1400000US01001020400,19.644039032668648,0.0,0.939808,0.0,303.9786071777344,13152.01794345174,0.6410646453366246,3.427577713711308,1086.7570390384449
1400000US01001020501,25.62369640787949,0.0,0.644781,-0.0,519.1950073242188,8022.862125776485,0.5564489785920995,2.652622483343655,1527.9098154870935
1400000US01001020502,43.055908513341805,0.476783,0.953566,-0.0,319.47930908203125,0.0,0.4885528644629521,2.972404455202703,931.0085530936748
1400000US01001020503,31.91812195820212,0.0,0.965306,0.0,271.7850341796875,2520.343224068324,0.5402526687681996,3.242783390073438,711.8562040582142
1400000US01001020600,18.046335486745377,48.497745,0.746119,-0.0,331.182373046875,11161.639932893764,0.6551322395470964,2.7070898962322474,1377.651689690542
1400000US01001020700,9.14179684464133,1.427816,0.758527,-0.0,805.6941528320312,5519.140579200227,0.6302614335361807,3.291976130000234,699.337340631786
1400000US01001020801,1.9102279988579665,3.564742,0.112656,-0.0,1426.7359619140625,1078.892367086322,0.6953532331768159,3.101628804826688,621.7156499844691
1400000US01001020803,1.3041252509255594,0.0155,0.155003,0.693147,489.2232666015625,964.8374225211378,0.7401444498915787,4.807376557688217,902.9473787118114
1400000US01001020804,6.935615877779293,8.833039,0.15164,-0.0,524.00048828125,2497.0979475216304,0.6766738356663052,5.7542351705880606,1144.364713095043
1400000US01001020805,3.2720929642503744,0.0,0.25397,0.0,340.2665710449219,1560.3667453809103,0.7443387465201486,5.744540518672538,1350.3131345218917
1400000US01001020901,1.7570308505198569,0.038004,0.123513,-0.0,423.5109252929688,642.3477764988855,0.739232587289596,4.922838464722767,778.0364828116772
1400000US01001020902,0.971425010426204,0.016,0.101331,-0.0,431.8919677734375,0.0,0.7211940146833058,4.483695477355023,1107.3700098627214
1400000US01001021000,0.7448848349173022,0.082716,0.074961,0.673012,640.4640502929688,178.55668276176482,0.7491219840889242,5.761180740340072,1255.7872565152593
1400000US01001021100,0.5822204253077115,2.672792,0.07529,-0.0,625.9554443359375,284.2770448391545,0.747494022627495,4.839448042901286,1349.3811052820442
1400000US01051030101,1.507099132800544,0.0,0.157239,-0.0,365.391845703125,337.4917580711541,0.6537720313605134,5.0431382815834365,679.9622074883246
1400000US01051030102,2.3929847631571426,0.0,0.068557,-0.0,265.3253173828125,881.008435210939,0.6226096434250586,1.7417434157739669,607.2319135372745
1400000US01051030103,1.6742636278821803,0.016912,0.152206,0.0,445.5441284179688,996.197787297767,0.6263972675666958,2.5632943878758705,796.0151015780576
1400000US01051030200,0.9646377728370714,0.074779,0.106826,-0.0,569.4866943359375,366.5626263983982,0.7358183612148945,5.603879316934562,688.6782490043718
1400000US01051030300,1.9417140679857388,0.041707,0.158488,0.0,636.7765502929688,714.2926301192687,0.4691117913951771,5.059849268427553,336.4020478485071
1400000US01051030401,0.9486726915930308,0.033503,0.117261,-0.0,677.177978515625,653.6537782765712,0.7175735987997452,4.50591840074047,907.817177199211
1400000US01051030402,2.330548165087183,0.038425,0.1537,0.636514,780.3043212890625,1640.5807042887698,0.718435159489751,5.458813523062268,519.5625074819292
1400000US01051030500,1.633607047926113,0.0,0.205647,0.661563,888.7906494140626,1642.8715356529206,0.7195608009994279,4.422722613223876,499.3689523222358
1400000US01051030600,2.4797724188189045,0.068761,0.145161,-0.0,1067.46923828125,2204.2672944365704,0.7075866237033033,3.994097491852214,494.36034743960016
1400000US01051030701,3.074511819116136,0.075557,0.14032,-0.0,949.3885498046876,482.6604897240008,0.7211041609378086,4.477791231208934,738.9415552036432
1400000US01051030702,2.0310544611819235,0.037827,0.226963,1.357978,1047.99755859375,1808.3645063572908,0.7478164735859044,5.431094432001987,557.1324092229567
1400000US01051030801,26.096302998965875,0.77489,6.509074,1.109348,630.9946899414062,27394.63454670309,0.5615076755252403,2.7818122841668,416.7187963567626
1400000US01051030802,3.699887782297657,0.168511,0.210639,-0.0,615.3995361328125,2434.930847680809,0.6537131540589107,1.9194863402560256,479.7458156203626
1400000US01051030901,4.7966000596480765,0.73763,0.147526,-0.0,408.3705444335938,0.0,0.7119693713847726,4.352204497043176,1083.0611408607
1400000US01051030902,5.038656292453996,0.700334,0.31515,-0.0,435.4324645996094,3197.0295537369407,0.6828874404313542,1.86517486132138,557.5109105319159
1400000US01051031001,9.926928905580812,0.589162,0.368226,0.0,544.9144287109375,7058.790478798253,0.6988984767940363,2.971995335889392,953.8074186571698
1400000US01051031002,11.726879394267172,0.804247,0.603185,0.562335,342.3211669921875,9590.331060289533,0.6711906741470715,4.824098123209978,972.7420164135336
1400000US01051031100,13.456388258053662,0.379034,0.473792,-0.0,377.4202880859375,8824.418932403287,0.6671604169379445,2.088946272225373,462.08244540403183
1400000US01051031200,2.438216498365774,1.09045,0.262516,0.693147,618.1944580078125,1683.6494044625076,0.6596038917263478,1.5374669468908695,480.0435200187317
1400000US01051031300,10.443377928084749,1.314681,0.563435,0.9557,1762.3577880859375,5107.254399605029,0.5897578593640769,2.305658255975169,528.2857541915116
1400000US01085780800,1.1277334051933594,0.087121,0.144371,1.006215,1435.49462890625,856.3467354814381,0.7304401268208203,2.252253967256608,504.0881717944815
1400000US01085781000,0.5526608145234232,0.019309,0.138671,0.474139,626.089599609375,281.74137052168174,0.7372596099605293,2.3977200539037327,740.1391728501048
1400000US01085781100,0.4215601140528098,0.0,0.100417,-0.0,198.49728393554688,152.7152805261316,0.7690600763766129,4.109573380434775,933.4899831006572
1400000US01085781200,0.642902838034455,0.004211,0.08633,0.900256,571.473876953125,285.1450073391705,0.770227828645993,4.128360799562332,845.9457686416196
1400000US01101000100,69.66950135291845,81.485621,23.154384,1.007951,1192.071533203125,21753.90680553977,0.297958346723797,3.1623247840328856,436.0669808203684
1400000US01101000200,61.68859198355601,24.468535,5.690357,0.562335,492.0448303222656,24310.887809468524,0.421919274689043,2.477737062898317,868.9576781209845
1400000US01101000300,16.98740142020354,1.360726,0.552795,-0.0,1265.002197265625,1868.912641828108,0.5020026956855572,1.1976459255531402,232.3432767034725
1400000US01101000400,26.06074100463128,0.592931,1.976438,-0.0,430.4059753417969,0.0,0.6911162615969347,3.1554793619857624,1081.1723875477624
1400000US01101000500,42.91907514450867,2.342549,4.09946,-0.0,232.06304931640625,30355.085487153752,0.5855964765861323,2.020499310588617,1927.420005502412
1400000US01101000600,58.08704883227176,7.712964,8.306269,-0.0,651.927978515625,29747.93357877181,0.427998887272743,2.586500732851343,1560.5334774396238
1400000US01101000700,48.42782495101241,1.451883,8.711301,-0.0,340.65234375,57804.7082963272,0.5492569555035384,1.972397469344705,1665.8782998635347
1400000US01101000900,34.87387219793508,4.17224,1.804212,0.693147,787.0743408203125,0.0,0.4593889321256726,0.9005657499180536,563.9718188798021
1400000US01101001000,38.10127677991777,5.013948,2.506974,0.636514,576.685546875,0.0,0.5359600874590241,0.9314837300433756,1403.2007998844429
1400000US01101001100,41.429475816662446,5.895774,8.422535,-0.0,433.6632690429688,5720.448856188036,0.5752470674850073,2.8435634117901647,1460.840385694481
1400000US01101001200,48.21392677674085,0.0,8.822798,1.332179,243.75912475585932,16256.41150009371,0.5476273652779156,1.7596685962557712,1709.4576311749058
1400000US01101001300,33.78705553335997,0.443217,5.761824,1.098612,383.4035949707031,27158.238520031613,0.5943269165936406,1.168380859102992,2115.9850821534365
1400000US01101001400,30.29631959735766,9.790405,3.146916,0.636514,408.7000122070313,34320.54270674264,0.6307025113858133,1.443379702524444,1562.371215282966
1400000US01101001500,45.26137645731478,8.402736,5.041642,-0.0,520.87890625,45108.8035789047,0.5148840549167871,1.472998865172496,1226.781988121251
1400000US01101001600,42.76681759379043,1.0799,6.4794,1.242453,575.0682373046875,17597.964624611373,0.5624048474186872,1.9443770257197404,1505.7249125927688
1400000US01101001700,31.81289279942539,2.976176,5.753941,0.636514,620.5589599609375,0.0,0.6288874657046402,3.1144246000504543,925.7329344846584
1400000US01101001800,39.63007489160426,7.463257,2.853598,1.329661,665.834228515625,12247.844946086268,0.562025501896104,1.647234224601347,1819.9378023524573
1400000US01101001900,32.18411000763942,0.0,1.270655,0.0,269.849609375,0.0,0.6339778111386444,2.679652818596784,1821.4686069897489
1400000US01101002000,32.347872830594376,1.539812,1.368722,0.636514,621.1190185546875,34672.17966413773,0.6237702014870847,1.2980714072637014,874.4357747063599
1400000US01101002100,34.68920056100982,0.311168,1.867009,-0.0,281.0014953613281,55345.85968484911,0.614963651388489,1.0790050713247612,1224.1692648532444
1400000US01101002201,34.153225806451616,0.640806,0.640806,-0.0,304.1568908691406,59367.85875148936,0.6289009034285543,0.8576003741827539,1493.644311388099
1400000US01101002202,20.4562253862466,0.345822,3.112398,-0.0,233.3061065673828,76172.28014329949,0.6674470538932767,0.6056453971554817,464.6662215798245
1400000US01101002300,34.575274725274724,0.941714,2.197333,-0.0,386.9187316894531,45135.734786845765,0.5832324357112117,0.8418061957425158,568.9637533845765
1400000US01101002400,37.30971128608924,0.0,2.156905,0.693147,512.8238525390625,55796.35242919736,0.5843298654514848,0.939449687086514,728.9156015932172
1400000US01101002500,43.80493139789223,0.0,1.336877,-0.0,547.07421875,21237.186023752107,0.500223901285411,0.987224279555988,640.3557210611682
1400000US01101002600,43.70903494477639,0.604202,1.007003,-0.0,662.1244506835938,42200.74877796126,0.5343576759022536,1.032010948418462,1311.3998475550927
1400000US01101002700,28.945124212087503,0.550155,1.375389,0.693147,926.8765869140624,21372.71467713877,0.6283679538390817,2.495271518451451,1793.9679684203247
1400000US01101002800,54.08354822073234,1.146322,2.006063,1.098612,561.6820068359375,104472.07190473746,0.4714569164966793,1.2837949582493506,1960.60854098358
1400000US01101002901,43.21860767729343,0.0,2.138466,-0.0,235.07345581054688,213289.5607138881,0.5446556250006129,1.148500804887313,1198.42418864208
1400000US01101002902,30.474918891939108,0.0,0.558064,0.0,419.2440490722656,38323.49486530192,0.6234624520195782,0.8939524159015615,1585.3428105377302
1400000US01101003000,24.64481525625745,0.094596,1.040559,-0.0,712.6923217773438,16866.753996595,0.6200698319620501,0.4292483632301597,1105.754412942946
1400000US01101003100,34.546256946714614,0.7273,0.36365,0.0,302.94659423828125,57942.52126453936,0.5918372711405455,0.7618220429522318,990.1675501560576
1400000US01101003200,15.663157894736845,1.578434,1.262747,-0.0,622.8309936523438,14438.819589275983,0.6889986748983589,0.8825802328758127,961.0051706904236
