cb_2020_3,dist_water_m
1400000US36001000100,530.1556647762652
1400000US36001000201,780.3342836733099
1400000US36001000202,723.8453044614514
1400000US36001000301,1327.3497870545389
1400000US36001000302,1293.235860728153
1400000US36001000401,1445.7422210884486
1400000US36001000403,1109.8138991213962
1400000US36001000404,504.63375762399295
1400000US36001000501,1335.2721254745647
1400000US36001000502,1262.5638321862475
1400000US36001000600,633.254406146504
1400000US36001000700,688.8943962332302
1400000US36001000800,773.6071767295849
1400000US36001001100,272.00661944002616
1400000US36001001400,392.85142642321625
1400000US36001001500,576.7217372469562
1400000US36001001600,1175.0966134531834
1400000US36001001700,780.3549312855074
1400000US36001001802,936.8901797967968
1400000US36001001803,644.7303301464578
1400000US36001001804,1253.5059855990437
1400000US36001001901,1248.142442013683
1400000US36001001902,1069.4702679950717
1400000US36001002000,611.9525062454843
1400000US36001002100,495.8852493240117
1400000US36001002200,352.6882241592727
1400000US36001002300,347.2590820543327
1400000US36001002500,351.8663557756314
1400000US36001002600,505.3839622951135
1400000US36001012700,91.6372236018342
1400000US36001012800,305.29217732380494
1400000US36001012900,221.80885579919155
1400000US36001013000,717.8626966030834
1400000US36001013100,184.34610476763098
1400000US36001013200,276.94292287626683
1400000US36001013300,580.9589217447804
1400000US36001013400,273.2177417980273
1400000US36001013503,1023.104825039721
1400000US36001013505,984.2473348733932
1400000US36001013507,2441.606014475152
1400000US36001013509,975.1155427266473
1400000US36001013510,1790.7293394207948
1400000US36001013511,998.5116605416823
1400000US36001013512,724.1435907066713
1400000US36001013602,474.33215752871007
1400000US36001013603,796.6230091126355
1400000US36001013604,737.4950037743041
1400000US36001013703,766.4052668086803
1400000US36001013706,714.2355359916335
1400000US36001013707,1245.2638808273575
1400000US36001013708,786.4026326575467
1400000US36001013709,1047.2523824925097
1400000US36001013802,2061.3039086583894
1400000US36001013803,2329.9306984150635
1400000US36001013804,1461.6619774569072
1400000US36001013901,1009.7533990527419
1400000US36001013902,1127.0127532916758
1400000US36001014001,908.4369302655829
1400000US36001014002,2037.5293599779418
1400000US36001014100,2321.405053425762
1400000US36001014201,1096.420429468556
1400000US36001014202,2310.200467140736
1400000US36001014203,2807.9342137107305
1400000US36001014301,840.5320488736755
1400000US36001014303,1646.5544234827437
1400000US36001014304,1568.9977258592307
1400000US36001014401,850.2027666615955
1400000US36001014402,844.2104604628265
1400000US36001014501,1120.8932198169211
1400000US36001014502,964.1328194769285
1400000US36001014503,928.1983820522433
1400000US36001014606,1102.1348649564993
1400000US36001014608,1153.634541490846
1400000US36001014609,1100.7675158867905
1400000US36001014611,914.2147447481187
1400000US36001014612,2216.680587023127
1400000US36001014613,1076.6669440800906
1400000US36001014614,885.2517330384907
1400000US36001014615,727.770462624279
1400000US36001014616,2020.7488127039978
1400000US36001014617,1295.3942569613803
1400000US36001014700,1014.3849498699796
1400000US36001014801,914.3571422175513
1400000US36001014802,1294.8622450767593
1400000US36001014803,765.1604565917482
1400000US36083040100,287.36588114592996
1400000US36083040200,354.04855925541193
1400000US36083040300,200.10346200218186
1400000US36083040400,189.85502389384555
1400000US36083040500,491.20710866382797
1400000US36083040600,794.7818917066745
1400000US36083040701,202.17158117788594
1400000US36083040702,785.8863776781609
1400000US36083040800,366.9085549801984
1400000US36083040900,633.4739451438599
1400000US36083041000,534.5751090367097
1400000US36083041101,1753.0343380234178
1400000US36083041102,1061.7588500162624
1400000US36083041200,1086.9269268951361
1400000US36083041300,876.2147225286591
1400000US36083041400,468.4825349109914
1400000US36083051500,445.49780328280826
1400000US36083051601,463.0492465589352
1400000US36083051602,1059.5457475505548
1400000US36083051701,1199.52547602863
1400000US36083051702,472.8621385871759
1400000US36083051800,839.7747896102854
1400000US36083051901,729.1516281052681
1400000US36083051902,840.0193710157184
1400000US36083052002,856.5895997195797
1400000US36083052003,821.0237829415844
1400000US36083052004,988.547515889142
1400000US36083052101,752.086336283099
1400000US36083052102,2874.280984365921
1400000US36083052103,1948.2770750344607
