rank,cbsa_code,cbsa_title,population_2020,n_tracts,n_counties,n_missing_counties,missing_fips
97,27140,"Jackson, MS",596287,160,7,0,
98,37340,"Palm Bay-Melbourne-Titusville, FL",594001,148,1,0,
99,25420,"Harrisburg-Carlisle, PA",574691,132,3,0,
100,16860,"Chattanooga, TN-GA",561055,136,6,0,
101,44060,"Spokane-Spokane Valley, WA",558635,145,2,0,
102,42540,"Scranton--Wilkes-Barre, PA",554787,168,3,0,
103,29620,"Lansing-East Lansing, MI",547786,154,4,0,
104,33700,"Modesto, CA",546235,112,1,0,
105,29540,"Lancaster, PA",543050,116,1,0,
106,49660,"Youngstown-Warren-Boardman, OH-PA",538115,164,3,0,
107,38860,"Portland-South Portland, ME",536314,149,3,0,
108,22220,"Fayetteville-Springdale-Rogers, AR",526101,115,3,0,
109,22180,"Fayetteville, NC",523480,121,3,0,
110,30460,"Lexington-Fayette, KY",514273,138,6,0,
111,42220,"Santa Rosa-Petaluma, CA",496801,122,1,0,
112,37860,"Pensacola-Ferry Pass-Brent, FL",496278,116,2,0,
113,29180,"Lafayette, LA",490220,136,5,0,
114,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",481489,122,2,0,
115,38940,"Port St. Lucie, FL",481334,111,2,0,
116,39900,"Reno, NV",468268,140,2,0,
117,44180,"Springfield, MO",466897,117,5,0,
118,26620,"Huntsville, AL",464607,118,2,0,
119,47300,"Visalia, CA",463955,103,1,0,
120,11700,"Asheville, NC",459344,123,4,0,
121,28660,"Killeen-Temple, TX",452428,112,3,0,
122,49620,"York-Hanover, PA",447628,108,1,0,
123,42200,"Santa Maria-Santa Barbara, CA",444895,109,1,0,
124,46700,"Vallejo, CA",444538,100,1,0,
125,41500,"Salinas, CA",432977,104,1,0,
126,33660,"Mobile, AL",430313,140,2,0,
127,18580,"Corpus Christi, TX",429120,113,2,0,
128,41420,"Salem, OR",428472,81,2,0,
129,15180,"Brownsville-Harlingen, TX",422135,122,1,0,
130,39740,"Reading, PA",419062,107,1,0,
131,31700,"Manchester-Nashua, NH",415305,103,1,0,
132,25060,"Gulfport-Biloxi, MS",414662,148,4,0,
133,41540,"Salisbury, MD-DE",411137,121,4,0,
134,23060,"Fort Wayne, IN",409419,104,2,0,
135,22420,"Flint, MI",406770,134,1,0,
136,37900,"Peoria, IL",403747,107,6,0,
137,11260,"Anchorage, AK",399450,85,2,0,
138,15940,"Canton-Massillon, OH",398711,97,2,0,
139,43340,"Shreveport-Bossier City, LA",397590,116,3,0,
140,13140,"Beaumont-Port Arthur, TX",394268,114,3,0,
141,42340,"Savannah, GA",390211,113,3,0,
142,45220,"Tallahassee, FL",384783,104,4,0,
143,19340,"Davenport-Moline-Rock Island, IA-IL",380274,109,4,0,
144,34940,"Naples-Marco Island, FL",379345,109,1,0,
145,21660,"Eugene-Springfield, OR",377749,93,1,0,
146,33860,"Montgomery, AL",373552,112,4,0,
147,11460,"Ann Arbor, MI",368385,107,1,0,
148,45940,"Trenton-Princeton, NJ",368085,84,1,0,
149,25860,"Hickory-Lenoir-Morganton, NC",367982,81,4,0,
150,36100,"Ocala, FL",360210,93,1,0,
151,26580,"Huntington-Ashland, WV-KY-OH",359481,107,7,0,
152,22660,"Fort Collins, CO",350523,86,1,0,
153,40420,"Rockford, IL",336928,90,2,0,
154,30700,"Lincoln, NE",333193,85,2,0,
155,23540,"Gainesville, FL",327329,76,3,0,
156,14500,"Boulder, CO",324682,78,1,0,
157,43780,"South Bend-Mishawaka, IN-MI",322494,97,2,0,
158,24580,"Green Bay, WI",320827,76,3,0,
159,31180,"Lubbock, TX",320031,112,3,0,
160,17980,"Columbus, GA-AL",319643,96,7,0,
161,24540,"Greeley, CO",315389,83,1,0,
162,21780,"Evansville, IN-KY",315186,96,4,0,
163,43900,"Spartanburg, SC",313791,87,1,0,
164,40220,"Roanoke, VA",313289,78,6,0,
165,28700,"Kingsport-Bristol, TN-VA",307267,79,5,0,
166,17300,"Clarksville, TN-KY",304584,80,4,0,
167,10380,"Aguadilla-Isabela, PR",295172,86,9,0,
168,28420,"Kennewick-Richland, WA",294396,67,2,0,
169,48900,"Wilmington, NC",293339,71,2,0,
170,46540,"Utica-Rome, NY",290812,95,2,0,
171,20260,"Duluth, MN-WI",289276,104,4,0,
172,25180,"Hagerstown-Martinsburg, MD-WV",285990,68,3,0,
173,30980,"Longview, TX",285554,70,4,0,
174,36500,"Olympia-Lacey-Tumwater, WA",284698,62,1,0,
175,42020,"San Luis Obispo-Paso Robles, CA",282517,70,1,0,
176,18880,"Crestview-Fort Walton Beach-Destin, FL",278479,70,2,0,
177,29700,"Laredo, TX",274847,69,1,0,
178,32900,"Merced, CA",273661,63,1,0,
179,42100,"Santa Cruz-Watsonville, CA",273170,70,1,0,
180,21500,"Erie, PA",272046,74,1,0,
181,16300,"Cedar Rapids, IA",271734,68,3,0,
182,47380,"Waco, TX",271326,64,2,0,
183,14740,"Bremerton-Silverdale-Port Orchard, WA",268945,60,1,0,
184,35980,"Norwich-New London, CT",266868,67,1,0,
185,12100,"Atlantic City-Hammonton, NJ",264650,74,1,0,
186,43620,"Sioux Falls, SD",264437,64,4,0,
187,11100,"Amarillo, TX",264345,72,5,0,
188,28020,"Kalamazoo-Portage, MI",264322,68,1,0,
189,31340,"Lynchburg, VA",262937,69,5,0,
190,17780,"College Station-Bryan, TX",261701,76,3,0,
191,16620,"Charleston, WV",260920,81,5,0,
192,46220,"Tuscaloosa, AL",251878,76,4,0,
193,49420,"Yakima, WA",250649,57,1,0,
194,22900,"Fort Smith, AR-OK",250260,63,4,0,
195,22020,"Fargo, ND-MN",243966,60,2,0,
196,13780,"Binghamton, NY",240473,68,2,0,
197,11540,"Appleton, WI",236834,58,2,0,
198,39150,"Prescott Valley-Prescott, AZ",232396,72,1,0,
199,45820,"Topeka, KS",232248,60,5,0,
200,29200,"Lafayette-West Lafayette, IN",230353,56,4,0,
201,46340,"Tyler, TX",230184,56,1,0,
202,31420,"Macon-Bibb County, GA",229565,68,5,0,
203,16580,"Champaign-Urbana, IL",226418,52,2,0,
204,13380,"Bellingham, WA",224538,54,1,0,
205,17020,"Chico, CA",223344,54,1,0,
206,38660,"Ponce, PR",220601,71,4,0,
207,40340,"Rochester, MN",219848,52,4,0,
208,15540,"Burlington-South Burlington, VT",219764,54,3,0,
209,25940,"Hilton Head Island-Bluffton, SC",219290,50,2,0,
210,32780,"Medford, OR",218781,52,1,0,
211,19300,"Daphne-Fairhope-Foley, AL",218289,44,1,0,
212,29740,"Las Cruces, NM",217696,61,1,0,
213,16820,"Charlottesville, VA",217455,55,5,0,
214,12700,"Barnstable Town, MA",213505,57,1,0,
215,49740,"Yuma, AZ",211931,67,1,0,
216,29420,"Lake Havasu City-Kingman, AZ",210998,66,1,0,
217,12020,"Athens-Clarke County, GA",210810,58,4,0,
218,29340,"Lake Charles, LA",209821,61,2,0,
219,26380,"Houma-Thibodaux, LA",209277,62,2,0,
220,44100,"Springfield, IL",208224,57,2,0,
221,17860,"Columbia, MO",207248,48,3,0,
222,21140,"Elkhart-Goshen, IN",205184,45,1,0,
223,22500,"Florence, SC",205095,55,2,0,
224,27740,"Johnson City, TN",203147,54,3,0,
225,33740,"Monroe, LA",202138,61,3,0,
226,23580,"Gainesville, GA",201434,50,1,0,
227,41060,"St. Cloud, MN",200264,47,2,0,
228,27340,"Jacksonville, NC",198377,46,1,0,
229,39540,"Racine, WI",195859,47,1,0,
230,13460,"Bend, OR",191749,45,1,0,
231,40980,"Saginaw, MI",191166,61,1,0,
232,45460,"Terre Haute, IN",186580,56,5,0,
233,39460,"Punta Gorda, FL",185926,47,1,0,
234,47580,"Warner Robins, GA",182819,46,2,0,
235,13740,"Billings, MT",180641,44,3,0,
236,20940,"El Centro, CA",180580,40,1,0,
237,37460,"Panama City, FL",180076,50,1,0,
238,24780,"Greenville, NC",179961,42,1,0,
239,39820,"Redding, CA",179267,50,1,0,
240,20100,"Dover, DE",179124,42,1,0,
241,27900,"Joplin, MO",178816,42,2,0,
242,27180,"Jackson, TN",178601,55,4,0,
243,28740,"Kingston, NY",178371,50,1,0,
244,11640,"Arecibo, PR",177570,45,4,0,
245,33260,"Midland, TX",176914,39,2,0,
246,14540,"Bowling Green, KY",176852,44,4,0,
247,49700,"Yuba City, CA",173839,40,2,0,
248,34740,"Muskegon, MI",173679,46,1,0,
249,26980,"Iowa City, IA",172919,42,2,0,
250,14010,"Bloomington, IL",172164,47,1,0,
251,41100,"St. George, UT",172127,35,1,0,
252,10180,"Abilene, TX",171354,50,3,0,
253,36780,"Oshkosh-Neenah, WI",170924,45,1,0,
254,47940,"Waterloo-Cedar Falls, IA",169107,51,3,0,
255,20700,"East Stroudsburg, PA",168824,51,1,0,
256,25620,"Hattiesburg, MS",168646,46,4,0,
257,20740,"Eau Claire, WI",168307,34,2,0,
258,14020,"Bloomington, IN",168172,39,2,0,
259,39380,"Pueblo, CO",167412,58,1,0,
260,13980,"Blacksburg-Christiansburg, VA",167201,43,4,0,
261,27980,"Kahului-Wailuku-Lahaina, HI",166657,48,1,0,
262,15500,"Burlington, NC",166144,37,1,0,
263,12220,"Auburn-Opelika, AL",163461,48,1,0,
264,48140,"Wausau-Weston, WI",163172,42,2,0,
265,27500,"Janesville-Beloit, WI",162532,41,1,0,
266,44300,"State College, PA",162264,41,1,0,
267,36220,"Odessa, TX",162067,33,1,0,
268,17660,"Coeur d'Alene, ID",161676,39,1,0,
269,27100,"Jackson, MI",158174,46,1,0,
270,42680,"Sebastian-Vero Beach, FL",156964,45,1,0,
271,31460,"Madera, CA",155925,34,1,0,
272,16540,"Chambersburg-Waynesboro, PA",154954,33,1,0,
273,35660,"Niles, MI",153797,54,1,0,
274,24300,"Grand Junction, CO",152962,33,1,0,
275,10780,"Alexandria, LA",152715,46,2,0,
276,19460,"Decatur, AL",152321,42,2,0,
277,21060,"Elizabethtown-Fort Knox, KY",152275,42,3,0,
278,12620,"Bangor, ME",151696,46,1,0,
279,48660,"Wichita Falls, TX",151352,50,3,0,
280,27620,"Jefferson City, MO",151094,37,4,0,
281,25260,"Hanford-Corcoran, CA",151090,31,1,0,
282,42140,"Santa Fe, NM",150319,57,1,0,
283,47220,"Vineland-Bridgeton, NJ",150085,42,1,0,
284,33780,"Monroe, MI",150000,41,1,0,
285,45500,"Texarkana, TX-AR",149482,46,3,0,
286,20020,"Dothan, AL",148825,38,3,0,
287,26820,"Idaho Falls, ID",148811,31,3,0,
288,26140,"Homosassa Springs, FL",147938,42,1,0,
289,22520,"Florence-Muscle Shoals, AL",147827,41,2,0,
290,10500,"Albany, GA",147431,47,4,0,
291,46660,"Valdosta, GA",146462,40,4,0,
292,40580,"Rocky Mount, NC",146356,39,2,0,
293,43580,"Sioux City, IA-NE-SD",144152,40,4,0,
294,19140,"Dalton, GA",143911,32,2,0,
295,22380,"Flagstaff, AZ",142254,39,1,0,
296,34100,"Morristown, TN",141909,30,3,0,
297,39660,"Rapid City, SD",140653,32,2,0,
298,44940,"Sumter, SC",140540,38,2,0,
299,30140,"Lebanon, PA",140410,33,1,0,
300,48540,"Wheeling, WV-OH",140199,50,3,0,
301,30860,"Logan, UT-ID",140072,30,2,0,
302,34060,"Morgantown, WV",139806,39,2,0,
303,49020,"Winchester, VA-WV",139270,34,3,0,
304,34900,"Napa, CA",138572,40,1,0,
305,29100,"La Crosse-Onalaska, WI-MN",136838,33,2,0,
306,16060,"Carbondale-Marion, IL",136837,39,3,0,
307,25500,"Harrisonburg, VA",134696,33,2,0,
308,44220,"Springfield, OH",134409,45,1,0,
309,12980,"Battle Creek, MI",133943,40,1,0,
310,25220,"Hammond, LA",133753,31,1,0,
311,43300,"Sherman-Denison, TX",133527,30,1,0,
312,27860,"Jonesboro, AR",132828,30,2,0,
313,27780,"Johnstown, PA",131611,42,1,0,
314,31740,"Manhattan, KS",131571,33,3,0,
315,45540,"The Villages, FL",129938,28,1,0,
316,13900,"Bismarck, ND",128589,27,3,0,
317,34580,"Mount Vernon-Anacortes, WA",127442,42,1,0,
318,10540,"Albany-Lebanon, OR",127216,28,1,0,
319,30020,"Lawton, OK",127157,40,2,0,
320,43420,"Sierra Vista-Douglas, AZ",126442,38,1,0,
321,38340,"Pittsfield, MA",125927,40,1,0,
322,22140,"Farmington, NM",125608,36,1,0,
323,24020,"Glens Falls, NY",125491,44,2,0,
324,41140,"St. Joseph, MO-KS",124946,37,4,0,
325,35100,"New Bern, NC",124416,36,3,0,
326,24140,"Goldsboro, NC",123785,30,1,0,
327,11180,"Ames, IA",123736,34,2,0,
