cb_2020_3,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean
1400000US36001000100,8.137931034482758,85.89655172413792,0.0,0.1724137931034483,0.0,0.0,0.41379310344827586,0.0,4.379310344827586,1.0,52.83275862068965
1400000US36001000201,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.02366863905326
1400000US36001000202,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.896875
1400000US36001000301,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.25819672131148
1400000US36001000302,0.4705472289996514,94.54513767863368,0.0,3.851516207737888,0.0,0.0,0.0,0.0,1.1327988846287904,0.0,51.36685256186825
1400000US36001000401,0.23710729104919975,54.742145820984,1.5807152736613317,28.996245801225058,0.0,5.008891523414345,6.115392214977277,0.3260225251926497,2.835408022130014,0.15807152736613317,25.38690241011458
1400000US36001000403,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.22333428653131
1400000US36001000404,3.830179972311952,88.00184586986617,0.0,4.291647438855561,0.0,0.0,0.046146746654360866,0.0,3.507152745731426,0.3230272265805261,50.13797877249654
1400000US36001000501,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.42928452579035
1400000US36001000502,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.32756632064591
1400000US36001000600,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.45293072824157
1400000US36001000700,0.7311586051743533,88.63892013498312,0.0,9.05511811023622,0.0,0.0,0.0,0.0,1.124859392575928,0.44994375703037126,52.34195725534308
1400000US36001000800,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.66145833333333
1400000US36001001100,10.455764075067025,88.6952636282395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8489722966934763,71.06613047363717
1400000US36001001400,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.560834298957126
