cb_2020_3,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
1400000US25013813801,-5.910153123524026,1.466992845421419,-0.9372384809569941,4.8465617208125975,0.9077701655655154,-2.6161920087717547,0.24015153845239307,-0.011458405893987757,0.5893204067825277,-2.4004528140276213,1.957617501919928,2.7845179096721258,0.6425643359379897,-0.6792376575066207,-0.7505610835258503,-0.20891615510434497,-0.3210522768300738,-0.8708257635390539
1400000US09003430602,-1.448843669608633,3.0794954270809503,-2.7270029482631997,1.8345628952948287,1.6778536834030708,-0.5901137043753303,0.5738237182654238,-0.27860375960820444,-0.1416907081971297,-1.3036006092993138,0.18716683256799743,-1.6962944276258698,-0.01727774802378823,-0.45742952114974583,0.09772630827017334,0.21089749657274376,-0.07248452417493237,0.47889109231521715
1400000US09003510300,1.9807259664266499,1.5023459742165968,-1.169174060263578,1.5603838944680928,3.0545349705603027,0.08502823940869615,-1.9380844010990212,-0.1510606826180005,-0.8209320584840143,-0.5424744015826766,0.7806279683117296,-1.685344631158801,0.37825233395742275,-0.6633298365934958,-0.17779429500564725,-0.0456599364376093,0.14044164291675987,0.8660436879366255
1400000US09003500200,3.7614899060320988,0.9278260582615947,-1.776890938616607,0.784147450371851,3.51654717381222,-0.418603860310107,-1.7515510278215718,-0.10058156888711547,0.4876292032149177,-0.7719064977195714,0.10872392069934196,-0.7185406241716149,0.10605275879311502,-0.29801861601932356,-1.1717789440690558,0.250573983660473,1.1557350790809062,1.5088866914489638
1400000US09003501200,-0.026472221172053702,3.036690436380955,-2.293055605258705,-0.010639778310545564,-0.1622521102412885,0.3658421268565805,0.7836264662922936,-1.1876475914125681,-0.06266785085970995,0.47287436469954897,1.2574861708523686,-1.249342824652821,0.04706516271599204,-0.50039972820237,0.40842068582018265,-0.20982882857474794,-0.3229355760697278,1.0745708628289399
1400000US09003492400,-1.7330736410154217,2.8989902907630944,-2.3911537098633135,1.2989239987029189,2.2102829718170924,-0.6791617215700821,-0.2587177814500299,-0.7412077697657439,0.29498635319630645,-1.107038513001275,-0.16172429477549544,-2.0862578394947775,0.1328258340946642,0.018675687331779323,0.04416196512277287,0.24786021667213445,-0.13686250358183336,0.8558348599515782
1400000US09003524502,-1.9587127980979337,2.7104970118292018,-2.9775589630802446,1.0537201851455698,0.4698725696905084,-0.8280698918554489,0.8444479017241331,-0.966571153889864,0.7659521662626204,-1.1463376510865853,0.12024902073305607,-1.1322906326713207,0.7339310092295595,-0.4469825151350898,-0.21343926037961708,-0.29414750387824934,-0.014746481123662038,0.6422107704735026
1400000US09003510800,-1.173131099605341,1.8834003846836658,-0.09964908426946192,2.2302861560604077,0.9740978841466592,1.1133060961823875,-1.2035805921368978,-1.1536314217461285,0.0536433032093425,-1.1149982249115251,-0.39049421521688144,-1.099563044081895,-0.34215808547087256,-0.286033291422497,0.5474707244922016,-0.1285298392756538,0.12914661913991252,0.6650403406236035
1400000US09003500900,2.7173945314643753,2.024138259271945,-1.1683244836433109,-0.27173565068965094,0.6281643702081791,0.5111934926323892,-0.26074281876175165,-1.129450833345261,-0.6850703811279688,-0.2538400554979445,1.4318691501565592,-1.197190970929505,-0.2269703801102217,-0.4086335376235637,-0.8302964584199067,-0.010784976774707022,0.9406959739260576,1.5863598641203807
1400000US09003497400,-1.9972027363589084,2.7863518319046623,-3.1637353909930908,1.4150859223928245,1.8703112928605994,-1.005676761183305,-0.17063261826178736,-0.6998818618323058,0.7473929072729399,-1.3457671088283287,0.02908097918799865,-1.5312179470134888,0.7504517014491494,-0.49398348933595626,-0.31787233985920504,-0.1501847979336266,-0.3349438221000995,0.7778416665703994
