cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,minor_ratio,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US36001000502,-0.007216344675398,-0.2990823368353483,0.0156541890989872,-0.0050215282857397,0.0841431779987559,-0.1443889468542719,-0.0742211770270403,-0.0625986691196829,-0.0564983796591815,-0.1111424397522129,0.1178676178779587,-0.0736275332149629,-0.1334645660745617,-0.1836325320708745,-0.2222878497259749,-0.0109704333202501,-0.0338217327986614,0.1695254224768091,-0.0257981264793786,0.0843761678551543,-0.0190928009984337,-0.0099303378200952,-0.1549200219640999,-0.0189167135788449,0.0046432277717461,0.2981824756900726,0.0668378159320587,-0.069374516440991,0.0854991526488364,-0.037620370658511,-0.0756655924007711,-0.0053752663946392,-0.1189013822878143,-0.0151264129078376,0.1219146506124936,-0.036646621447505,-0.0290165233054746,-0.1253351060536001,0.0050932956076995,0.0748915415112691,-0.1061116789054475,-0.0545850563188377,0.1291235522455694,0.0574760457830396,0.1754827313855077,0.1234501856540156,0.0515257623047985,-0.0126749911295711,0.2329615296072862,-0.1870528493294139,-0.046544288373983,0.0452180095840945,-0.11877894459002,0.083329861811286,0.1966933776341945,-0.0780655070133425,0.218103080499802,0.104887221805206,-0.0143124102789492,-0.0053098176793362,0.0819777041368313,0.0021568767409628,-0.1247562108926222,0.0096432666483601,0.066225,3926,0.777455,5049.809956846377,8.527303896903039
1400000US36001014613,-0.0622725623276872,-0.0396038059807038,0.0035308798637607,0.0043483039258012,0.0353018209552007,-0.1813053035677199,0.0476992987259814,0.1554633188895671,0.0278986239882182,0.0192343422945832,0.1093970065955213,-0.0938512188810986,-0.1093878791295089,0.0105447473939656,-0.2327214620840674,0.0513162923262914,-0.0968513582547954,0.0085868914024314,-0.1094588875656355,0.0031320039130542,0.0262670247533434,-0.0476914460717762,-0.1267496020898985,-0.0171589989789021,0.1060323714891202,0.0860528285124082,-0.2043443187695189,-0.1796303834400454,0.1533559018994119,0.0688720723957522,-0.043215968016372,0.0685193657850357,0.0094627178015125,-0.0556122935572322,-0.0482820664118902,0.0985609351885089,-0.0276298441168769,-0.1620860742385109,-0.0203342464273981,-0.0767026866155054,-0.0317028183645087,0.0727289400974277,0.0439889240902213,0.0488594510697923,0.025700445919159,0.0527694273926018,0.2237062287339188,-0.1356892045850792,0.2164730604217351,-0.1487660125484385,-0.1124649062456427,0.0473909306144101,-0.0371090050507125,0.1202025820117521,0.0798158812669359,0.1666810826563306,0.0832444677280764,0.0668134947623553,-0.0036620495675535,0.0143552793087812,-0.0262493364284507,-0.1458117047151796,-0.0861553141480297,0.03439862016037,0.165734,2860,67.646002,42.27892137660996,3.7676657122454587
1400000US36001013603,-0.0409049702401031,-0.1217399819543812,0.0298708892700798,0.0165248329609456,0.0319105042785861,-0.187738320278212,-0.0128301212826811,0.0447980559817126,0.0440778007533283,-0.1170702525511017,0.1209317191163335,-0.0914382476603771,-0.1761568727769136,-0.0798245395775128,-0.2272950525825627,0.0716014568070387,-0.1007071696687793,0.0802009687222949,-0.0933335251280736,0.0556493432564343,0.0335701914363891,-0.0233181989758206,-0.1352091299885627,-0.0039448578093562,0.0200003926059075,0.15848991326537,-0.1117978629716152,-0.1611130057622977,0.1561229393309917,0.0346761204695169,-0.0485432775222505,0.0571747292814303,-0.0628994002485856,-0.0160839721261382,0.0100693269455797,0.0921981037771495,-0.022543817165091,-0.1492909967694834,-0.0186869322976531,-0.0389928603390876,-0.0751925009462397,0.0268250720076115,0.0815813873641311,0.0644679202682405,0.1067411723010805,0.1239148281902064,0.1746972722337093,-0.0569626459424973,0.2236799226191995,-0.191872424201882,-0.1056958310907138,0.0656452515729845,-0.0939002385321623,0.1057494082461679,0.1333949113635993,0.0567176669823454,0.1746884711827626,0.1100667751387705,-0.0026131517588164,0.0184451267237383,0.0387190224860467,-0.1197766252743734,-0.0923681320556609,0.0013214850239526,0.169107,3347,6.631007,504.7498818806857,6.226042242495056
1400000US36001014402,-0.0413272536564916,-0.1339609069654803,0.097737071959482,-0.0081120324977306,0.0338224973947374,-0.1934520160113783,-0.0608111695415718,-0.0159979619860144,0.0333388110271443,-0.120277108315002,0.1063198627894632,-0.0397058761908613,-0.1678271337612634,-0.0942076900427219,-0.2118103133048791,0.0428458491882287,-0.0510406103414944,0.1207653824893646,-0.0897199545466285,0.0274389752603205,0.0219980452727691,-0.0036229539799303,-0.133451835734069,0.0226974113905592,-0.0329790165101658,0.1467048291596817,-0.1375553842305401,-0.1932073960599646,0.1657523405186608,0.0430097100004441,-0.0261467337267845,0.0273256484423433,-0.0178197978619983,-0.0621566362613273,0.0068564215010369,0.0831275303471474,-0.041547003859922,-0.108060198848755,-0.0225989505458164,-0.0229098758914311,-0.1075536003692927,0.0301448337863218,0.0509260361331474,0.0695345148055918,0.1351970779333293,0.1158276294089187,0.1690367262353337,-0.0425210559144497,0.277624107227004,-0.1840670153005859,-0.0661794136501771,0.0726081361831484,-0.1335910800200978,0.0982925185518176,0.1477763682199984,0.0177732075104597,0.1603108895192595,0.068346123965937,-0.0143044645743442,0.0297591661466692,0.0306335939168398,-0.1192389376759268,-0.1225639167689764,-0.0323552264650739,0.153097,3181,3.802021,836.6602919868144,6.73061263880293
1400000US36001000302,-0.0277012367454378,-0.2423180885996416,0.0359928864143424,-0.0150374240093905,0.0549652123417668,-0.1919617339021325,-0.0955412675362193,-0.0559338991442506,-0.0178577859964212,-0.1043339494595497,0.1260557985387366,-0.0663044895445155,-0.144488300687977,-0.1487009721004516,-0.2445722766635396,0.0005603636551255722,-0.0492954902264289,0.1407730068315363,-0.0706222755650922,0.0515289583723838,0.0086716281019523,-0.0287894161203491,-0.1548274315376516,-0.019302134479013,-0.0511913759422417,0.2140129796354836,0.0086715878922234,-0.0712413786516018,0.0938761474912426,-0.0014867699177904,-0.0406575121407088,-0.0021201784304602,-0.0447337322239679,-0.0311378958671391,0.0403306066978789,0.0261649517359058,-0.0167712569401218,-0.1087543798364836,0.0149916229763759,0.0824660644441491,-0.1020613394564852,-0.0119031546471611,0.0898117591257464,0.0495686137809096,0.1479007012365427,0.1126290752103969,0.1035335248485233,-0.0151107627714251,0.2493248550403362,-0.2124562642667983,-0.0382560857104424,0.0968796633292923,-0.1174344274210156,0.0764445709653825,0.1679301770374032,-0.0264187282665849,0.1938636044656514,0.1029018355609104,-0.0038653002304543,-0.0060019491616114,0.0599257106592504,-0.0717496640353006,-0.1306758862720433,0.0221308928539441,0.14159,2931,5.097939,574.9382250356467,6.356000406742389
1400000US36001013707,-0.0404896964545054,-0.1868745867735969,0.0553376605614287,0.0118260351346946,0.0186591805181284,-0.1910853089373747,-0.0698545953166329,0.0265054096462115,0.0359526781089143,-0.1299632408069791,0.1482398612033385,-0.0734920874123891,-0.1825171045042332,-0.0995128360125549,-0.2131207737694633,0.0596660229544789,-0.1122478009200394,0.1314118816916836,-0.0707455753400846,0.026126491805981,0.0374959576064788,-0.0195109969400107,-0.1418016715571512,-0.009543226220832,-0.0020918360481433,0.2136451215370796,-0.0679964267519396,-0.1043824840826845,0.1294486616998768,0.0247806576813121,-0.0236193550361174,0.0573717649882208,-0.0729164333531147,-0.0008649776744966376,0.0419470210039427,0.049011654979864,-0.0332292451689365,-0.1163886182977601,0.0035526364857887,-0.0275183114511171,-0.1444353903883359,-0.0158010895478659,0.0944128922238189,0.0869736008883162,0.1383243237005361,0.1326705323556176,0.1530428490275985,-0.0491514726645489,0.2798850854579673,-0.2044698665567606,-0.0776981048208345,0.0521648482143393,-0.1145813566102817,0.1071008909653999,0.1660161063904027,0.0243787658653806,0.1925731856673467,0.1156130067124201,-0.0027911262182918,0.0207584679485134,0.0546316597507317,-0.0841382528829404,-0.0902823940813997,-0.0002713496124422204,0.225247,5878,8.138017,722.2889802270013,6.583808838327868
1400000US36001001700,0.0099275441251232,-0.2927276598260721,0.0248204194237739,0.0188187412920972,0.0753611320687336,-0.1305467394869534,-0.0769754279380766,-0.020460004963171,-0.0099779608270735,-0.1194881912075297,0.1333906673660823,-0.0917290379028673,-0.1607354854579293,-0.1769387824211824,-0.1887875181961892,0.0165089791893267,-0.0386439778715528,0.1664859680544797,-0.00019097115898269136,0.0726831710826186,0.0036397378505263,-0.0060380397188056,-0.1389226096308276,-0.0248168463957384,0.0173395902365017,0.313798593975558,0.0290766713539867,-0.0492437187615926,0.0747127379609334,-0.0499288745238396,-0.0600668792388875,0.0223793521686747,-0.1306189464205237,0.0135704554574412,0.1364917555364034,-0.0550775309343307,-0.0496819184438851,-0.1255246310218156,0.001835123076135,0.0658743139863348,-0.1321779479347717,-0.0625635070135011,0.1542454843194985,0.0767853734648764,0.1483900335736261,0.1284114049369392,0.0672865003046264,-0.0354242168591112,0.234129088178394,-0.1967346869444836,-0.0204650280088915,0.0162908902245379,-0.1331091907303476,0.1035198927653126,0.2129715405163499,-0.0741471250904999,0.2338616105639048,0.1358073482443415,-0.0302232899229633,-0.0084143627268047,0.0958845727849239,0.0155527578688198,-0.1232779037710287,-0.0027833840327323,0.148973,4041,1.36804,2953.8609982164267,7.991206889213138
1400000US36001013902,-0.0438250973425896,-0.2434179970191054,0.0246780248566831,0.0042505782715844,0.0350619759297684,-0.1806664273931895,-0.093415848266512,-0.0265403537605759,-0.0267331908359267,-0.1150534614791382,0.1463509722983945,-0.0681554715690807,-0.1517841793118482,-0.1353786731204899,-0.2420861843498999,0.0329895056620797,-0.102265567212385,0.1393087470499085,-0.0626979467636615,0.0335179845555689,0.0104677426165824,-0.0079170555935697,-0.1564152778487977,-0.0204498919960422,-0.0005485763616001034,0.2514631377517003,0.0199633970006261,-0.0503933190116257,0.087245233724262,-0.0079301417068656,-0.0486892289850673,0.0336335821721621,-0.091825120563903,-0.0200204092102567,0.0723393556864685,-0.0007110190044270112,-0.0240485085932896,-0.1164980315803728,0.0134392774453143,0.0281771895109434,-0.1192649847144304,-0.0420736444008452,0.1167040165835095,0.0799686337508083,0.1692155440352673,0.1344181434756638,0.1293361678470568,-0.0486774404623611,0.2893991410043622,-0.2195781291738176,-0.0631006187809627,0.0495430053941081,-0.0848633355177561,0.0767648545639171,0.1600249657050411,-0.0158277417031422,0.2162698370744167,0.1068797384567268,-0.0090340433095486,-0.0002709449913894485,0.07273074022934,-0.0269433980371504,-0.1048845020564566,0.0024483092413319,0.206979,5416,4.521603,1197.8052916189238,7.089080749529299
1400000US36001013802,-0.0617826783327518,-0.1443272886406874,0.056898220629199,0.0227035950570846,0.0239600683722298,-0.2067005891265763,-0.0476233516375053,0.059155673152436,0.0318767331286768,-0.0956528971432386,0.1295106411191912,-0.0622869694510432,-0.1759239420459082,-0.0635303553730528,-0.2272693892096688,0.0652263805440595,-0.1075421911329157,0.1089331058424273,-0.088955812249898,-0.0078439381740093,0.0479984629494661,-0.0264357256322573,-0.1586871319709374,-0.0213810702025331,0.0230556602258679,0.1862045148406356,-0.1301361095665732,-0.1152907420442559,0.1313769410356214,0.0273617447222881,-0.0178225950004203,0.0730972433509391,-0.0439962390512287,-0.0178960932648271,0.0331733902972334,0.0667834810019098,-0.0474828071122729,-0.1296505663654975,0.0097883807115291,-0.0533616079723905,-0.124033350629844,-0.0034693818840077,0.0835330454761163,0.0852236317152388,0.1251235436837907,0.106455608323601,0.1825559710428285,-0.0762380709597696,0.2897328089386753,-0.1950510626555861,-0.0843507805423231,0.0470258226956446,-0.097362608857787,0.1180615575803018,0.1415797896962168,0.0653180063467111,0.1680622780116913,0.1020861190340417,-0.0045342221111434,0.0243520552693676,0.0454889282996657,-0.107449424848246,-0.0952801894647405,-0.0059850975405959,0.175546,4261,5.455611,781.0307589745677,6.661894073498829
1400000US36001013300,0.0427667742525503,-0.2320531657278126,0.0310380267996703,-0.0732841846459999,0.0704417512431798,-0.1432295499007104,-0.0413856421953021,-0.1067419309152511,-0.0361538786736539,-0.1005237341601718,0.0727171722565801,-0.086774121295346,-0.1922390082709097,-0.1925026600113939,-0.2163663069704949,-0.0733041127954559,-0.0017912700354361,0.1246555355348412,-0.0560341775285256,0.1089003894008312,0.0093388127191164,0.0053025761026978,-0.2030276781074076,-0.040140711437843,-0.0282751583499366,0.2679943211075589,0.0058202170345126,-0.1280667123799624,0.1125696553281575,0.0095122506503251,-0.0168859576278059,-0.0141774946690848,-0.0770922510841951,-0.0224744276876119,0.1122026065893749,0.0145119875075538,-0.0678594859125608,-0.0890835564376542,0.023458302254103,0.0088894530359685,-0.1374880863516888,-0.0015190722543111,0.0540157363356496,0.0773100820368095,0.1722688997131994,0.0985650189959972,0.0550216521779979,-0.0337613387279237,0.1864676536228734,-0.1419350239999914,-0.0495323991417242,0.0298846208040457,-0.135326011072181,0.0827142120386685,0.1879860093177065,-0.0613348567275107,0.1774603816738253,0.1274719089227722,-0.0103228175125139,0.0269162282194466,0.0852504501610318,-0.0696692750329118,-0.2282042362526758,0.0638088804358239,0.125563,3775,1.386284,2723.1072420946934,7.9098960358390515
