cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,poi_pub,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US26037010107,0.0458175158216221,-0.0761009009791269,0.1226921155418325,-0.0086772532364982,0.0869329846984662,-0.1064800036268222,0.0279311792778057,-0.0519319224998063,0.0611679951211617,-0.135804768236124,0.0640159082108881,-0.2289627738007193,-0.134678609962829,-0.0240012548286002,-0.3610316321440247,0.0066404450456338,-0.1152758722813347,-0.0238530465144074,-0.0713213858284478,0.0646560392571198,0.0971119003102227,-0.1047799893738396,-0.0256846344951737,-0.1208106205285904,0.0287612105885335,0.1677704312489203,-0.008466590455197,-0.0149043793341354,0.2188556956166871,0.0314215425729529,-0.0305253762391681,0.0578820236755662,-0.1011521879370568,-0.0229155593801459,-0.0534667922671197,-0.0146663142547004,0.005275237472906,-0.1022363608179524,-0.0371988190615312,0.053387947656183,-0.13237453569327,0.0080622360519157,0.0317372025253784,-0.0242395561509693,0.1167197651410022,0.074809053035622,0.1399086076707474,-0.1245750514662319,0.1230295074187941,-0.1429203624088597,-0.1038363670011552,0.0315208744645555,-0.1413953473629942,0.0039050964511199,0.1491268437533659,0.1348272129441615,0.2214040530531409,0.0455282485430629,0.0018076323856371,-0.0628952699047908,0.0622505090066966,-0.1993681130446732,-0.0649264581480059,0.0666606455614732,0.133983,4073,7.463623,545.7135227757351,6.303924940871674
1400000US26037010201,0.016026321915753,-0.0363582036430163,0.0886980380174708,-0.0373418380397702,0.0721746741300273,-0.1267843023379538,0.0343473692143104,0.0017745344962233,0.0629134370326405,-0.1083482787827269,0.0815042706977522,-0.1934419844516409,-0.0726058814171698,-0.0126958370379052,-0.3493711062501415,-0.0023770711327599,-0.1351893971194167,-0.0378952943229508,-0.1321802091318612,0.0406832705161559,0.0809678210367209,-0.0806485731453561,-0.0312188894744081,-0.0848797853799764,0.0296882136625703,0.1128651788496375,-0.0035140089323575,0.0174334386595849,0.1917897393616497,0.0191230863646891,-0.0571132513952382,0.0441193455001669,-0.0621755903942538,-0.0501373604257226,-0.0381420591115838,-0.0381303051235723,0.0015144261747472,-0.0979617950785825,-0.0086748435985585,0.0147241558756158,-0.1285280808345403,0.0099765549563633,0.0455267373938305,-0.052691386688298,0.0814249883078752,0.077337114611908,0.1700372654346564,-0.1436453693896657,0.135024605545675,-0.1277063264488484,-0.1093338720427371,0.063824215901856,-0.1276801491914018,-0.0180149316124619,0.134451699752302,0.1811362035397104,0.1878514067757972,0.0275967567970665,-0.0088804808721289,-0.0810395839475458,-0.0030533992631388,-0.2035487523313478,-0.0598521586625886,0.1017064193368901,0.0,2238,9.077779,246.5360745177868,5.511556327014847
1400000US26037010204,0.0166736851307253,-0.0130592858342042,0.0832864851578956,-0.0499661871196091,0.0702994310946529,-0.1149275947077826,0.0403898789615508,-0.031368537513252,0.0586582729188317,-0.1114533247800278,0.0588930072636255,-0.1675244958806423,-0.045918967514515,0.0083766326508382,-0.3648219406842831,-0.0265074742402925,-0.1404625300225805,-0.0274254443369231,-0.1262010078572027,0.0141514968336011,0.0558895990313855,-0.115484182221496,-0.0368039061228739,-0.0837113500168763,0.0082097748660445,0.1086776324359656,0.0218890352540514,0.0076639092104295,0.1816957916798139,-0.0094523069182854,-0.0546687704264502,0.0258875341789099,-0.0532347480400038,-0.0836526494444493,-0.0738204919667674,0.0023338173846006,0.0198415148798883,-0.1047469959778834,0.0270366913028224,0.0409813784328038,-0.0853201596521954,0.0406533032849537,0.0283518390812262,-0.1086512648857903,0.0866384001060966,0.0234130378395521,0.1708861160393518,-0.1282684666547371,0.1273876586246573,-0.1167795733335374,-0.0924570479587786,0.0669269732698731,-0.1255728474916314,-0.0352769176356519,0.1324918858084968,0.1888416050075327,0.1554413764684236,0.017065525316505,0.008575741298668,-0.0942669541854752,-0.0233929552528251,-0.2201395487599258,-0.073347800248377,0.0984349914533988,0.0,2155,18.047208,119.40905208162945,4.790894713450828
1400000US26037011002,0.0123035549862116,0.0127651769102765,0.0450433068044663,-0.0767675238959503,0.0547376220340158,-0.1448600627557012,0.0686629241761773,0.0427429576012848,0.0232296113734573,-0.0812476034565792,0.0984484500517217,-0.1698495598322681,-0.0115580149888533,0.0184419608710621,-0.3406144838976429,0.0032065896655322,-0.1630210872708827,-0.0585369960613362,-0.1501077891849019,0.0343700121314742,0.0537083890176155,-0.0939811906777724,-0.0129408342194,-0.0632425486948283,0.0590725368969828,0.0687185128356668,-0.0089785460653632,0.0192583794625822,0.1734471573993484,0.0020671614015467,-0.0853180056538291,0.0339584333434038,-0.0313584243300544,-0.0579762748491843,-0.0719025742493382,-0.0545172734813903,0.0092472339304739,-0.1061176945097492,0.0198528950123893,0.0038803840257522,-0.0930268183939873,0.0481656237099488,0.0514273468085794,-0.0858436823983201,0.053298048577418,0.0425592300143977,0.1947162439780089,-0.1502046948889391,0.1457443446917153,-0.1023812044340735,-0.1101229018142603,0.0649540094177303,-0.1049314574247764,-0.0318756249896013,0.1007756942317513,0.2394322862746699,0.1568536721758524,0.0086292036540914,-0.0047440284863323,-0.0797114706872745,-0.0660758226267367,-0.2042684739443704,-0.0579486978412892,0.1241101927763289,0.0,3510,87.888942,39.936764741120676,3.7120285527119354
1400000US26037010104,0.0171545723476728,0.0025876433403859,0.0760854757907815,-0.0897927382285209,0.0692008693154642,-0.0991343244420219,0.0316400808949017,-0.0078026720117175,0.0558606921650905,-0.1218630487408989,0.0743393942262881,-0.1544508122430395,-0.0418196422117535,0.014026340145934,-0.3276871167237254,-0.019111466137594,-0.1461575730227269,-0.0270514704099656,-0.1324947302593536,0.0357087055497558,0.052678326336044,-0.0903255202317502,-0.0045927078857326,-0.0728585978712307,-0.0072005681799484,0.1206940421056451,0.0403613145321009,0.0328022208793343,0.1585719870947381,-0.042041791463223,-0.0744506717569809,0.0082878293564611,-0.0201387321097729,-0.052009793571182,-0.0595253619881813,-0.0483234926869921,0.0112427248716432,-0.0859699158470502,0.0400841636606301,0.0555319316242103,-0.1015480794351584,0.0401833121234239,0.0544262479635839,-0.1071298196585466,0.0576911056502525,0.0465014462124207,0.1812411017229635,-0.1142626028477298,0.1515084526393716,-0.1125290667726326,-0.0631461687308318,0.0640817135784418,-0.1206158451229583,-0.0390895593058827,0.1294772518549259,0.1813591968713892,0.1253514660598207,0.0229905950456915,0.0131864247100294,-0.1113159940390047,-0.0449681755988329,-0.2139086914853784,-0.0802298453273346,0.1072968872596234,0.0,3793,37.77904,100.39958664910489,4.619069014709966
1400000US26045020901,0.034733447595792,-0.0918220998639195,0.1101817280403658,-0.0582229392746306,0.095937556963718,-0.0994631485996234,0.0211126720458828,-0.0800775661954108,0.0129183604396518,-0.1363927270189874,0.0741364084882334,-0.2237219283644761,-0.1229194056138986,-0.0387689525195673,-0.3593438675337806,-0.0223913596395328,-0.1254462613003522,0.0025306946316203,-0.0842163830527855,0.0684822460291959,0.0676228343449735,-0.0918800735571704,-0.0447766170725497,-0.1290146966113422,-0.0156045441935396,0.1762947866325053,0.0219243419386498,-0.0299724900381017,0.1892514181364293,-0.00041922979688601,-0.0491806566460109,0.0045335137717735,-0.0750910973376598,-0.0305220703752328,-0.0612890064516214,-0.0187681465977505,0.0117282601005582,-0.1103057791984519,-0.0208350381569646,0.0495604022880715,-0.1166069809938709,-0.0067541818898009,0.0355127129963664,-0.0315232301491286,0.1222562942184375,0.085249838445058,0.1436121806401461,-0.0771520290462708,0.1410793149369637,-0.1316776335567691,-0.0724808170573998,0.0522084418822104,-0.1372233226377973,-0.0027988229564461,0.1484201243181012,0.1132565030377219,0.1860527208566325,0.0372943188110223,0.0186038478350143,-0.0704036643063486,0.0397267877680701,-0.1873548163349794,-0.0933461947964752,0.0642902820314553,0.306448,2894,6.526396,443.43003397280825,6.096792638678972
1400000US26045020202,0.0342997364205754,-0.0827434303767726,0.0932399625640751,-0.0511550747186761,0.0794563289240143,-0.1151504141010277,-0.0085527951328774,-0.0708120634001462,0.0130677401881536,-0.0806500171263597,0.0927814400858981,-0.205913996100183,-0.1099137181894901,-0.0805098037678625,-0.3665946432603583,-0.0587126925508872,-0.1124795985485446,0.0023427998934143,-0.1128476384656688,0.0240088279288767,0.0734128901004502,-0.0728975640780228,-0.0931214825289199,-0.1234164283911853,-0.021761996361898,0.1494502375574199,0.0128885556096858,0.0013012069119221,0.154441454625803,0.044036348546793,-0.0175318852198239,0.0479261560834131,-0.0345385503816094,-0.0340827809095333,-0.0443321759847126,-0.0462501079596679,0.0140173558842735,-0.1111491264089844,0.0024601733946469,0.0248033689729706,-0.143369143714961,-0.0104208932232616,0.0470370685527055,-0.024879049961883,0.1384911198660887,0.1051742167040624,0.1285363975262657,-0.1050203544674011,0.1500799887830744,-0.1399172046398297,-0.0860659795609882,0.0689692980967831,-0.1374426880059228,-0.0059235979437851,0.1401408729576037,0.1149516847469608,0.1964807359884403,0.0457328287674095,0.0190460490822472,-0.0546390166198587,0.020357201436574,-0.2156242707348595,-0.085617517446662,0.1000820529745795,0.0,4749,12.519431,379.3303385752915,5.941040187127799
1400000US26045020500,0.0146653045892401,0.0374334104136229,0.0426119493041232,-0.1558151810032195,0.0708974792219211,-0.1156244648814069,0.0740009555032015,0.0267854561799408,0.0241072798239413,-0.1618506946904636,0.0864642264164487,-0.1064111258541006,-0.0123178448312257,0.046145476412374,-0.2627387219254201,0.0253561638513976,-0.1825436381195938,-0.0061731843922406,-0.1247890987113832,0.0587522289552386,0.0349071980321897,-0.0625807855836442,0.0465944408741509,-0.0517766155899791,-0.0184392223480882,0.1175809094147701,0.065349268296223,0.0407717141517866,0.1077465336100821,-0.1166072198464468,-0.1263751524600393,-0.0428490401424572,0.0024423652690524,-0.0219914416598347,-0.0300987929734166,-0.0979858338066583,0.0083849825829503,-0.0705323476484201,0.0598403794017372,0.0381801224237555,-0.0559036801315785,0.0771649856294167,0.0831630583667034,-0.1436614289104608,0.0121916833144541,0.0363174954611002,0.2076511039837884,-0.1117012813824329,0.1707881021744694,-0.0662181638790848,-0.0215730102571524,0.0581670718851335,-0.1382320192698066,-0.0412431307916499,0.1355097581131089,0.2504369081522993,0.0687646764362433,0.0335561556381245,0.0199694244741009,-0.1383301978971,-0.0930085322131739,-0.1730503833286183,-0.0928707948310502,0.1063977211780996,0.0,3800,163.934144,23.180039906756704,3.185527495588788
1400000US26045021100,0.0048974260108365,0.0218330219091484,0.0445236906449972,-0.1187311323342445,0.0692093183588555,-0.1381243857649522,0.0756853868320625,0.0276996774240778,0.0133198000521285,-0.1324419938176941,0.0858844802978465,-0.1421857038820291,-0.0109099104932497,0.0382289221590007,-0.3047601868173139,0.0093967885918457,-0.1924503304198971,-0.0343935517751516,-0.1358774441099714,0.0546574307680525,0.0441897250096552,-0.0839402501713614,0.0179802541090367,-0.0569080678860498,0.0172023987033274,0.0919601144180799,0.0211821532114226,0.0204622191270437,0.1369486787510603,-0.0647872997640366,-0.1203067697908235,-0.0049455045340422,-0.0078667888775605,-0.0361058362976941,-0.0619345553982482,-0.0674679647663436,0.013665467181801,-0.0985407135475234,0.040456392266605,0.0207537386762669,-0.051048899787406,0.0680874677133681,0.0688204044317037,-0.1150989499101925,0.0374179734781142,0.0266455425242111,0.2112340610051612,-0.1217167620461509,0.1564761239666282,-0.0989548314291747,-0.0647402295681198,0.0770004028142023,-0.1110499519051088,-0.0342715162543298,0.1175922735157435,0.2480248762945049,0.1076996405268306,0.0277708963153835,0.0070443499451082,-0.1086056064963904,-0.0788572509178992,-0.1840641834988449,-0.0708221719294561,0.1038727422388097,0.0,5563,187.252575,29.708536718386917,3.424540684941963
1400000US26065004100,0.089000057960704,-0.2223457292169025,0.1282581796627285,-0.0554158207367489,0.0888719870354003,-0.0714972838996081,-0.0560552339143658,-0.1546001662496823,-0.0052125223956717,-0.1141682668796875,0.0878215075338953,-0.1501515877658881,-0.1331253511475355,-0.1291744073749567,-0.3263881203874951,-0.0869787435287112,0.0029171724615156,0.1268297501573152,-0.0232868640084469,0.0417915686266078,0.0672586930895684,-0.0006906070444598316,-0.1096475181589959,-0.1055193165524257,-0.0660597741884337,0.2653784045952265,0.0833064824463072,0.0318099738181679,0.1011393461219637,0.0217736543772061,0.0142130722476173,-0.0323355738272941,-0.0829281803405924,-0.0631040841092136,0.0794613733920788,-0.1385571111648766,-0.1183670035634019,-0.0822924587237603,0.0109719433246443,0.0310871507774251,-0.2244839683356055,-0.0855289911099869,0.0572985179655425,0.0125761606092972,0.1661148603229543,0.1101182261145436,0.0525402318149499,-0.0652481344887122,0.1657846344836834,-0.1070070576406255,-0.0271844780822962,-0.0164411606061945,-0.201281593052135,0.0064796449657557,0.2306874716531834,-0.01142947123727,0.1842902952929802,0.0728660343135804,0.0021701270800813,-0.0570511727994922,0.0926901286316906,-0.0789127841941063,-0.1720610972714468,0.0926086988201211,1.132631,5484,0.8829,6211.348963642541,8.734294358422034
