cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,poi_trans,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US27137000100,-0.0564722629040733,-0.101426209809279,0.083143435795151,-0.0424848872620327,0.0293158712440989,-0.232992896961034,-0.0820611258904013,0.1987336067622286,0.0767248526087163,0.0292830504924246,0.168166720813223,-0.0570282840160241,-0.1379101967425396,-0.0563834241791031,-0.3268498502685969,0.1655772053355891,0.0411552924199549,-0.0124028143592341,-0.123542932935272,-0.027816702174504,0.0918469767094818,-0.0122358441763332,0.0003393437054379968,-0.0665523829998102,0.0844567045988235,0.1187577502811808,-0.1349542934691144,-0.0067783647933893,0.2196749343896786,-0.0160885170263287,0.0062663763321293,0.0132223639217207,-0.0121120504392334,0.0051089219193626,0.0168674609627965,0.1010231073811351,0.0947240477210585,-0.1037652404229833,-0.0558279447386865,-0.0489950773356087,-0.1238929505759544,-0.0064390458666987,-0.069185242582969,0.1151198074648715,-0.0134452195457634,0.1168529082619255,0.1758381724145083,-0.2682969688352419,0.1317384250303094,-0.1699609877160924,0.0639027637943789,0.0056466753395956,-0.0667320243712295,0.1483197450343957,0.078719610788278,0.1639730305722552,0.1879589788334629,0.0004959458912330678,0.016913117519362,0.0096121844726687,-0.1195618941703617,0.0311191964969408,-0.0291865278388401,0.0055425649905185,0.0,4155,15.986726,259.90312212769516,5.564149158831125
1400000US27137000400,-0.0613940331185653,-0.1043648463540366,0.0764747440715341,-0.0454365707173301,0.0285493794633162,-0.2359984075356829,-0.0697873626187323,0.185063447743637,0.0707604877212908,0.0331423782009357,0.1764214868364464,-0.060396589266491,-0.1270170383104117,-0.0656507027761068,-0.3401192920525112,0.1602680157806653,0.0298349121038596,-0.0270817274705506,-0.1399702827858034,-0.0361644741323421,0.0958629316282769,-0.0136870042272478,-0.0069161134552236,-0.0778092379076745,0.0842116798168882,0.1146775369378978,-0.1246045458880056,0.0075449338259261,0.2035228377119193,-0.0107342103709795,0.0038400154680566,0.0083226170248512,-0.0172205435049986,-0.0045264794194685,0.0143210481424249,0.083469276995891,0.0982433733460216,-0.1093393222170783,-0.0577537039568126,-0.0595390869727559,-0.1155175541276057,-0.0074228052522505,-0.0686522491806102,0.1080867000346979,-0.0092092692195625,0.1223678157152832,0.1796612844224004,-0.2665802681939101,0.1346838330776331,-0.1597829764308533,0.0575986866332512,0.0155225778514491,-0.0809759190569673,0.1313488840786979,0.079717714095349,0.1730835353809745,0.1939956372402186,-0.0063343730057589,0.0218411661218,0.0117816912651465,-0.1210987582245846,0.0352339684698327,-0.0275190771209214,0.0159620929557454,0.0,5649,19.385184,291.40811869518495,5.67815049320557
1400000US27137000500,-0.0294639654978291,-0.1617497719325205,0.0958705313368377,-0.0557966433245774,0.0147281100881526,-0.227916006047806,-0.0913075980043186,0.1560097124942123,0.0522341950314386,-0.0074674101571946,0.188464545565224,-0.0679626937855495,-0.1346381617313978,-0.0833798746565539,-0.296554469321299,0.130178717089345,0.0429870984450811,0.026992210435695,-0.0814511495543303,-0.0062095050489964,0.092065637325764,-0.0083736949893025,-0.0231132045211595,-0.0748218734613242,0.0558138134750285,0.1398001296163744,-0.1088679268876488,0.0041278487105843,0.2212908715506722,-0.0297659561193665,0.0236610796908888,0.0108913938538225,-0.0425038805260019,0.0282356518192228,0.0335718973980441,0.0902796059570377,0.0756916821933316,-0.1064567080145347,-0.0510281239443472,-0.0349517950853233,-0.184837023241129,-0.020632093242835,-0.059659256778802,0.1283100881979356,-0.0032109810010399,0.1285219757288475,0.1659188870914638,-0.2459953653505797,0.1418557108354113,-0.1736681164623781,0.0531437206650336,-0.0159933021593818,-0.1010575215437944,0.1460031047185901,0.1179175597373402,0.1296105028899062,0.2097507198045093,0.0295214571441826,0.0012283045914504,0.0271484998558194,-0.0903095888150619,0.0262417540644007,-0.0374193914839279,0.0084459271293134,0.0,3358,4.779054,702.6495201770057,6.556280391536576
1400000US27137001900,0.0450800804058688,-0.3010348670308145,0.0494002863302751,-0.1879389509745729,0.009649275810883,-0.094466733010061,-0.1592587308695198,-0.0827435865542603,-0.121643404169521,0.0361711120078991,0.0825405081549161,-0.0835214618232527,-0.0227444652046428,-0.155795140903326,-0.2403820561925898,-0.0840999981886563,0.1690095458364479,0.1204698338583885,-0.0426377482020118,0.0656787697574099,-0.0033133783753494,-0.0439821250273427,-0.1287690628458756,-0.052752028379993,-0.1090654121557617,0.2136839721146845,0.027885912110881,-0.0515827293477757,0.1707837773296376,-0.0377974919010242,0.0239304669010112,-0.037409151307161,-0.0014778767847605,-0.1204836315352011,-0.0336590883959521,0.0301720384112835,0.000893950190327618,-0.0591036473831147,0.0415371112131884,0.1828740900250847,-0.1794782906002623,-0.050080222776683,-0.0065915755351483,0.0256363519113537,0.1061301734924907,0.1536756085859241,0.0139880363388071,-0.0271923540950921,0.156613986626353,-0.1530376947981138,0.0536573150667979,0.0416434169805917,-0.0696946296649654,0.076449650887158,0.1241160054267157,-0.0769514468746275,0.1223292762292944,0.0708057894846939,0.0172643821602885,-0.0240452911164158,0.0082515832320455,-0.0677575244703377,-0.1888133145986057,0.0891122521477297,1.346503,1719,1.485329,1157.319354836538,7.054725401490949
1400000US27137002000,-0.0054803852441704,-0.222255650488907,0.103283730630319,-0.0853805826911344,0.0359897964281283,-0.1511406968581117,-0.2116581404779259,0.027513518295302,-0.0207457347573835,0.0240144490566148,0.0564403139050812,-0.0695133373235222,-0.1228203572613591,-0.1221838246116055,-0.315413536479129,0.0566455230958328,0.1218233481930249,0.0923232471109891,-0.113406298939625,0.106179014219014,0.0302212967949792,-0.0214089596441754,-0.0808151933741983,-0.0440187313113135,-0.040319668532849,0.2068397384172354,-0.0217393327439024,-0.0437790064908317,0.1997083221925469,-0.0411894378617232,0.01923718777995,-0.0004375005322616464,-0.0456639962992682,-0.0446276714430475,-0.0034068822481577,0.1087301031700676,0.0818445355830753,-0.091345984032304,-0.0162891792725783,0.1499018671725955,-0.162071357981885,0.0123751561094524,-0.055626024707366,0.0666812925988427,0.0677217965940184,0.171328508131883,0.161848299047703,-0.1669001163804535,0.1089550413163488,-0.2100822986458057,0.0919727003117067,0.0122045350132358,-0.0426442395350195,0.1320197241001105,0.1022715869729408,-0.027416095603804,0.1862034367857042,0.0621479710113714,-0.0145700499576515,0.0211401205726597,-0.0088209544589798,-0.038209629884298,-0.1817645706723115,0.0021275378940915,0.0,1201,1.122628,1069.8111930220875,6.9761717645445795
1400000US27137003000,-0.0318083416648087,-0.1201217846761977,0.1090735127660773,-0.0537019284420305,0.0382086263883465,-0.2328926031981122,-0.1495501379816137,0.1417052083125309,0.070995619561894,0.0218305805670435,0.1007483202327741,-0.0427578572145335,-0.1535860511077426,-0.0729347230006511,-0.3504670281874888,0.1614056501074844,0.0611051756543979,0.0451980738581013,-0.1477069751639347,0.0391185796475837,0.0779462608760431,0.0313501142431447,-0.0311279090703248,-0.0328994620395866,0.0268091148061408,0.1161269862223115,-0.0969894671413569,-0.0261988760378146,0.2088602141155997,-0.0302587690574096,0.0009809215309759963,0.0080538744469674,-0.0427447123744823,0.00041929443478362746,0.0505119231391823,0.1123759198706285,0.0921421007653246,-0.1247752741596124,-0.058196100268761,-0.0098637021474087,-0.136986805377064,0.0214636994088892,-0.0487373753909549,0.077727844443821,0.0197138880045903,0.1623634296702307,0.2102163728026841,-0.2630576706184216,0.090893942629349,-0.1965009666185925,0.0726058196337374,-0.00851769027471,-0.0530942816057749,0.1461856865402767,0.0685364159584375,0.1043462884073982,0.1872833761549476,0.0271611428835914,0.000991896950411912,0.0112632894874504,-0.0674984504599123,-0.000842898423921863,-0.1159995542206162,-0.0077947040027804,0.0,1456,3.198173,455.25992496340876,6.123062658004558
1400000US27137003800,-0.0249303276770128,-0.1017815885887364,0.0416264489576653,-0.1099694950694027,0.00096573810511823,-0.1735984351349029,-0.0958249420715659,0.169816243160959,0.0617677557323988,0.0416010749060482,0.1123688700465214,-0.0720448374828,-0.0861587655927127,-0.0579639755405464,-0.2585220117828602,0.195603685984182,0.0259821198214618,-0.0346465541535327,-0.1083576738828961,-0.0006092410244736658,0.0592059266639877,0.009127072741217,-0.026009804007124,-0.0091875732978762,0.00033611519022930524,0.0869440108899047,-0.0576357713055398,-0.0428001637578912,0.2079033555722705,-0.1052160641062722,-0.0389940911643517,0.0620989714217609,0.0120098074219363,-0.0182840391214111,-0.0111843262683831,0.1039126833492822,0.0928881902828465,-0.1104047617463432,-0.0437757763427653,-0.0035992433800792,-0.1470536811807629,-0.0075278278300862,-0.0165316605913447,0.0689088258662725,-0.0282606185728076,0.1605817823693504,0.1350042608924934,-0.1551214531006451,0.0823572691062391,-0.190482803542711,0.0906635560451712,-0.0141440712111877,-0.0493714418358254,0.1341267025107439,0.0229812684964136,0.1225757095090544,0.1261018330004037,0.0261762313763986,0.018427122722581,0.0017397224923039,-0.1131949988265599,-0.0355046555165352,-0.0418203432559325,0.0766008664950827,0.0,2612,21.27276,122.78613588457726,4.818555365971109
1400000US27137011101,-0.0043774963835304,-0.088103522552353,0.0836083940686947,-0.1013872155217451,-0.0261766835502273,-0.2246580249382434,-0.0809828784724767,0.2209036470996788,0.045007133547306,0.0682964281783171,0.20133082512242,-0.0631879095001457,-0.0607128850678507,-0.069964330514976,-0.2652088493252074,0.1383449694718302,-0.0250971713070429,-0.0480861088177239,-0.0952336593444392,-0.0797996727267972,0.0691969150769962,-0.0484105666205128,0.0050035804843934,-0.0693853685263007,0.0853216095207329,0.0954451159265969,-0.121625816493431,0.0387953166127012,0.2102982488754212,-0.027897088950497,0.0075611041037778,0.0316391935812902,0.0222666824542529,0.025463275241884,-0.0187048337024453,0.1163937170069694,0.1335651751478167,-0.0876071643005183,-0.0699682960694861,-0.0827762328821399,-0.1102521271079991,-0.0209835530703957,-0.0952307111633872,0.1423430900348074,-0.0277938599872503,0.1009283917473382,0.1602557241966128,-0.2699664428612172,0.1469889076182786,-0.1595012628583175,0.0791048312799562,-0.0167510221155633,-0.0357067709602553,0.1216666626581173,0.0250174026760038,0.1912876583432695,0.1675625324523286,-0.0284667236594468,-0.0138484746502453,-0.004056649066753,-0.1707649815270913,0.0658143838074821,0.0255780286488803,0.0400353142499537,0.0,1354,274.081134,4.940143016191694,1.7817332098846606
1400000US27137013600,0.0185871246894264,-0.1345405531676467,0.0733710913875805,-0.1323319230558098,-0.0366352648110242,-0.1722171192828811,-0.099412946908821,0.1862312675318136,0.0187128467193846,0.0618011249220439,0.1589004991586619,-0.0774316138171118,-0.0387991043450091,-0.0524922555632144,-0.2386382403620184,0.0996349185065484,-0.0122181750097705,-0.0237876542017707,-0.0290959042558518,-0.0509680619373887,0.0402470068829085,-0.0695888041409993,0.0045939727694781,-0.0773213876320072,0.0408195680376488,0.0940805670323826,-0.1108931914303546,0.0069046925905781,0.2187794502016945,-0.0604044727990745,0.0379825436504837,0.0329436076692336,0.0432086210927853,0.0262059060999954,-0.0863047268066755,0.1424224298878357,0.1223415807327376,-0.0604565649991696,-0.042024844692947,0.0053758057407699,-0.1456352736510858,-0.0156416443650765,-0.1038135408014213,0.1636224433222922,-0.0326968463748708,0.1065981518097399,0.1285012429975935,-0.2072132297909766,0.1281215370891265,-0.1980562633140561,0.1015076524677085,-0.0448406351472974,-0.0322827609129116,0.1254805702208678,0.0357905939270999,0.1530794634257238,0.1388946541745719,0.00099357911718865,-0.0180577688973588,-0.0070381946553857,-0.1585513298003746,0.0536565116475281,0.0255879198480905,0.063257299870496,0.0,1667,85.313369,19.539727706685692,3.022360947678641
1400000US27137015200,0.0374167869957566,-0.1101649717349561,0.0795729979285763,-0.1238172073465864,-0.047609775358816,-0.1828015988357528,-0.0679689054653556,0.2119274341335329,0.0348561895530368,0.051485828257861,0.1933822701954466,-0.0608967711106556,-0.0442366844218862,-0.0612968416722441,-0.2235506689669012,0.0716089637374983,-0.0426687135606128,-0.0391518871948491,-0.0152422903729132,-0.0807654132178165,0.0679713790291281,-0.067727821724575,0.0075863350325426,-0.0965364656181752,0.0681308807958023,0.1089747754829502,-0.1173983405589459,0.0453658542941277,0.2158850976633544,-0.0485807171573735,0.0507418330190383,0.0482492452516464,0.0415987547791632,0.0356304846373573,-0.0683800510613773,0.1147690824673658,0.1378240432931091,-0.0718120100314197,-0.0426313077010386,-0.021261484012091,-0.1555070894950312,-0.0314710642808151,-0.1085632333722351,0.1668967314087027,-0.0277015821455166,0.0919840101633386,0.1296069941665594,-0.2329563931808071,0.1635998811660662,-0.1651929524597825,0.0806145793305272,-0.055335257919146,-0.0476954601331614,0.0929673000500668,0.03592167694888,0.1863838073707169,0.1780861640024338,-0.0090492884107518,-0.0332039169770851,-0.0128437232773201,-0.162459389744075,0.0742375324114275,0.0486261612701407,0.0728685806917811,0.0,3594,761.660143,4.718639977463019,1.7437310109430537
