cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,ndvi_mean,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US13035150101,-0.0661102736157912,-0.0513080950180368,-0.0980129073559016,0.1609086396362655,0.0200540035117104,-0.1056927100753104,0.0152898977040262,0.0843401801193483,0.1149470198193505,-0.0655257854451611,-0.0421805336414343,-0.0579824808039473,-0.2163229902490907,0.0127146568981988,-0.050306644199067,0.0620285078475402,-0.1105929636389064,0.0081173942912846,-0.0782807974879172,-0.0191208421182327,0.0067900582383734,0.0427177079489385,-0.0102009603894031,0.1053455764423532,0.0190773601505962,0.1172738122822633,-0.1835761056412699,-0.0985257283091347,0.0139864725931854,0.1409093148067008,-0.038197667965456,0.0544009621709316,-0.0139561427880906,-0.0713367897099085,-0.1118923256805097,-0.1099561354473209,-0.2158698097148006,-0.1552129019260638,0.070082773785554,-0.0401868607365439,-0.084492225867151,0.0479809168406869,0.1843015237638987,-0.0241782953017371,0.0422095850444624,0.0982022383835319,-0.0295912699289544,-0.1178330096471992,0.1485958558975077,-0.1355278324462095,-0.1778734019193005,0.072478834462288,-0.0778173680672387,0.1586309378960107,0.117015449718852,0.1003757041177086,-0.0642281830476472,0.1974231840657761,0.0514610834574777,-0.1162716336377161,-0.0345340211660457,-0.1445515891344675,0.0052312535115138,0.045097062640705,0.7068894995522826,4154,49.556253,83.82393237035093,4.440577724329382
1400000US13149970100,-0.0010143221470596,-0.0232131521001552,-0.1154339005390828,0.1397639740289156,0.0087815664947071,-0.0949945801322424,0.0173144296413093,0.1028382061796933,0.1280757687633364,-0.0320534909552525,-0.0696633112003426,-0.0196726391399183,-0.2123404058144716,0.0384487594864869,-0.0290385116301059,0.0309756531175573,-0.103418862406854,-0.0408913475412395,-0.0434960948172186,-0.0518331863753621,-0.0210164253742483,0.0284990059954588,-0.0281962466781236,0.0782548085363189,0.0127582463354413,0.1853234133127121,-0.2165817743254484,-0.0540697049043526,0.0010487413744304,0.1780989017966749,0.0157276664727791,0.059151244865129,-0.0200644020268877,-0.0630742293874173,-0.1090062104889997,-0.1038388951253633,-0.2042240057585126,-0.1244628278138165,0.1361434854035485,-0.0205887629411257,-0.1042913391631096,0.0843249323935935,0.2025439945815798,-0.0258237070983101,0.0623485877989619,0.0841109939087584,-0.0338794941801588,-0.1175580969656937,0.1739618806707653,-0.1492698843672085,-0.1587357049052634,-0.0017702691676075,-0.0606323356995941,0.1513783185802931,0.1165979575050109,0.1036140847446865,-0.077105841733604,0.180671314569097,0.0517597877832127,-0.1254887528915134,-0.0166182460195813,-0.1465296409695634,0.0083495488907999,0.0488320660413545,0.7676098340576374,4426,229.896542,19.252138207455072,3.008260378469873
1400000US13149970300,-0.0241550181666014,0.0054310196971277,-0.0961869005831208,0.1526663509638476,0.0210967272160897,-0.1120222436206233,0.0133154021810294,0.0955500537246784,0.1513038870006008,-0.0409904613979782,-0.0774380490574038,-0.0272700680972705,-0.225459817375592,-0.0001585579298410959,-0.0402790998172646,0.0428300263051407,-0.1043683239775483,-0.0180002967325973,-0.0882822156573142,-0.0493284034494959,-0.0223027594075029,0.050691330636138,-0.034399331487235,0.1070715771696791,0.0169630623879225,0.1580408268868582,-0.2274294822853141,-0.082364697507956,0.0089515377643954,0.181365137581642,-0.0114377654604052,0.0697451797276324,-0.0060252205243495,-0.0630327104878066,-0.0836599846594564,-0.1063544346931472,-0.1925386933343401,-0.1412022346365102,0.1021351698320818,-0.0452632537911652,-0.0667864098046023,0.0852139875243114,0.1968818429695085,-0.0347139412429786,0.0633511071831822,0.0900533655979944,-0.0199919386337125,-0.147793617608944,0.1623115830239426,-0.1415253877459358,-0.1472831821245877,0.0363781634022048,-0.0667727734118071,0.1580453672936856,0.101443781451783,0.0901026791008114,-0.0586771530520267,0.1650840611367543,0.0494832032508635,-0.1207945921893368,-0.0368856898921017,-0.1490388444606395,-0.0138054886394413,0.0367723470041537,0.7738806843347813,3374,297.832615,11.328510814707114,2.5119145324860592
1400000US13171970201,-0.1003946748078805,-0.0236758176602096,-0.0610263242084036,0.1770344700852085,0.0080763598730102,-0.1113088767800453,0.0243838173885302,0.078353252256635,0.0921723833863425,-0.0667266463571411,-0.0787629994697844,-0.0470975745054717,-0.2063412233130449,0.0013688459710685,-0.052119109729928,0.0633600900340439,-0.1247433449339825,0.0237611969977521,-0.0829846343126009,-0.0259442646976419,-0.0291091874996033,0.0540469841722012,-0.0028673868810223,0.1028081300720463,0.0193393781582286,0.1002106363558156,-0.1822219293186417,-0.1220361353877511,0.0285138184645434,0.1422848014899917,-0.0479863589754289,0.0155642553195345,0.0224082517166159,-0.0997848277213127,-0.1551564217136165,-0.1063379934491634,-0.1812978522662255,-0.1655766273827909,0.0345668732191239,-0.0506795659079554,-0.0199155978916304,0.0594393661128107,0.1538342054179858,-0.0279551683704392,0.0712493671128734,0.0665983128425736,-0.0391629018319543,-0.1332340799811345,0.1793737489663404,-0.0992079637285211,-0.1952341997677527,0.0783325710395438,-0.0769018676844845,0.1395227156260456,0.0995730790941895,0.1044178434010297,-0.0650235791909204,0.1703320804488992,0.0471546060816218,-0.1430290256412642,-0.0696181871560724,-0.1114855991541476,0.0083683989352165,0.0560519353615756,0.7511823857297429,3670,175.672538,20.891142359427857,3.0860820965334517
1400000US13171970100,-0.0834017032462649,-0.0288760357103455,-0.0809729661379788,0.1713411828443747,0.004834550759588,-0.1212374564060755,0.0257140767347021,0.0723926311062697,0.1007407662777195,-0.0582200114765666,-0.0616045341556153,-0.0472864423203461,-0.2104331802663881,0.0082875529358563,-0.0662006014545958,0.0482428197343748,-0.1257082962116734,0.0115142212231716,-0.0874553581826568,-0.0184490658920847,-0.0213345801278885,0.0589607425295158,-0.0160594453924013,0.0929947056020359,0.0190547877285925,0.127464557597462,-0.1825524568381505,-0.1073696535353898,0.0258262463284743,0.159131278804022,-0.0359303092743184,0.0295914130489114,-0.0010434923441493,-0.0824604169729002,-0.1218359536583911,-0.1085015816308512,-0.194412204168639,-0.1607209683171784,0.0592916417159407,-0.0651941006223714,-0.0489179492594167,0.0637092847140816,0.1700665249682645,-0.0284571124886385,0.0620555274901507,0.0809859586952898,-0.0241593273551141,-0.1346483400919728,0.1838380568779209,-0.1263309593670193,-0.1964817738837581,0.0702726394115948,-0.0674406766484221,0.1499662088821149,0.1067018809073024,0.106329245088179,-0.0600910629668697,0.1706222593080079,0.048925954164573,-0.1334133405886406,-0.0513339197455259,-0.1331990793021873,0.0017814706694822,0.0489924324116368,0.7541747448487539,6735,196.657157,34.24741871967568,3.5623922987663716
1400000US13231010300,-0.0818127444666049,-0.024482484014935,-0.085780713617499,0.1845241385084701,-0.0162901604453552,-0.1313243575125837,0.024723062418901,0.0556428688176203,0.0784609373742903,-0.0590080413323736,-0.0718278103538184,-0.0441688952430041,-0.2071240798660239,0.0207915957526683,-0.0738765705682663,0.0374477571224902,-0.1087560315549849,0.0077043935796773,-0.0744862382696541,-0.0411134917973555,-0.0405682564467591,0.0501606965056842,-0.0242934819451805,0.0885494175221234,0.0169463729808031,0.1144502287024185,-0.1732790231532819,-0.1212573501059117,0.0268045699922673,0.1786480653538159,-0.0338080313597428,0.0166335281386109,0.0021916115414575,-0.0946824198683305,-0.1610230779134936,-0.0897056036181172,-0.1697803631891997,-0.1439818113440229,0.038732629844292,-0.0588584607416529,-0.0409324243440002,0.0726382739963763,0.1596068939883092,-0.0229989974440224,0.074273654997712,0.077674330504738,-0.0397850698101076,-0.1322604728927641,0.2037969097159607,-0.1153507909556652,-0.1983153774945489,0.06082906166451,-0.0548992579629744,0.1355305746097203,0.1116257940833212,0.1035348914247137,-0.0623802505052796,0.1557296464645385,0.0579285204826559,-0.1496830427436496,-0.0498453870720744,-0.1192429235740918,0.018767555988768,0.0630153814707022,0.7587874238167062,4288,172.790184,24.816224514235135,3.2510031514206736
1400000US13013180204,-0.0873892858041532,-0.0990835361919806,-0.070699390519368,0.1613346526981801,0.0462612720698068,-0.0869592156622311,-0.0163313425791079,0.0510893649981456,0.0989066356099986,-0.0966906714436191,-0.0285692357892538,-0.0654537278288255,-0.2314141094216121,0.0171747598107875,-0.048353951079028,0.0632392191843569,-0.0865884100222795,0.0685614702529952,-0.0433824622353681,-0.0085143590995702,0.0218781477238118,0.0247431002756245,-0.0141701887750147,0.0917938454237053,-0.0128506787473387,0.1414640554346311,-0.1449524832678666,-0.119767837496336,0.0011193406491061,0.0901420314624403,-0.0583110207093752,0.0428192758345627,-0.0430483597458967,-0.0223344544427271,-0.1076114752601138,-0.1061983675010663,-0.2066265526739157,-0.1437010496319278,0.0464859943361964,-0.0058044715228408,-0.0925682596495053,0.0229829069987974,0.1631566996503159,-0.0070560179004558,0.0173572780016028,0.107709081941014,-0.0329074638779938,-0.0686234954459182,0.1363118295967472,-0.1604228988653971,-0.1427194128555992,0.0846458702846247,-0.0889660631249687,0.1856601655989261,0.1503344597373368,0.0511725977632485,-0.0728705943582633,0.2203678387120096,0.0578354633465505,-0.1253222900829755,-0.0235863740607676,-0.1618768413387,0.0019066551680366,0.0230085826172319,0.6707692475420544,3202,15.065068,212.54467620059862,5.363846066986546
1400000US13013180205,-0.1084728769050634,-0.1363492273007195,-0.0012102779441496,0.1977782881620179,0.0421507898703587,-0.1018438971666844,-0.0381997480803295,-0.0484641509748792,0.0727419656163813,-0.1266055301794355,-0.0107045960450379,-0.0793632301272301,-0.2723172315855884,-0.0385755018280931,-0.0776145985258973,0.0548152637718694,-0.0778992908622602,0.1102458241845594,-0.0679251229101815,0.0087917318540177,0.0208851510852611,0.0541840185047575,-0.0319857128174918,0.063324329242116,-0.050732786477435,0.1708848854496879,-0.1218012603635788,-0.1213024941716966,0.0230519764245625,0.0856048367554627,-0.0504563468232564,-0.0092008223356861,-0.049509863677269,-0.0303838385228798,-0.0959088997707695,-0.123356206270275,-0.1915757815198841,-0.1550327190895461,-0.0182571286021069,-0.0118243871853943,-0.0757818936606325,0.0089309727895189,0.129002321343882,-0.003609238801118,0.0470276034374079,0.1271922368302331,-0.032359033981532,-0.0604625419287163,0.1769335772415242,-0.1361948909927582,-0.130859873451668,0.1201803634717409,-0.1257810362934648,0.1864405080383258,0.1668646505754237,-0.0212328159049235,-0.0293998924463532,0.1779943946267407,0.0655223180474508,-0.1412627517539997,-0.0023910889135147,-0.1549487392885295,-0.0314385535411163,-0.0163936452710689,0.6147226096854386,4708,10.936267,430.49424451689043,6.067254172119093
1400000US13013180206,-0.0985721489193852,-0.0900515861233033,-0.0464955474401283,0.1855315054750449,0.0595687988882797,-0.1028284938850415,-0.0028380879465703,0.0313764972379303,0.1308404031024508,-0.1172048059526576,-0.0027069584692771,-0.0797293714885547,-0.2606764863470883,-0.017838426137235,-0.0625779732726984,0.0897143901170646,-0.0994351426996576,0.0768721255674883,-0.0817992846386514,0.0070124277794324,0.0347010319542386,0.0627925590924661,-0.0216637617686228,0.0940087823691191,0.0042430454147174,0.159100748856677,-0.1565612986569901,-0.1069622833708561,0.0174314184090103,0.0891411513599598,-0.067301573004901,0.0227370629310718,-0.0733922097497506,-0.0299454067151401,-0.0413572081656379,-0.1446220669578954,-0.22634262798987,-0.1896166063921993,0.0114256640597282,-0.0570644036445437,-0.0809801366503274,0.0187071997671932,0.1807718690807118,-0.0260037181285828,0.0209286388638725,0.1089868962561899,-0.0053593892667584,-0.0867007005652524,0.1654974390039677,-0.1404698904882303,-0.1579395051749353,0.0839799433324499,-0.1070641732985022,0.1906156463030115,0.1494097841084259,0.0443616927235817,-0.0272170327927518,0.1916605772267416,0.0404752205023713,-0.1019152389681866,-0.0061806140879264,-0.1641836810267345,-0.0283172566023855,-0.0238193763801959,0.7298916611940275,3298,6.993749,471.56396376249705,6.158173110814015
1400000US13013180503,-0.1246210096539968,-0.0554475532615093,-0.0236410882071282,0.156711131223031,0.0456499512307098,-0.0813880652733348,-0.0169423872106032,0.0190892602562689,0.1113356127577827,-0.1064723069208601,-0.0404379082689748,-0.079294012735018,-0.241039721071807,-0.0005047378994916512,-0.0711368585603417,0.0740401080617824,-0.0950254780113574,0.073425995698786,-0.0897299623696204,0.0075241347253662,0.0107484346342069,0.0427396730731552,-0.0215165347223442,0.0980830668964956,-0.0108215718079223,0.1391130103628493,-0.1686895927564655,-0.1618911228475451,0.0291758996947327,0.1102770285280113,-0.0830449525325088,0.0049060115558834,-0.0354391024159352,-0.065274421354211,-0.1137817899712436,-0.1207321165374555,-0.2014236368886782,-0.1763027311156997,-0.0111195581405176,-0.0381935908416242,-0.0446710209361854,0.0368327997833869,0.1535889941016265,-0.0119798423562799,0.0263765167455844,0.1093648200983657,-0.0184879153414376,-0.081567806967994,0.1653413976061963,-0.1303436928468987,-0.1639570497563623,0.1039928328063799,-0.0839110305637886,0.1765449469520688,0.1411275698180732,0.0581060063744483,-0.0485465361585157,0.1944520201524043,0.0377761226507202,-0.122839654103618,-0.0361734900877253,-0.1579908868715661,-0.0345888357937619,-0.0150478741528346,0.7196201896301558,5635,23.048515,244.48429757839065,5.503232984204832
