cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,fam_inc_lt10k,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US09001110301,-0.0813058722970169,-0.0976919305689835,0.010220087906928,0.0439295831077901,0.0080087042139399,-0.2584607278516072,-0.0366716699380754,0.0772879737257782,0.0706414934737297,-0.0896926478961617,0.1466712159811515,-0.0538433964408346,-0.1425732696749908,-0.1154977893286731,-0.2306459610604813,0.0726072211656564,-0.1117053668831697,0.1004982854494619,-0.1864216203507645,-0.0416557439487031,0.0586721560727671,0.0220300702795594,-0.1749839305334842,0.0092600964681189,0.0383561679500298,0.0986183721597096,-0.1251683823914544,-0.0606912515969359,0.0654462492590619,0.0661687541199606,-0.030374907602323,0.0776512456309945,-0.0642115167197566,-0.0207305439240835,0.0762493979067704,0.0138654441667747,-0.0719031987084475,-0.1569831738035751,0.0278501808137931,-0.1178716033373015,-0.0676307024467431,-0.0290714544254906,0.1231563039298539,0.06180882444728,0.1510311200517963,0.1163183872806927,0.1760670846416512,-0.1217018128062566,0.2834382614550325,-0.1810484320491735,-0.0918772220108826,0.0722844263748702,-0.1092816468374527,0.0690973834397418,0.1155976562673165,0.0582473694783134,0.1852239858559471,0.0990635673269175,-0.0221665111131031,0.0284556036470909,0.040425693201148,-0.0930315818647223,-0.1192899808163164,-0.0185387293370124,18,6647,10.336294,643.073813496404,6.467813336766742
1400000US09001060800,-0.0066250366908829,-0.2300676718205871,0.0485995525956267,0.0195314174188727,-0.006145745351663,-0.1861506297560426,-0.0583533275719094,-0.0401176043443865,0.0372473878101234,-0.1809479418314997,0.1623880617226914,-0.0656047889360817,-0.1946810076861056,-0.1724794186581845,-0.1310501642873134,0.090546223225158,-0.098510253872267,0.1814631326091261,-0.0478236224510746,0.0205357966686088,0.037070454304631,0.0806895896252093,-0.1610418194588231,0.0421904870555075,-0.0233781556573664,0.1809061729291397,-0.0142102645536999,-0.0925648665872292,0.111276629118129,0.0288333143172944,-0.0197043931743863,0.0658569266371095,-0.1566752950972224,0.0096895545430759,0.0816073340282074,-0.0082659379657807,-0.0725711954034666,-0.1106333748525894,-0.008217293588776,-0.0268267388699524,-0.158722259569011,-0.0552578117329009,0.0894654694928482,0.096591831927726,0.2131827614830828,0.1451784446518327,0.093868677812651,-0.0498077400728229,0.2911161249440762,-0.1643635531634958,-0.0903055071609438,-0.0067938262595949,-0.1835222338292975,0.0704912001240049,0.159435759274574,-0.0935650667748514,0.2113769279160627,0.121081261682162,-0.0184926600808958,0.0549030327111095,0.0254992142910412,-0.0286026051163395,-0.0882228386944063,-0.031457768301161,17,2103,1.423922,1476.9067406782115,7.298382001194097
1400000US09001073300,0.0334969255992198,-0.3154358285272007,0.0479788524163725,-0.0395143154446861,0.0500045349184519,-0.1547655899514331,-0.1259528790358718,-0.1215358243960404,-0.0640372658020108,-0.0902344590763767,0.1174264994948942,-0.0226795592305463,-0.1455352546034562,-0.212290327384389,-0.1556580428927528,-0.0231251546497407,0.0363461434358994,0.2215035148437816,-0.00212771828811,0.0300586634172059,0.0022732238691739,0.0636015224115699,-0.1570259071670759,0.005773063173852,-0.0509221522729773,0.2739721400456269,0.0250486705215835,-0.0159400531976111,0.0688672807033682,-0.0220381160859369,-0.0327362533530466,0.0020159587269208,-0.1176516107862089,-0.058944206319436,0.1322551807185117,-0.0928806445782223,-0.0968685749901049,-0.0393675104339695,0.0339615445473919,0.0920058830799081,-0.1554641943544371,-0.1084735265360683,0.0810347266412848,0.0756401625174244,0.2340851256418446,0.1156996025849404,-0.0017353452642406,0.0133606736608851,0.2798801534385721,-0.1166613411459954,-0.0090814595616713,0.0209187509028406,-0.1653771115280938,0.0730769565433351,0.186843918058857,-0.1637939458846214,0.2084431383795393,0.10936440256023,-0.0221044060082197,-0.0408252380059568,0.1030546414442545,0.0486976520717241,-0.1752779196651581,0.0050119475679587,16,3518,0.50262,6999.32354462616,8.853711647630188
1400000US09001020600,-0.0061979945614298,-0.189981564238494,0.0462686870328051,0.0104140407225318,0.0055986902789826,-0.2121156816250798,-0.040005528207077,-0.0116226176420403,0.0610630056669929,-0.1647400409465629,0.1596858840447302,-0.067621666371098,-0.1908158092234661,-0.1714901993917407,-0.144279037470364,0.0920642461081503,-0.1034749857798857,0.1803669675820113,-0.0863375476683881,-0.0065157760361398,0.0482500472024285,0.0689085989231421,-0.2051416386977099,0.033689606287234,-0.0084130507771302,0.1552803670587541,-0.0530860070398678,-0.0772741103581802,0.0874009184580318,0.0315888136362285,-0.0140627610056896,0.0933810642101556,-0.1342866584373986,0.0270461575538593,0.120987715754915,-0.0352070492640456,-0.1071550671492103,-0.1315188602703906,0.0073913349410593,-0.0881811110786605,-0.1586483816003273,-0.0609248868728334,0.1254210646446048,0.091064775651419,0.1955551070867179,0.1208552751658701,0.0858782919198273,-0.0475065118895022,0.2764349450885847,-0.1666220046710223,-0.0927287575641979,-0.0061375096888429,-0.1735135099471459,0.083264662356429,0.1513719855370265,-0.0404595555468339,0.2040248080010993,0.1180576433584829,-0.0121572138814733,0.0686426902369512,0.0345594080288324,-0.070959024205949,-0.1124419992914633,-0.0018582521915036,0,4768,3.409879,1398.2900859531965,7.243720305532064
1400000US09001071000,-0.0232636348686562,-0.264225784452782,0.0230430177919429,-0.0349467190528067,0.0184046599059546,-0.2055783873281405,-0.0891717106164662,-0.0980731629081707,-0.0691992310851805,-0.0958337536914875,0.1253346990454462,-0.0498664982110197,-0.1325092870244844,-0.1783765705704287,-0.189064289555378,-0.0038411011632152,-0.0264303634607523,0.1651866431808971,-0.0739922898522672,0.0336625162019239,-0.0033500699300889,0.0273460640132501,-0.1660757873304446,0.0019268240150894,-0.0532265335367901,0.1757225707420726,-0.0225830277844761,-0.0656879057152619,0.1017807872983084,0.0385084915705313,-0.0331609900943787,-0.0013767760379411,-0.0726167349888915,-0.0649986668537479,0.0313818132004944,-0.0041545757489068,-0.0709288253208098,-0.0562472265861894,0.0109680744002309,0.0397026137672283,-0.0847276646860292,-0.0396235356657103,0.0575706995020247,0.0608893099086235,0.2101195357849027,0.1281568753762814,0.0609541841798786,-0.0157721359725601,0.2884727853494658,-0.1514694019493048,-0.0789942597501343,0.0930430054384007,-0.1302071822434402,0.0582797874622721,0.1629071992088989,-0.0812656556485006,0.1678978554275194,0.0873878050059401,0.0163963178396917,-0.0068830631371296,0.0627729366138943,-0.0392307843272831,-0.1264627060480169,-0.00029579862138190763,5,3480,1.14747,3032.7590263797747,8.017557732357282
1400000US09001021502,0.0351316151108534,-0.3001694867774929,0.073515242003328,-0.0751824477653442,0.0177462232360957,-0.1643574040746125,-0.1215875462166768,-0.1507378348168714,-0.0372393559121729,-0.1055471164506994,0.1267837375739311,0.0243378450481599,-0.1595029143128127,-0.1950641833160224,-0.128572159164356,-0.0730007127854152,0.0292536046615996,0.1770142640783052,-0.0738188589350771,0.0506682684861644,0.0057882636506934,0.0799144009409427,-0.1731139395045979,0.0309448491193874,-0.1073952080526114,0.2352172963308858,0.0174074999564761,-0.0422550372452052,0.1118639240645112,0.0110874319312936,0.0142825596416152,-0.0186185287154972,-0.0724957518013026,-0.0838467388901766,0.1058251897615393,-0.06238791043786,-0.1162091899266725,-0.0194395837221115,0.053171772544242,0.0434736996756752,-0.1934560364104492,-0.0683289169764093,0.0476861306462759,0.0485488986470437,0.2227061765959888,0.1200758523465811,0.017596788866511,0.0281976354026151,0.2806963865730163,-0.0895684653993039,-0.0484916023941632,0.0530963054944462,-0.1806525643952171,0.0812051435084318,0.2083988169123617,-0.1618817307932383,0.1405451840021148,0.0621020194960319,-0.0118238023255586,0.001470492855962,0.0775805672692255,-0.0396186249922878,-0.1792376876352789,0.0208317872741356,0,2420,0.346295,6988.261453385119,8.852130172047003
1400000US09001071900,0.0456779519855388,-0.3269382582818714,0.0145528087621045,-0.0714446887246971,0.0556792845778068,-0.1929530881141064,-0.1256620479404785,-0.1738772900487691,-0.115591653381519,-0.0468605993905953,0.1023317737356957,0.0087833724570058,-0.128705531013988,-0.2125849006478682,-0.1812566610071417,-0.0543160117133493,0.0679479829917721,0.2112854267914042,-0.0155600825525326,0.0425327463582859,-0.0045661865903954,0.0462985726567614,-0.1690533608287346,-0.0107347844060672,-0.073445360791009,0.2472014043951246,0.0290111034548542,0.0237134176053549,0.0540068770065159,-0.0173321961994014,-0.02508819143172,-0.042894598974682,-0.0692881827959331,-0.0928468184975961,0.1234315224616518,-0.0992892136699759,-0.1180383912915671,-0.0313068139069994,0.0539637314248643,0.1267295486424441,-0.1473008145578503,-0.103356641384598,0.0607112770723725,0.0528751574330778,0.2143038086973122,0.0888803108892503,-0.0283017384237933,0.0199989729325667,0.2730864536131488,-0.0956838692466672,0.0019978326424827,0.0571308583123335,-0.1469709694934112,0.0557420284621463,0.1895904701933387,-0.1644102702199338,0.174746508981436,0.1119616496243263,-0.0089793988723574,-0.0761432377823993,0.1039827555364577,0.0304056452368684,-0.2198378748509805,0.0307640113193127,121,4912,0.494024,9942.836785257396,9.204708219666605
1400000US09001072700,-0.0360062970544047,-0.2293022024607603,0.0185841599477442,-0.0153683103492164,0.0051798082775434,-0.2126887007572217,-0.0826580890900947,-0.0112319611008472,0.0235750689434439,-0.114638278742048,0.1547230807429553,-0.0699482287885366,-0.1406176475876358,-0.1708577064210196,-0.1645959230773009,0.0497013057887015,-0.0823367107012193,0.1541858001813176,-0.1035689833426159,-0.0149520855114098,0.0408056756748249,0.0390802942766147,-0.1613324126566579,0.0385393567700291,-0.0453838969693715,0.1449976700378613,-0.0424723677653149,-0.0632468834836429,0.080870897159547,0.0219404383425975,-0.0353144457841431,0.0717418376228206,-0.0843348113244708,-0.016039802787868,0.0773520797229771,-0.0152830478522541,-0.063040260362583,-0.0972130808229139,0.0194185172038738,-0.0132921859271939,-0.143667261732311,-0.0799493924034253,0.1090413962008738,0.0856701794522538,0.1740949372552588,0.1551927666373081,0.0764126219922041,-0.0424972797117878,0.2429564248875952,-0.1865150253217858,-0.0542766570765854,0.0642842137325424,-0.1562286525088766,0.0756625082068661,0.142411826685809,-0.0508018837572088,0.1913522780231044,0.1356889345393314,0.007819733497552,0.033404681261341,0.0374949606796468,-0.063447188850867,-0.1147730922048787,0.0042486970180188,30,3827,1.79646,2130.30070249268,7.66448773077474
1400000US09001210102,0.0006555483181402972,-0.3143065885159941,0.0442525481429563,-0.0313207979301777,0.0456131392354891,-0.2044491785372977,-0.1539543512545862,-0.1273278991190253,-0.1025669221290371,-0.078912752857975,0.1230698341065431,0.00021413290315636864,-0.1170350801391628,-0.2004303993183194,-0.1730407577774686,-0.0352717640228203,0.047026237674218,0.2100633237192615,-0.0592078819070178,0.0242303729666841,-0.0120920259884417,0.0092059327519396,-0.1830954667924339,-0.0063497802895135,-0.0827362839323973,0.2242260359514483,0.0240904962283316,-0.0095227037250552,0.0300401195314771,-0.0395066121358388,-0.0381054449672082,-0.0062732907142892,-0.0665507097367924,-0.08270505394978,0.1002755823141647,-0.0728374939248042,-0.0869347224264691,-0.0472476847546602,0.0333683328269251,0.1207084124851638,-0.1393818320038208,-0.0797511972169501,0.0879867168664787,0.0561328621030969,0.2104755964960095,0.1171651126213311,0.0352857516936514,0.027410402776387,0.2964946804044051,-0.1253856532316184,-0.0024136273721482,0.0696470700834122,-0.1494414131112998,0.0975857211401198,0.1999614415624591,-0.1163461904601215,0.1806917546966494,0.0864888456583562,-0.0290731855466661,-0.061469546732726,0.0806523409188213,0.0036796971541194,-0.1587215623420617,0.0121224176986024,19,3101,0.612603,5062.005899416098,8.52971563717091
1400000US09001210702,-0.0141372193341729,-0.2330743895657499,0.0653461575208311,0.0158103511062616,0.0251693839068723,-0.1987076593662799,-0.0876973570901409,-0.0616532411823838,0.0134767752846913,-0.1594464378046785,0.1294863997158122,-0.0402740008668092,-0.1776008504962848,-0.1774409598048308,-0.1729507536779797,0.0651239490625989,-0.0418451533356001,0.2117196671197848,-0.050823647625045,0.0168206777761815,0.0183108508923794,0.0302541448909653,-0.1579222659271794,0.0348571506664652,-0.0380793911771117,0.2005681298494036,-0.028613962351199,-0.0857103273315584,0.0797893143985118,9.025392626903464e-05,-0.0412220986891987,0.050637457099675,-0.1210573389219612,-0.0107644282889792,0.1107883922258341,-0.0275772722651673,-0.0819405015210792,-0.122014404243639,-0.0019414550919585,-0.0090911660409265,-0.1518998015696117,-0.0556949622481373,0.1008946886952198,0.0859692003107471,0.1939032470230185,0.1238587249477044,0.0897699890158774,-0.0322241536450315,0.2715639167802094,-0.1816987788122431,-0.0343333730518598,0.0201371055723149,-0.178512547032519,0.1036290531399605,0.1829972163789304,-0.0794506109851679,0.2113083259236234,0.1079110361296408,-0.0137945032529683,0.0066284946878769,0.0477689992979482,-0.0284841508858869,-0.126590500207628,-0.0282511859886107,44,3908,1.307752,2988.334179569215,8.002805959168999
