cb_2020_3,elev_mean,slope_mean
1400000US36001000100,10.151410899072358,2.014119249106916
1400000US36001000201,43.42743607961705,4.457643650667111
1400000US36001000202,45.000347536043016,6.468748682853374
1400000US36001000301,73.22879264271107,2.1908035614383885
1400000US36001000302,73.74633382416408,3.350081471799008
1400000US36001000401,92.42317350140304,2.8871395610132122
1400000US36001000403,74.8344340958363,2.062552003017273
1400000US36001000404,79.74887082227403,2.704632519939497
1400000US36001000501,73.39061153986712,1.0877378072801307
1400000US36001000502,67.75406756741714,0.8305097204549423
1400000US36001000600,68.38884562605162,0.7971395634195463
1400000US36001000700,61.58352196508853,2.8743229680800724
1400000US36001000800,62.51194482495682,2.0749821977862677
1400000US36001001100,17.03626937107983,2.6820321536006433
1400000US36001001400,62.01393976363429,1.9647000369174363
1400000US36001001500,63.367204702267834,1.2255594504985674
1400000US36001001600,65.74193200819849,1.184983628882805
1400000US36001001700,69.01425092899872,2.0202389661162465
1400000US36001001802,63.30584090574982,3.656805626613914
1400000US36001001803,71.33426681203214,2.3883182484903975
1400000US36001001804,55.73311144309002,5.238502991015908
1400000US36001001901,67.66710970190402,1.0672240682950482
1400000US36001001902,65.87994919364509,1.7571070914389202
1400000US36001002000,52.785530325444896,4.412646194613036
1400000US36001002100,61.24377196821191,2.114465350811019
1400000US36001002200,56.3520550877503,2.7344668071736065
1400000US36001002300,36.83051090284075,5.033232211688732
1400000US36001002500,7.759474419993619,1.6731189091376677
1400000US36001002600,21.899592314972804,3.1828933635612593
1400000US36001012700,9.950019007932598,2.5417334585420206
1400000US36001012800,18.86761240384537,3.17389505395871
1400000US36001012900,46.87881213010658,5.415384827781704
1400000US36001013000,77.23993175877119,3.6829262576282487
1400000US36001013100,6.710366007560781,2.036018541931534
1400000US36001013200,8.450960278452113,1.300924685670504
1400000US36001013300,19.30662611032485,2.3164100918617976
1400000US36001013400,9.422599961051393,1.3670384836279705
1400000US36001013503,78.78970119869247,3.2041537681978225
1400000US36001013505,94.86463243384993,3.0170986015005385
1400000US36001013507,91.09989271063546,2.0302184512357444
1400000US36001013509,56.96226420384587,3.531640933596914
1400000US36001013510,96.89523458380872,2.645378537344854
1400000US36001013511,84.59919715984566,3.5707525911714804
1400000US36001013512,80.40089199360389,4.481992533261724
1400000US36001013602,26.398718259456885,2.7466384902031735
1400000US36001013603,60.780144187331075,3.214727919744137
1400000US36001013604,74.68509986114184,3.9757788581441473
1400000US36001013703,94.44595006840665,1.8048217802463626
1400000US36001013706,111.4296118357131,2.4049697480326233
1400000US36001013707,105.88416451153297,2.4359886191080506
1400000US36001013708,91.0223930574455,1.4403421823823426
1400000US36001013709,79.4304542429332,3.369106465494413
1400000US36001013802,111.38819706319173,3.78434575045153
1400000US36001013803,98.75861834137,1.5678272431780547
1400000US36001013804,100.24684042641756,1.2490612831717283
1400000US36001013901,93.19399387351766,1.7096743688212617
1400000US36001013902,95.73262054382519,1.450779354810544
1400000US36001014001,82.8279203188421,1.7190439420843613
1400000US36001014002,74.34173562533799,1.8556603412628796
1400000US36001014100,56.63000333109372,5.684093100003693
1400000US36001014201,50.671475120804075,4.486331058094202
1400000US36001014202,68.01549566095835,2.5054088156111827
1400000US36001014203,62.47366302905611,2.5785330396521546
1400000US36001014301,34.31016711908499,2.809305300701288
1400000US36001014303,55.624379321950215,1.7578171722862639
1400000US36001014304,62.84833593444449,3.3275191153069863
1400000US36001014401,163.2446034223923,5.929358969999855
1400000US36001014402,59.06009470147575,3.700729543238474
1400000US36001014501,194.9600453235064,6.1856936480379145
1400000US36001014502,185.32354063739848,5.5709780927929256
1400000US36001014503,105.97823844679519,2.8069239883848787
1400000US36001014606,97.21136531760261,1.8321300043289857
1400000US36001014608,80.38770533887543,2.720933231615412
1400000US36001014609,65.4267510350013,3.705144992369244
1400000US36001014611,93.3199506243357,4.649396026913303
1400000US36001014612,139.86989611802684,4.303184777341539
1400000US36001014613,148.75402888459783,4.0861132771415285
1400000US36001014614,67.00480989183563,4.325845322351965
1400000US36001014615,63.52865252907291,4.328944977810314
1400000US36001014616,93.01415378279087,3.6694539614565778
1400000US36001014617,91.34088701899239,4.075071736062674
1400000US36001014700,363.18326078674164,4.044750447113497
1400000US36001014801,448.5198731902262,6.645654956060587
1400000US36001014802,433.6399222398972,7.4862642113334354
1400000US36001014803,354.4412151832081,4.658550239922926
1400000US36083040100,17.84870581709519,3.1485912663062394
1400000US36083040200,10.816800536849906,1.5959641103437083
1400000US36083040300,9.078576586883964,1.6085389374043497
1400000US36083040400,9.01785229960168,2.239824771295954
1400000US36083040500,49.821639292362335,7.306757995474206
1400000US36083040600,58.83657832878404,5.770202651610873
1400000US36083040701,9.788603777628115,2.9826854567566676
1400000US36083040702,54.423036272002946,10.87678789324236
1400000US36083040800,7.069842177110286,1.5549832718035923
1400000US36083040900,22.60297763195157,5.085817020612429
1400000US36083041000,34.895515649002874,6.26025299652185
1400000US36083041101,92.3354731355093,4.453164310831878
1400000US36083041102,78.26448267640606,5.873683172594307
1400000US36083041200,98.10867276774296,5.5664822438478065
1400000US36083041300,100.2132100733051,5.007941710472296
1400000US36083041400,88.17207220329065,6.823544261409084
1400000US36083051500,9.51157083411223,2.8131742929823043
1400000US36083051601,25.897085385321667,6.857068406351373
1400000US36083051602,46.59987199354228,7.515125727037162
1400000US36083051701,225.9688382667402,7.470501364634634
1400000US36083051702,154.61915590547508,5.3179789815148535
1400000US36083051800,177.34702371082625,5.378926210337883
1400000US36083051901,92.60150744793317,5.270708310407326
1400000US36083051902,121.0959580881434,7.5782500310171095
1400000US36083052002,202.85764481546465,6.595309355177179
1400000US36083052003,188.01474772809638,7.776765931688984
1400000US36083052004,142.7550563930878,5.812131125419192
1400000US36083052101,425.0385325548794,6.359700127156733
1400000US36083052102,354.63277449087695,11.99580483842768
1400000US36083052103,478.7534326446824,10.68643190827405
1400000US36083052201,309.91858286794564,6.033936083173884
1400000US36083052203,334.63232594915684,5.834929385710784
1400000US36083052204,200.1663606853068,5.0628571457045055
1400000US36083052301,107.66010067586758,5.83062695488086
1400000US36083052303,163.64979844001144,5.780763317171846
1400000US36083052305,129.3688376825592,5.18710598424261
1400000US36083052306,132.91986966690553,5.03937051540228
1400000US36083052402,135.83369780561083,5.608398326737286
1400000US36083052405,63.84885468379684,3.653950594272024
1400000US36083052406,76.01302278845455,5.1917072508329625
1400000US36083052407,97.35421647941287,3.55692556052006
1400000US36083052408,40.419402551159365,4.008920948392179
1400000US36083052501,61.46375011050896,3.907339928952642
1400000US36083052502,141.09786926138972,4.697364408601226
1400000US36083052503,24.07269130345807,5.1311644563811
1400000US36083052601,225.97827981755017,6.493669501289482
1400000US36083052602,128.01818703187143,3.8027764825420554
