cb_2020_3,building_count,building_area_m2,building_density,coverage_ratio
1400000US36083052004,96.0,58337.44,2.999349,0.001823
1400000US36083052101,2.0,263.05,0.017267,2e-06
1400000US36083052102,2.0,752.79,0.018557,7e-06
1400000US36083052103,3.0,13901.0,0.019436,9e-05
1400000US36083052201,75.0,31902.17,0.894984,0.000381
1400000US36083052203,302.0,102933.63,4.764448,0.001624
1400000US36083052204,77.0,18447.65,2.811199,0.000674
1400000US36083052301,95.0,164480.31,3.853393,0.006672
1400000US36083052303,11.0,2361.02,2.276394,0.000489
1400000US36083052305,156.0,42048.0,24.060677,0.006485
1400000US36083052306,34.0,52323.86,2.823191,0.004345
1400000US36083052402,35.0,48357.15,1.201414,0.00166
1400000US36083052405,23.0,59828.21,10.296425,0.026783
1400000US36083052406,83.0,181608.58,6.870816,0.015034
1400000US36083052407,40.0,42608.21,6.926968,0.007379
1400000US36083052408,28.0,40245.5,2.155424,0.003098
1400000US36083052501,107.0,52927.37,1.286333,0.000636
1400000US36083052502,28.0,76661.27,0.373239,0.001022
1400000US36083052503,7.0,9395.49,3.426669,0.004599
1400000US36083052601,17.0,4684.37,0.149851,4.1e-05
1400000US36083052602,10.0,3318.38,5.525628,0.001834
1400000US36083052603,16.0,8794.6,0.106716,5.9e-05
1400000US36091060102,46.0,16339.63,2.248799,0.000799
1400000US36091060103,3.0,418.41,0.078615,1.1e-05
1400000US36091060104,10.0,5473.71,0.215151,0.000118
1400000US36091060200,40.0,83852.45,11.36915,0.023833
1400000US36091060301,1.0,19.49,0.020382,0.0
1400000US36091060400,7.0,21761.61,2.533859,0.007877
1400000US36091060501,7.0,3270.27,0.068071,3.2e-05
1400000US36091060504,87.0,61733.83,0.898476,0.000638
1400000US36091060505,0.0,0.0,0.0,0.0
1400000US36091060506,0.0,0.0,0.0,0.0
1400000US36091060507,0.0,0.0,0.0,0.0
1400000US36091060601,6.0,20634.49,0.093784,0.000323
1400000US36091060602,10.0,8499.01,0.09372,8e-05
1400000US36091060703,5.0,252070.21,0.171078,0.008625
1400000US36091060704,27.0,174761.01,0.60382,0.003908
1400000US36091060705,0.0,0.0,0.0,0.0
1400000US36091060706,7.0,12368.5,0.703103,0.001242
1400000US36091060800,3.0,818.03,0.035862,1e-05
1400000US36091060901,2.0,479.41,0.019536,5e-06
1400000US36091060902,23.0,37937.37,8.583851,0.014159
1400000US36091061001,135.0,95234.77,118.864187,0.083852
1400000US36091061002,100.0,86416.39,157.676231,0.136258
1400000US36091061101,40.0,67151.6,9.317752,0.015643
1400000US36091061102,21.0,38483.18,4.06268,0.007445
1400000US36091061201,11.0,22049.89,7.34135,0.014716
1400000US36091061202,23.0,95299.67,6.917826,0.028664
1400000US36091061301,60.0,68795.99,1.673452,0.001919
1400000US36091061303,36.0,52580.52,31.673133,0.046261
1400000US36091061304,0.0,0.0,0.0,0.0
1400000US36091061305,130.0,185116.92,9.343094,0.013304
