cb_2020_3,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
1400000US22005031002,-4.178858346840234,-3.172742619695443,2.853131145839315,-1.941747365313253,1.5200392867278434,-3.580982097886808,-2.8945161987036387,-6.781601696714365,0.6611688984253308,4.768463143498987,-0.17239060574277948,1.9163470761512218,-2.326828824060076,3.0235968210985726,-4.539115381428308,-1.040440464869127,-0.8848545481333966,-2.939762438031952
1400000US22005030105,-5.338429663324492,-4.419755344649152,0.38674936534920107,-1.9268445000834178,2.1075163508123023,-2.632617764110546,-1.6467595683645608,-6.570243940459755,0.23644349250836094,0.6083420952693404,-0.6432845454795366,-1.4182715913678292,-0.9696846831744189,2.741073187125083,-0.9052653026831605,0.2299760177024569,-0.1976870761368801,-0.9646866541600615
1400000US22005030301,-4.465735917894662,-3.6775841795282487,0.8006350865892276,0.1658296719357952,1.347124191896917,-4.403688675795777,-0.43067990945912715,-7.167538992735653,0.6788334295244465,0.6864203866584724,-2.6372358513406815,-0.14265557016243255,-0.8684125669055158,2.113167966764949,-0.5062218687831874,-1.1468276529262384,1.42656729721576,-1.287727210699413
1400000US22005030212,-2.358298474955532,-3.8429102286802435,-0.7115833734097518,-3.67899271192332,1.7090839765476469,-1.9546035523525516,-0.8415883782406057,-5.865594404673331,0.8373921988577492,0.5171703125564534,-0.6131865919818821,-1.8722408674536888,-1.459229822763015,2.465345623261737,-2.1944399129474146,-0.437661398898742,-1.0496336347667525,-2.3757289814843734
1400000US22007050201,-3.216334979760653,-2.8045318732792452,2.858023095308413,1.280811335849077,0.3562447359444969,2.4147956656526004,-1.7693994358166814,-6.558931189195904,3.595872562215217,-1.9448376165822803,-2.450639774954738,1.7345005838769467,-0.43340687587572424,0.05788431943894756,-0.24350887462768295,-0.22796079153498416,0.08522683440005178,-1.2860255814801618
1400000US22007050400,-3.819237456852009,-2.96106921062344,2.729516792843046,0.31829662234612555,0.9217140791306865,-4.990181774322067,-1.5140750776681144,-7.561148865679795,1.580548567726969,3.4756646920417915,-1.8657094354648291,2.721462092113241,-1.778096954886307,2.2888724513983347,-2.978834910260542,-1.5214663423211432,0.9020702095917329,-2.186706378619906
1400000US22007050202,-3.024399303513721,-2.549125838512591,1.2827162476497533,1.2693060751734955,0.9329846811728952,-4.719720602972498,0.2796779222042757,-8.2384329929222,1.8796764833922714,0.6353455531628449,-3.7504782866722297,0.5822328188139981,-0.11813643279423636,2.296717733379186,-0.2439362548519023,-1.1206074255054803,3.113892868545588,-1.1158641972048462
1400000US22009030100,-4.516371780943267,-4.260351796365348,6.649983867125079,-0.4139627850794969,-2.6486206714968628,7.57435242851332,-3.9303858431865364,-4.9830928212639884,3.8115049856616494,-2.329163487492846,-1.5977942802070801,2.3259870972873435,-0.6609010207637898,-1.7940469933663106,-0.7479332021588463,-0.3597236714991494,-3.748496700636764,0.7825757870322884
1400000US22033001104,0.3591177171386231,-3.9438163729578135,-0.7529541267689941,-1.7006969389596562,2.083860648152192,-1.8571780734421524,-2.2446258665956442,-5.460792414176791,-1.1793748360044982,0.4797791311861368,0.5390285600293737,-0.8928162510762893,-2.0215795794588862,0.8782459407873676,-0.8311577071660383,-2.2019588321644505,-1.895306240903862,-2.419967016382548
1400000US22033001900,-0.9333346617220423,-3.699677426246826,-2.893969697419831,-4.208328768900725,2.9113518139124683,-1.9265261776552642,-1.7108379928639803,-5.117047593339087,1.1917913719164086,0.4859082564440486,0.7952612437939532,-0.887938099911157,-0.6174752541712168,1.072901228826427,-0.5705119041408384,-1.6390339723389813,-2.078718449736557,-2.277364458648222
1400000US22033003806,-1.9987975753835985,-3.9636738980251778,-1.0374338851449008,-2.7066031010688927,1.4460186898862952,-2.123873175384442,-1.7714856191106885,-6.092369362653269,-0.2549344811251492,0.5842935895655131,1.2655138381776851,-0.7265884947091137,-1.0669003792869702,1.2835130727100827,-0.3680874887444925,-1.1885110872054636,-1.2222986747726707,-1.7351611097407527
1400000US22033000100,-2.0964916233658104,-3.9209425234742286,-0.9801073398899052,-2.822656248112312,2.03306636209565,-1.9743451710361928,-1.6680778231441644,-5.988899379999871,0.04674973110237093,0.02528258609055746,0.20666622464879242,-1.7417346051067353,-1.9317167794608885,1.8490297326319016,-0.8115464436387461,-1.5996414314004834,-1.0055602427303258,-2.422286408705838
1400000US22033004029,-0.3213965485548824,-2.88532186985352,-1.6688321969442272,-4.237784286097881,1.1684286262858055,-1.1545836114191654,-1.281608944563501,-4.988657394463788,0.9629262230718477,2.740549770090464,0.4200504117354588,0.0037315560012916903,-2.5627428499960097,2.6530061109483842,-0.014613421162158191,-0.8855631658770942,-2.0110381838455,-1.415793247063108
1400000US22033003808,1.2589154029871632,-3.568105407030613,-1.0327235983295475,-2.8740116799958,1.2880664173237184,-1.3132272240211316,-0.7185111188095801,-4.843771915191057,-0.4357795530369227,0.6229678729259703,1.1506816393593309,-0.5271797336521917,-1.7150733140251238,0.8301301445471532,-0.4939931109629109,-1.850460469947902,-1.8646093413101108,-1.826723741111424
1400000US22033003506,-0.6072584041119757,-4.008782177449775,-1.6012281254238874,-3.0431726015645695,2.4994937101982058,-1.820810879973807,-2.350904328846344,-5.238896240282317,-0.30946604743069994,0.7742639014482633,0.6724592374491889,-0.938360165670564,-1.6520120303588968,1.2480064292476556,-0.9003505257773072,-1.463513860683002,-2.3911472565673204,-2.2088858197746557
1400000US22033003201,-5.466989107936295,-4.300748243294559,-0.8708634449244287,-1.6962800019454147,1.9254852308985708,-2.8085569057129223,-1.5296367644082067,-6.234524829549421,0.09450439094133602,0.5021102532391222,-0.4347259279772291,-1.3377974570127709,-1.4144657756331325,2.3914454017940696,-0.6767491747792764,-0.40183364806697036,-1.076773552377467,-1.1158494684275846
1400000US22033004010,-2.2322829283934404,-3.6284659016437106,-2.2463190663711408,-3.8758261322885423,1.474385744487202,-1.6010518825694118,-0.3133429402436378,-5.415693708018808,0.9257010262169416,0.7269228423678366,0.1192603458099399,-0.9315829551956605,-1.0993697586336353,2.0776485091604613,0.2944669290807246,-0.5617367667189072,-1.477680035299781,-1.750385568791512
1400000US22033003703,-0.22283484948223356,-3.5280372806249582,-2.4641361426089534,-3.726237331685736,3.0686475689532084,-2.08180607489905,-1.3401271997842459,-4.926360057176659,1.372201495683746,0.6318791778399557,-0.32686524728533295,-0.5748633149768222,-0.8987898031981483,1.4493197845591237,-0.8618254182763504,-1.0177916086359566,-1.2960303748753599,-2.149334376744189
1400000US22033001102,1.606936091865161,-4.2194794372309214,-0.965235272381369,-2.276923667258231,2.091827214890426,-1.3939840673206807,-1.690372678517986,-4.527871890718034,-1.3675537802077762,0.5570650086350678,1.5803654544537675,-0.6210424364757731,-2.1398194881695742,0.8230839283005437,-0.8020369706734998,-2.004547654488205,-2.5655614050081517,-1.920360413350548
