cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,woody_wetlands_pct,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US22005031002,-0.1077360392381277,0.021489909056419,0.0777920033386233,-0.0982370307367888,-0.1153956011735761,0.1649391984680784,0.0985716709264574,-0.0154309661651472,-0.0639310623505422,0.0291917428470956,0.0637479691545132,-0.0026035035541073,-0.0975998462349386,0.0646301253995323,-0.0357356513141526,0.0805966730300757,-0.0791823096107609,0.0070266336119912,-0.0978796821466527,0.0867464851446196,-0.2090606487917691,0.1807684489442229,-0.1027643322392503,-0.0736308222377512,-0.071698789973322,0.3151651245953659,-0.0584167435135141,-0.0844776651582927,-0.0399281019713151,0.0706966004325009,0.0248552033806792,-0.1444018155529821,-0.046757307114536,0.01941894477827,-0.179453132961856,-0.0128248728234723,-0.0278878381777414,-0.0480157509123453,0.0842849290430826,0.0533582996450123,0.036626477326151,0.0738343216050579,0.1433904644665759,0.0358715083740215,-0.0613359056601134,0.0585853096865348,0.057902886518206,-0.0246592533576001,0.2008099392591327,0.1190222261866664,-0.0397119921631499,-0.1567306549618297,-0.0772658464325454,0.101227414176251,0.1624732827684172,0.0520284632367498,-0.1838661765791511,-0.0136091567648588,-0.0169622485552119,-0.1485200411688444,0.0227346010368704,-0.1085045559090144,-0.1411048967417103,-0.0327096925241347,12.149532710280374,3824,15.069404,253.75920640258897,5.540318810419764
1400000US22005030105,-0.0733984657480596,-0.0595525647906737,0.042656410364241,0.0488269638429619,-0.0995159873012331,0.0449534047785115,0.0420376160299563,-0.0125743732130776,-0.0628458345473982,0.0259572449737936,0.0378281471723316,-0.0736956999895975,-0.1841874715647542,0.018049284841816,-0.0562015794399322,0.0643419537210326,-0.0887533522427581,-0.0257046192148379,-0.0960157905600244,0.0385327491862632,-0.1404283689864625,0.1265051682461956,-0.1523101338215961,-0.0276640106255136,-0.0374939042505073,0.2934283811629857,-0.1307974732652737,-0.1512538439240923,0.0303012198617187,0.1783719841044778,0.0313260923391352,-0.1111391949059374,-0.099663448988168,-0.0560739846817126,-0.240293275685375,-0.0362411228346946,-0.0945081020773281,-0.0922186237074327,0.0021734583209043,-0.0911553320562981,-0.0725107304124311,0.0511040681735387,0.1517439156631498,0.084233207669069,0.0622405736618146,0.1243757063667953,0.0089132755881892,-0.0285971943110178,0.2115339812378263,-0.01186261909018,-0.2069301451800624,-0.124713638441899,-0.0824856141490511,0.1776610166450037,0.116818786377955,-0.0051095851333439,-0.1079217034753608,0.0723006915810078,0.0887254046905736,-0.0933997873404146,-0.0234057682675714,-0.1409759873556329,-0.067158286738968,-0.0233642358960122,30.258138036961803,5913,18.06031,327.4030179991373,5.7942415675455985
1400000US22005030301,-0.0171904139956014,-0.0994400629861847,-0.0046795482412201,-0.0287192191511842,-0.1459047515651157,-0.0765587547767611,0.0782871195958663,-0.0223753098117897,-0.140150289158085,0.0537446807283377,0.0905086801515592,-0.0716548061125474,-0.1580668424599834,-0.0595169257231351,-0.0734279972022743,0.0297035691293819,-0.1512709627968397,-0.077708670168049,-0.1552517098855004,0.0477999968594388,-0.1257855979834292,0.1206605600151922,-0.1534353997287557,-0.0103015825016651,0.0360507102783076,0.2967769031135293,-0.0939670299342031,-0.058919507232688,0.0229808076244142,0.1614514464131685,0.0430922159828005,-0.1070912261257143,-0.1267700583467421,-0.0386225686411804,-0.1577773333866328,-0.1065361244077689,-0.1009468460304028,-0.0646584207977255,0.0469578864783866,-0.1732710255976871,-0.1068186512487626,0.0235464650692745,0.148918727108528,0.0335416457397504,0.0783959674472274,0.0923661304867321,0.0190276292238799,-0.0967751553424271,0.2573212435255395,0.0139248722158101,-0.1927021320886159,-0.1545207296761096,-0.0666483304248591,0.1646490937025113,0.0725217480881534,0.0274378330066497,-0.0661378471358576,0.0155021537955466,0.0610326816903848,-0.0227018019247044,0.005935950494533,-0.1610628662794037,-0.0734753532094996,0.0239883794840127,68.50502654467412,4936,31.595264,156.22594576199774,5.057683915752532
1400000US22005030212,-0.0471353181074669,-0.122139726116236,0.1064812775251873,0.0482426134205,-0.0696322740887177,0.0874990053063815,0.0302102898090228,-0.0709120990708714,-0.0815150067010338,-0.0305728293658197,0.0565759402794386,-0.1109277091000543,-0.2252765415903695,-0.0541620534839551,-0.0675671064883267,0.0540860947945463,-0.0320480400894669,0.0244445351978267,-0.0873174516537965,0.1046735232674623,-0.1168103184650881,0.1712361749207427,-0.1563895000660412,-0.0663077955691303,-0.0653819720849252,0.3641021925229005,-0.0719862566840331,-0.1620442458620321,0.0075911105165794,0.1560078292132728,0.0162298764631685,-0.1124835023683092,-0.1432634248511406,-0.0199595294985895,-0.1792397327978034,-0.0646137611535152,-0.087287657087312,-0.0973377417177302,-0.0052669414927016,-0.0428851578173619,-0.0569175719117915,0.0232869044533157,0.1373572224455001,0.0958358094375501,0.0629741163766412,0.1402055998144555,-0.0242604849790615,-0.0018011808205726,0.1825379695072244,0.0064398151069306,-0.1515661951161418,-0.0884296502280399,-0.1747277881337064,0.1897879925029389,0.1389388499584671,-0.0699065278867391,-0.0850935040622574,0.0842513138829691,0.0779584811041002,-0.0608963527227159,0.0468618266223034,-0.1054545699033489,-0.1709558868984449,-0.0219162658923708,2.3519870235198703,7324,8.844146,828.1183960554247,6.720362962857479
1400000US22007050201,0.0505031394404766,-0.1063874729876253,-0.1017214343189749,-0.0562456841223259,-0.1247933006935991,-0.0449146301035011,0.0742224790195743,-0.0165405911584629,-0.13578644848339,0.1025657162526798,0.1283334837977549,-0.103983496241505,-0.1114525574187092,-0.1085379372274429,-0.0455514880088801,0.0318311667081011,-0.1017991202084688,-0.1446963119365831,-0.1468420159887475,0.0064765682339904,-0.0469549081808605,0.1207205978035286,-0.1082203066811555,0.1101096206741821,-0.0520388364973119,0.1521217992776109,-0.0149311455316613,-0.1256414322574798,0.0859369249875168,0.0935159441757321,-0.0088822423641919,0.0590723628346477,-0.0571582001095422,-0.0327857733679438,-0.0938560388675901,-0.0369742019976099,0.1017347524207146,-0.0200153375133884,0.0352016299791754,0.0284688441873645,-0.1525839468091756,-0.0483719685268056,0.2023100424007252,0.0224681593924922,0.0299650802437435,0.1591996700328135,-0.1123475355905807,0.0363835690504709,0.0828748274410711,-0.048198389585267,-0.0886053280393604,-0.0524805821555668,-0.1168215552125745,0.0691359851746444,0.0700800693811455,-0.0405286038872205,-0.0222582700190536,0.0823137707996144,0.0931259808557392,-0.0417004412174656,0.0135553492027469,-0.1309179552188399,-0.0370608391411261,0.1899467092055954,40.02218160801037,2261,53.705724,42.09979554507077,3.7635182533645937
1400000US22007050400,-0.0177586802602159,-0.007504876206144,0.0010513710598707,-0.1292353885002749,-0.1617529662430428,0.0128316431822966,0.1346139431417498,-0.0203835741732137,-0.1244468182017787,0.0679198313094763,0.0963795457865981,0.006481650276179,-0.079438095165332,0.000881943514079168,-0.0368535436180505,0.0435436367639367,-0.1274247962018928,-0.0894218000790343,-0.135889688357145,0.0509778579092506,-0.1795265459381874,0.1347204228914298,-0.1249424989422526,-0.0331467272791863,0.0116460453038817,0.3134284065882466,-0.0725001243984694,-0.0122940686460625,-0.0113136144198833,0.1015696363066849,0.0499770526703201,-0.1225521606583107,-0.0996019337573677,0.0084764185289064,-0.0881885735862684,-0.0723856546177359,-0.041416045553944,-0.0192424770690589,0.0948147083481991,-0.0230173169975446,-0.0388741596850837,0.0601197419748172,0.1627255065699289,-0.003783613416733,-0.0343199421282472,0.0536010680279973,0.0483441232277919,-0.0903542747622409,0.2298714709524891,0.0917213697507989,-0.070930150546757,-0.1784389145350838,-0.0494975084961203,0.0947184410613337,0.1207317699363362,0.0479959164715125,-0.0951187713673337,-0.0473617117828952,-0.015404486683939,-0.0939327458767241,0.0415392131877574,-0.117336067863718,-0.1282060953462959,0.0207366212339198,83.26050420168067,3562,136.503131,26.09463954346952,3.2993359054960933
1400000US22007050202,0.0520034599115833,-0.1018143511447814,-0.0464245881186664,-0.1058459448056191,-0.1685568253774389,-0.1201587979846105,0.1159689407432923,-0.0773283648734762,-0.2219661755105974,0.1023650968497444,0.0897618793478698,-0.0597798578149299,-0.1191234410094157,-0.0865966772368325,-0.0849107109332773,-0.0065000104501332,-0.1960645670952896,-0.1132427236303596,-0.1826846485076622,0.0512505979322224,-0.12687831473296,0.0820165435664359,-0.1913441954069799,0.0609038671949803,0.0844566388828028,0.3321870710439872,-0.0837780175988155,-0.0307483111804032,0.0760927677231734,0.1507978846778517,0.067062058978446,-0.0985335065211124,-0.1693288246930093,-0.0132062268953941,-0.0492057355095638,-0.1248433969825544,-0.0648013599009199,-0.0080944153692699,0.0541095320277023,-0.15957174456866,-0.1489590319243363,0.0064901309396648,0.1334723020022716,0.0033419772641228,0.1137886533980499,0.081256123311566,-0.00011112472164977476,-0.0941735026198969,0.2391484516240349,0.0253465466785484,-0.1938043965075203,-0.1869466853984303,-0.0502793258984745,0.1212170302675184,0.0734268898845006,-0.0088564873813452,0.0072356421236259,-0.0154050260718962,0.040149961405627,0.0112497902570032,-0.0100452266309037,-0.116946602730098,-0.0847836651010541,0.0669347529506391,85.22698731633807,1695,56.282918,30.11570935252504,3.4377128155284713
1400000US22033001104,-0.0565834337123389,-0.1906690895778252,0.082913035363546,0.0466294418604275,-0.0847262881787942,0.0009446404949522256,-0.0401511777047319,-0.1333585169540106,-0.1361403685766579,-0.0164876747856604,0.1151401495127809,-0.0484731374236524,-0.2091125644068521,-0.1077413919791997,-0.1093407584295786,0.0160886804196102,-0.0409329310807866,0.0738701415011322,-0.0673564924534082,0.0539413081868984,-0.0682373284438468,0.17958352556512,-0.1579525413886876,-0.1047356606312343,-0.1155378965335178,0.3003800343974178,0.0325658744265161,-0.0269195246669343,-0.0392333589095714,0.1264965651559051,0.1002355674727616,-0.1045838073401834,-0.0856432864289549,-0.0136534261878615,-0.1413347124951548,-0.0914294077372234,-0.0653323331000284,-0.0464536981699007,-0.0012826087184935,0.0197341678175878,-0.0591560958154923,0.012080144396165,0.1306499960774424,0.0702248680198047,0.1214891899627057,0.1364620446698384,0.0285708374373303,0.0166501364895719,0.2531477155284306,-0.0425269046519004,-0.0771005985357395,-0.0494653930390533,-0.1820460746693326,0.1508833194433138,0.1447123753746914,-0.0934249854831407,-0.0531191254849044,0.0499427563551327,0.1373851595316361,-0.0843721854636995,0.0485260091810207,-0.117339569438495,-0.144713903692802,-0.0313568990235649,4.768534632788026,4068,2.589481,1570.971171443235,7.3600856340444265
1400000US22033001900,-0.0047790160878033,-0.1856492472906851,0.0916945812892873,0.1164908191590846,-0.0553115594605039,0.0421335469160456,-0.0251128011761911,-0.073957778651789,-0.0424858421546546,-0.0713702778072479,0.0731182843862289,-0.0609112053326273,-0.2522060019727018,-0.0664280350321722,-0.0554912309100598,0.1085066207141002,-0.0464334759596925,0.0792334859238758,0.0076411047660973,0.0728887239184182,-0.0758085836389205,0.1648077553945813,-0.0941210238075947,-0.0890472975649677,-0.0879017638039799,0.3517919126481341,-0.0329423665927538,-0.0782413490614814,0.0089665501064344,0.1290254469544118,0.0891864895768146,-0.1087337819637833,-0.1724442514485852,0.0196383535454887,-0.1303931143645824,-0.0565017659998962,-0.0754669703377843,-0.0847498867851792,-0.0529124706503887,-0.0034687014671256,-0.0766512341813096,0.0151112573237116,0.1709041171666777,0.0902009173078796,0.1149208228964288,0.1359128858320066,-0.0122917096284563,0.013225630220796,0.20893603253292,-0.0563706439051191,-0.1203764639622706,-0.1304663488105117,-0.2212968270666524,0.1915582393158813,0.1756365082408356,-0.145066319117271,-0.0421229325200439,0.1012316515636179,0.1292374139298096,-0.0805079468995016,0.0815855467931525,-0.1024300060157955,-0.1043631295866119,-0.0569655523962708,0.0,2848,2.996555,950.4247377405054,6.857960585069132
1400000US22033003806,-0.0489161672555433,-0.1551962527363197,0.0481493542829669,0.096009776442659,-0.0724994666728892,0.0086417023646039,-0.0274698830145509,-0.0637792385463809,-0.1090057056684161,-0.0135541366180133,0.0493500682598258,-0.0425595516909382,-0.2172904121478042,-0.0336187898960306,-0.0897731599027052,0.0343772903928033,-0.0474104133223547,0.0317874625860797,-0.0492099557972993,0.0585889729141896,-0.0942832985447913,0.1259770603909555,-0.1362098472324739,-0.1080946757963429,-0.0760044128374287,0.3250921270817908,-0.0420336932009262,-0.0724315544500982,-0.0070900671575174,0.1485759799986874,0.0796865784283374,-0.1007623023773307,-0.1074863320430569,-0.0086479123748482,-0.169207651571492,-0.042453321446212,-0.0537248451557301,-0.0700026118772614,-0.0088757091076426,-0.0026386420458609,-0.0603841103889403,0.0274238997438722,0.1584109947405584,0.0997227866967444,0.091343410743157,0.1217415841867181,0.0020376187870816,0.0093855750858499,0.2261905144059526,-0.0640963422231708,-0.1277397085812834,-0.0996161749459213,-0.1396265636403278,0.1814372494663352,0.1524533710193512,-0.0872433171967097,-0.0653271620041035,0.0853786736031031,0.1046180533267204,-0.1194549898236441,0.0627741330677658,-0.1404844868508779,-0.0965022288668044,-0.0245769631367257,8.367575644378036,4051,7.27627,556.7412973955062,6.323895230134895
