cb_2020_us,cb_2020__1,cb_2020__2,tract_ID,cb_2020__4,cb_2020__5,cb_2020__6,cb_2020__7,cb_2020__8,cb_2020__9,cb_2020_10,cb_2020_11,cb_2020_12,ACSDT5Y202,ACSDT5Y2_1,ACSDT5Y2_2,ACSDT5Y2_3,ACSDT5Y2_4,Shape_Leng,Shape_Area,elev_mean,slope_mean,ndvi_mean,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio,fam_inc_lt10k,fam_inc_lt10k_moe,fam_inc_10to15k,fam_inc_10to15k_moe,fam_inc_15to25k,fam_inc_15to25k_moe,fam_inc_25to50k,fam_inc_25to50k_moe,fam_inc_50kplus,fam_inc_50kplus_moe,median_family_income,median_family_income_moe,per_capita_income,per_capita_income_moe,persons_below_poverty,persons_below_poverty_moe,tcc_mean,dist_water_m,NAME,B01003_001E,B01003_001M,field_5
17,031,580800,1400000US17031580800,17031580800,5808,Census Tract 5808,IL,Cook County,Illinois,CT,183294.0,0.0,1400000US17031580800,"Census Tract 5808, Cook County, Illinois",2206,510,,0.0182436305378,1.98818585204e-05,181.75464371474712,0.12350821298081344,0.28510693223397193,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.40975609756097,5.455716,5.455716,0.0,0.0,0.0,0.0,0.0,10.911432,0.693147,0.258386,0.066183,107.5259,0,12,15,24,20,21,150,67,260,134,56438,20715,16831,2265,207,181,4.569279599884583,476.1786219133733,"Census Tract 5808, Cook County, Illinois",2206,510,
17,031,828702,1400000US17031828702,17031828702,8287.02,Census Tract 8287.02,IL,Cook County,Illinois,CT,11026903.0,0.0,1400000US17031828702,"Census Tract 8287.02, Cook County, Illinois",4207,472,,0.149802216391,0.00119159269991,189.6329273956191,0.7918896206536394,0.6043267620103964,0.7270865335381465,58.56630824372759,0.0,14.039938556067588,0.0,1.3517665130568357,0.43010752688172044,1.0343061955965183,23.30773169482847,0.5427547363031234,19.32526290046466,0.090687,0.0,0.0,0.0,0.090687,0.0,0.0,0.272062,0.693147,0.276206,0.175184,81.8064,10,18,94,84,21,23,245,109,635,151,61458,17948,25104,3273,643,459,27.43999146049778,680.9692911088022,"Census Tract 8287.02, Cook County, Illinois",4207,472,
17,043,844100,1400000US17043844100,17043844100,8441,Census Tract 8441,IL,DuPage County,Illinois,CT,1757736.0,8736.0,1400000US17043844100,"Census Tract 8441, DuPage County, Illinois",4130,419,,0.0806256234037,0.00019423614716,201.91689609683053,0.5713515628453317,0.5171201223327037,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3321608040201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.137827,0.0,0.304116,0.122276,84.0463,0,12,0,12,43,42,33,32,1115,185,170950,15191,61504,6013,38,51,17.67052738640574,918.4928941200941,"Census Tract 8441, DuPage County, Illinois",4130,419,
17,111,871312,1400000US17111871312,17111871312,8713.12,Census Tract 8713.12,IL,McHenry County,Illinois,CT,6125257.0,10778.0,1400000US17111871312,"Census Tract 8713.12, McHenry County, Illinois",5835,465,,0.112476041938,0.000668922002861,266.15173542084034,2.363912586289904,0.565132019085781,5.635555555555555,84.90666666666667,1.76,5.404444444444445,0.0,0.0,0.9244444444444444,0.9244444444444444,0.4444444444444444,0.0,28.485777126099705,0.163258,0.0,0.0,0.0,0.0,0.163258,0.0,1.959101,0.693147,0.214739,0.11671,93.9827,0,17,0,17,25,29,122,98,1672,319,120438,15545,44458,4546,124,110,13.802294109324476,495.1854640552659,"Census Tract 8713.12, McHenry County, Illinois",5835,465,
18,089,021500,1400000US18089021500,18089021500,215,Census Tract 215,IN,Lake County,Indiana,CT,1286032.0,0.0,1400000US18089021500,"Census Tract 215, Lake County, Indiana",2693,418,,0.0647537339123,0.000140850251782,182.99797226055716,0.7672440838099092,0.5322493193685848,0.0,99.65469613259668,0.0,0.0,0.0,0.0,0.0,0.0,0.3453038674033149,0.0,47.38466850828729,1.555171,0.0,0.0,0.0,0.0,0.0,0.0,4.665514,-0.0,0.303008,0.131081,103.8607,0,12,0,12,52,75,135,55,479,128,75769,26581,30686,4697,294,221,20.996581312256392,2038.686745647555,"Census Tract 215, Lake County, Indiana",2693,418,
17,031,063303,1400000US17031063303,17031063303,633.03,Census Tract 633.03,IL,Cook County,Illinois,CT,236591.0,0.0,1400000US17031063303,"Census Tract 633.03, Cook County, Illinois",1160,115,,0.0219505144378,2.58370932976e-05,178.91650929757216,1.118480737105935,0.4301967234746939,0.37735849056603776,99.62264150943396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.97735849056604,0.0,0.0,0.0,0.0,0.0,4.226703,0.0,21.133517,-0.0,0.027586,0.52069,69.3431,0,12,0,12,5,14,11,24,232,50,159792,11835,95350,14133,64,33,8.779511905644986,191.17427081881587,"Census Tract 633.03, Cook County, Illinois",1160,115,
17,197,880319,1400000US17197880319,17197880319,8803.19,Census Tract 8803.19,IL,Will County,Illinois,CT,3964507.0,0.0,1400000US17197880319,"Census Tract 8803.19, Will County, Illinois",5039,448,,0.0880207489676,0.000428609992674,202.12454448204497,1.1906540791773277,0.5082214145400207,4.469560750064218,94.34883123555099,0.0,0.0,0.0,0.0,0.07706139224248652,0.8990495761623427,0.0,0.20549704597996404,40.28646069968196,0.0,0.0,0.0,0.0,0.0,1.008953,0.0,2.017905,-0.0,0.322088,0.029768,97.763,4,11,0,17,0,24,99,101,1266,251,165375,35770,53450,6929,20,58,7.759096174375879,217.15676859501482,"Census Tract 8803.19, Will County, Illinois",5039,448,
17,031,030101,1400000US17031030101,17031030101,301.01,Census Tract 301.01,IL,Cook County,Illinois,CT,127283.0,110999.0,1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",3791,578,,0.0169276433075,1.35119022871e-05,181.52040871871264,0.9434822859544387,0.1959096203654984,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.19565217391305,0.0,7.856509,0.0,23.569526,0.0,15.713017,0.0,31.426035,1.011404,0.173305,0.144553,110.1441,42,52,12,20,131,108,152,102,513,167,57650,8704,30949,4640,594,298,1.3323394104617483,212.47310552638217,"Census Tract 301.01, Cook County, Illinois",3791,578,
17,031,808702,1400000US17031808702,17031808702,8087.02,Census Tract 8087.02,IL,Cook County,Illinois,CT,940548.0,784592.0,1400000US17031808702,"Census Tract 8087.02, Cook County, Illinois",5304,456,,0.0451038925133,9.55442925151e-05,180.6156088301825,0.8982021165457978,0.30328646099992335,4.396728016359918,95.50102249488752,0.10224948875255625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.7280163599182,0.0,0.0,0.0,0.0,0.0,0.0,1.06321,27.643459,-0.0,0.032428,0.03092,85.3249,0,17,0,17,0,24,9,36,96,39,203523,108758,11520,4222,155,77,8.909162856844423,312.74068434189684,"Census Tract 8087.02, Cook County, Illinois",5304,456,
17,031,804108,1400000US17031804108,17031804108,8041.08,Census Tract 8041.08,IL,Cook County,Illinois,CT,1214480.0,0.0,1400000US17031804108,"Census Tract 8041.08, Cook County, Illinois",3783,269,,0.0583190793566,0.000132967261107,223.33162854867138,1.6799327848945487,0.47502070245030203,0.2932551319648094,99.34017595307918,0.0,0.2932551319648094,0.0,0.0,0.0,0.0,0.07331378299120235,0.0,47.07478005865103,0.0,0.823398,0.0,0.0,0.0,0.0,0.0,8.233977,-0.0,0.20037,0.025905,101.3305,27,23,29,36,0,17,73,53,763,165,101471,15046,48220,5019,263,147,20.743280470338203,302.86945179054345,"Census Tract 8041.08, Cook County, Illinois",3783,269,
17,031,842200,1400000US17031842200,17031842200,8422,Census Tract 8422,IL,Cook County,Illinois,CT,1407941.0,136789.0,1400000US17031842200,"Census Tract 8422, Cook County, Illinois",3619,669,,0.052681855272,0.000166836249432,178.34337276292308,0.5493038806132561,0.16148590567734442,1.1695906432748537,98.83040935672514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.17543859649123,0.0,13.494884,0.710257,23.438482,0.0,16.335912,0.710257,46.166707,1.182176,0.143686,0.114673,95.9394,0,12,0,12,51,49,69,60,544,206,143580,8609,72695,11015,255,113,1.0900044761216128,216.20096277239335,"Census Tract 8422, Cook County, Illinois",3619,669,
17,093,890502,1400000US17093890502,17093890502,8905.02,Census Tract 8905.02,IL,Kendall County,Illinois,CT,40137351.0,0.0,1400000US17093890502,"Census Tract 8905.02, Kendall County, Illinois",4616,686,,0.292863279614,0.00433754820278,205.87999754004392,1.017753115108051,0.45499262566825927,0.08337754870006822,57.49260971727431,0.015159554309103311,27.635867505495337,0.0,0.053058440081861585,0.6897597210642007,13.325248237701812,0.6063821723641325,0.09853710300917153,5.211519475857117,0.0,0.0,0.0,0.074743,0.0,0.024914,0.0,0.149487,0.562335,0.209489,0.185442,112.2299,0,12,110,108,29,57,82,81,1081,390,100174,24500,34675,5724,307,244,7.683319351016345,817.2424666450265,"Census Tract 8905.02, Kendall County, Illinois",4616,686,
17,097,861509,1400000US17097861509,17097861509,8615.09,Census Tract 8615.09,IL,Lake County,Illinois,CT,6075742.0,170435.0,1400000US17097861509,"Census Tract 8615.09, Lake County, Illinois",3426,561,,0.122102849606,0.000682329054059,211.11852567051127,2.0502541037767723,0.44718258889388485,1.7070979335130279,80.56304282719378,0.0,10.287511230907457,0.0,0.04492362982929021,0.3893381251871818,0.05989817310572028,6.5738244983528,0.37436358191075175,37.37177454230935,0.164589,2.798012,0.0,0.0,0.0,2.962601,0.493767,9.546159,1.010045,0.249562,0.074139,84.4911,25,24,0,12,54,49,106,64,801,204,117273,28839,47062,5227,250,115,22.012517934043423,341.7412262248567,"Census Tract 8615.09, Lake County, Illinois",3426,561,
17,097,861506,1400000US17097861506,17097861506,8615.06,Census Tract 8615.06,IL,Lake County,Illinois,CT,6778502.0,397347.0,1400000US17097861506,"Census Tract 8615.06, Lake County, Illinois",5021,621,,0.115369763888,0.000784700543641,204.29123183379414,1.2640754166556847,0.4712402138726542,5.610643906112715,47.395506464164676,0.03765532822894439,5.660851010417974,0.0,0.22593196937366636,1.5062131291577758,0.22593196937366636,16.806828166185515,22.530438056985062,17.29112337011033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147525,0.0,0.260904,0.105756,83.7175,48,59,0,17,99,73,64,88,1014,268,87750,33314,35942,3840,305,245,26.564682851971355,160.57162652345798,"Census Tract 8615.06, Lake County, Illinois",5021,621,
