cb_2020_3,Shape_Area,ntl_mean,ntl_std,ntl_max,ntl_min,ntl_count,ntl_sum,ntl_cv,ntl_intensity_per_km2
1400000US13013180103,0.00299822198574,4.8590708826318645,4.728865238174197,28.546674728393555,1.248731017112732,173,840.6192626953125,0.9732035922910548,280372.5897193155
1400000US13013180104,0.000855850605422,4.998949946189414,3.281611587494694,17.659225463867188,2.016573667526245,49,244.94854736328128,0.6564601812018926,286204.79533633427
1400000US13013180105,0.00159587705816,2.29999359794285,0.5786299830860999,3.987161636352539,1.4240199327468872,92,211.59941101074222,0.25157895378649553,132591.29826373357
1400000US13013180106,0.00119142358884,4.2081774543313415,2.6639042313472596,16.948486328125,2.300258159637451,68,286.15606689453125,0.6330303938597905,240179.95746847684
1400000US13013180107,0.00184150877725,6.3609636414725825,5.919541136816375,31.328020095825195,1.6337178945541382,106,674.2621459960938,0.9306044603402234,366146.58280532167
1400000US13013180108,0.00200888255438,4.03460129168855,3.3715575343299986,21.494829177856445,1.5641231536865234,119,480.11755371093744,0.8356606491143376,238997.32349416305
1400000US13013180203,0.00055107686123,9.048151189630682,6.444585601342057,29.368755340576172,3.756052255630493,33,298.5889892578125,0.7122544115672658,541828.2099367478
1400000US13013180204,0.00156747775781,7.363141741071429,11.420849007774612,66.4655990600586,1.5529502630233765,91,670.0458984375,1.5510836826716765,427467.56379730324
1400000US13013180205,0.00107801962898,15.996292606476814,12.172320863228244,53.02312088012695,3.8119277954101562,62,991.7701416015625,0.7609463744305187,919992.6559221885
1400000US13013180206,0.00068545307313,7.0585997046493905,6.883626278383879,37.40110397338867,2.0103206634521484,41,289.402587890625,0.9752113119334053,422206.2738286654
1400000US13013180301,0.00211369324182,3.5982595975281764,2.908110328331995,15.385973930358887,1.1258046627044678,122,438.9876708984375,0.8081991444779918,207687.5027146542
1400000US13013180302,0.00295889698736,2.869681403750465,2.7830595464846133,19.121261596679688,0.9188635945320129,168,482.1064758300781,0.9698148173687005,162934.52522665387
1400000US13013180303,0.0028094602417,2.2953607100474684,1.2985997312079867,10.667353630065918,0.9933257102966309,158,362.6669921875,0.5657497427413626,129087.78234499975
1400000US13013180401,0.00543925711646,2.048786384828629,1.1899879789946308,11.161718368530273,0.7369585037231445,310,635.123779296875,0.5808257941416217,116766.6403147033
1400000US13013180402,0.00408806310188,2.605225680167215,2.2998128350648086,17.426895141601562,0.8795938491821289,228,593.991455078125,0.8827691407207365,145298.99374717646
1400000US13013180501,0.00262122610491,4.932872314453125,2.958509098193514,18.445894241333008,1.8104736804962158,150,739.9308471679686,0.5997538370342969,282284.25078704697
1400000US13013180502,0.00448241524282,2.4555376560991795,1.5827197208719574,10.929308891296387,1.1486032009124756,259,635.9842529296875,0.6445511910357896,141884.27855906848
1400000US13013180503,0.00225858936346,4.867567688454199,5.47060455622411,29.738300323486328,1.3663992881774902,131,637.6513671875,1.1238887482140836,282322.84163893474
1400000US13015960101,0.00916137098049,0.8077352112828039,0.2666720913526708,2.0978739261627197,0.5085657835006714,181,146.2000732421875,0.33014790939862054,15958.318198611789
1400000US13015960103,0.00440028249382,1.5606100092489252,0.8702411417496667,6.566576957702637,0.7634896039962769,189,294.9552917480469,0.5576288352581358,67030.98997900667
1400000US13015960104,0.00979960639326,2.0495477084455818,2.422493989933774,18.18471336364746,0.6434736251831055,290,594.3688354492188,1.1819651623386909,60652.317205108906
1400000US13015960105,0.007416045721,2.54363971723314,4.594566030199178,30.519147872924805,0.6164737939834595,291,740.1991577148438,1.806295914893539,99810.49005925402
1400000US13015960201,0.00756164729856,2.1327696019056845,3.282604939326976,26.672216415405273,0.7216131091117859,387,825.3818359374999,1.5391277784500885,109153.7073006144
1400000US13015960202,0.001025161652,15.398090231007544,8.04328808729597,38.743614196777344,2.1856775283813477,58,893.0892333984375,0.5223562121423985,871169.1777156307
1400000US13015960203,0.00865885135424,1.54872067972494,2.0196300590593164,20.764219284057617,0.5700243711471558,313,484.7495727539062,1.304063467027516,55983.12673615048
1400000US13015960301,0.00841888151295,1.0334002891283356,0.613814894541761,5.705421447753906,0.5660097599029541,267,275.9178771972656,0.5939759268497096,32773.69764295248
1400000US13015960302,0.00709792719613,1.4631045181139382,1.4462263605390255,12.052302360534668,0.5977696776390076,226,330.66162109375,0.9884641477311068,46585.65972246609
1400000US13015960403,0.00077729954203,16.601138028231535,11.258125197263395,56.05494689941406,4.55132532119751,44,730.4500732421875,0.678153821630666,939727.9089275413
1400000US13015960404,0.000921849101234,5.952671931340144,3.945311908013793,24.110164642333984,2.1820619106292725,52,309.5389404296875,0.6627800009004648,335780.48730029067
1400000US13015960405,0.00184483352349,8.419833096590908,8.241601502176358,43.6265754699707,1.6159999370574951,110,926.1816406249999,0.9788319326084132,502040.7688997745
1400000US13015960406,0.00125955142342,3.8570949009486606,2.8129688801390134,13.438326835632324,1.4402259588241577,70,269.99664306640625,0.7292972956011939,214359.3648072718
1400000US13015960407,0.00197962353281,10.874168860394022,16.43985431622187,118.2905044555664,1.3265513181686401,115,1250.5294189453125,1.5118262855103555,631700.6229817008
1400000US13015960501,0.000738737410902,8.719581781431685,4.326658339612871,22.91234016418457,3.919565439224243,43,374.9420166015625,0.4962002132747322,507544.373776546
1400000US13015960502,0.00163022463741,2.411620616912842,2.0092667332236127,14.285563468933105,0.9848874807357788,96,231.5155792236328,0.8331603732081668,142014.52604191433
1400000US13015960601,0.00168454925697,11.089890605271465,8.088494865614443,39.64107894897461,1.7360957860946655,99,1097.899169921875,0.7293574980595083,651746.5520103978
1400000US13015960602,0.000742772516313,12.165236253004808,8.546005142912344,44.140174865722656,3.2496488094329834,39,474.4442138671875,0.7024939725935437,638747.6696394882
1400000US13015960701,0.000505375005444,30.87586873372396,15.525919375953235,69.7818832397461,9.556524276733398,30,926.2760620117188,0.5028496367130605,1832848.9775586226
1400000US13015960702,0.00664208658322,4.619424801547428,9.886306904047293,72.5607681274414,0.9127835631370544,311,1436.64111328125,2.1401597230753815,216293.64436631365
1400000US13015960801,0.00235995826519,4.566255599733383,5.604236837317131,25.584918975830078,1.0845786333084106,126,575.3482055664062,1.22731562325253,243795.92387413897
1400000US13015960802,0.0017695725309,3.3566509208293875,2.4464564764157477,16.916732788085938,1.2608840465545654,99,332.3084411621094,0.7288385161633841,187790.2348501636
1400000US13015960804,0.00470677079155,2.449934255764279,2.2550421648433967,20.939828872680664,0.8495847582817078,267,654.1324462890625,0.9204500731142747,138976.9069408303
1400000US13015960805,0.00336347143712,5.973561448317308,8.468434069761868,60.20079803466797,1.4117426872253418,195,1164.844482421875,1.4176524579231273,346322.0973326542
1400000US13015960901,0.00333563224783,3.2034465789794924,2.9895076895822172,16.871007919311523,0.6993322372436523,160,512.5514526367188,0.933216027137425,153659.46080241902
1400000US13015960902,0.00360247019102,2.23762939453125,2.0521102220983676,25.33758544921875,0.7152392268180847,200,447.52587890625,0.9170911979944981,124227.50367839627
1400000US13015961001,0.00842868318355,3.376809841249047,7.39667671861499,61.98748779296875,0.5942032337188721,328,1107.5936279296875,2.190433298393562,131407.6711402967
1400000US13015961002,0.0091501108865,1.0140066146850586,0.4652825046533184,3.3543519973754883,0.5340922474861145,352,356.9303283691406,0.4588554925727294,39008.30632509085
1400000US13035150101,0.00512327741859,1.3113818406145235,0.5288210025623814,4.986230850219727,0.7084188461303711,261,342.2706604003906,0.4032547852840267,66806.97382469452
1400000US13035150102,0.0173321308199,1.0610703412224265,0.5050980430439432,4.198433876037598,0.43805375695228577,680,721.52783203125,0.4760269168036827,41629.493772503905
1400000US13035150201,0.00557161335159,3.2993565389554793,4.602095211785863,28.528867721557617,0.6292951107025146,292,963.412109375,1.394846285161654,172914.38737400292
1400000US13035150202,0.00403792770767,2.4435452174712724,2.966943760683158,24.756607055664062,0.7549315094947815,223,544.9105834960938,1.2141963813354475,134948.07806019954
1400000US13035150300,0.0150686587503,3.1896427780132552,7.193117493647345,67.89048767089844,0.5938884019851685,811,2586.80029296875,2.2551483016313663,171667.58739673826
1400000US13045910101,0.00162176636885,12.677457419774866,8.115913830727765,35.95445251464844,1.6106518507003784,93,1179.0035400390625,0.640184664952469,726987.2915635178
1400000US13045910103,0.00546315668289,2.7932001566715376,3.474297738941924,25.86768341064453,0.8251481652259827,278,776.5096435546875,1.2438413089171536,142135.70809466796
1400000US13045910105,0.00203835498084,1.9315439860026042,0.9028952435066963,6.736142158508301,0.75723797082901,117,225.9906463623047,0.46744741515064775,110869.13147442779
1400000US13045910106,0.00234547489135,5.7407448508522725,7.340997077165171,36.8354606628418,0.9392969608306885,132,757.7783203125,1.2787534140409191,323080.97737782245
