cb_2020_us,cb_2020__1,cb_2020__2,tract_ID,cb_2020__4,cb_2020__5,cb_2020__6,cb_2020__7,cb_2020__8,cb_2020__9,cb_2020_10,cb_2020_11,cb_2020_12,ACSDT5Y202,ACSDT5Y2_1,ACSDT5Y2_2,ACSDT5Y2_3,ACSDT5Y2_4,Shape_Leng,Shape_Le_1,Shape_Area,elev_mean,slope_mean,ndvi_mean,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio,fam_inc_lt10k,fam_inc_lt10k_moe,fam_inc_10to15k,fam_inc_10to15k_moe,fam_inc_15to25k,fam_inc_15to25k_moe,fam_inc_25to50k,fam_inc_25to50k_moe,fam_inc_50kplus,fam_inc_50kplus_moe,median_family_income,median_family_income_moe,per_capita_income,per_capita_income_moe,persons_below_poverty,persons_below_poverty_moe,tcc_mean,dist_water_m,NAME,B01003_001E,B01003_001M,field_5
06,099,002802,1400000US06099002802,06099002802,28.02,Census Tract 28.02,CA,Stanislaus County,California,CT,92743089.0,532596.0,1400000US06099002802,"Census Tract 28.02, Stanislaus County, California",7049,1159,,0.517819996923,0.517819996923,0.00952424019966,43.62559687264474,0.8097172627207165,0.5050078346415033,2.5948509485094853,83.68563685636856,0.04065040650406504,0.013550135501355014,0.0,0.0,2.344173441734417,3.8143631436314362,6.971544715447155,0.5352303523035231,3.6049287416656215,0.010782,0.0,0.0,0.0,0.0,0.010782,0.0,0.032347,0.693147,0.231806,0.125408,120.3501,52,70,0,19,102,79,504,198,1084,344,60936,5599,24839,3696,1052,664,3.5582256680690225,855.1348239135039,"Census Tract 28.02, Stanislaus County, California",7049,1159,
06,099,000513,1400000US06099000513,06099000513,5.13,Census Tract 5.13,CA,Stanislaus County,California,CT,6193018.0,7060.0,1400000US06099000513,"Census Tract 5.13, Stanislaus County, California",4142,349,,0.115544798019,0.115544798019,0.000632773104098,21.037774345022875,0.10322039326086002,0.47724538592737625,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.031681441650923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161472,0.0,0.233221,0.120232,114.0568,0,13,0,13,61,64,81,64,843,226,104125,14356,31498,4384,319,277,6.50489906451427,3464.374684717902,"Census Tract 5.13, Stanislaus County, California",4142,349,
06,099,002302,1400000US06099002302,06099002302,23.02,Census Tract 23.02,CA,Stanislaus County,California,CT,1926533.0,53774.0,1400000US06099002302,"Census Tract 23.02, Stanislaus County, California",3763,620,,0.0593241011711,0.0593241011711,0.000201849744402,26.375744754810206,1.0753881119037425,0.24198672412615532,0.5,98.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.13636363636363638,57.44388914129941,0.519067,0.519067,0.0,0.0,0.0,0.0,0.0,2.076269,0.693147,0.273452,0.074674,116.3887,20,32,52,83,150,108,266,119,287,116,40701,11365,14054,2078,1130,454,2.144350042026029,569.0124944049646,"Census Tract 23.02, Stanislaus County, California",3763,620,
06,099,002200,1400000US06099002200,06099002200,22,Census Tract 22,CA,Stanislaus County,California,CT,3019227.0,86056.0,1400000US06099002200,"Census Tract 22, Stanislaus County, California",5928,964,,0.079661237267,0.079661237267,0.000319259051757,23.556508859516384,1.347459096404471,0.40680099851748136,0.666087460179554,97.19084853750361,0.0,0.0,0.0,0.0,0.0,0.0,1.3611352447147407,0.7819287576020852,37.77541030809099,0.0,0.0,0.0,0.0,0.331211,0.0,0.0,2.318474,-0.0,0.309379,0.081984,92.1556,100,73,98,76,206,106,441,153,572,199,37386,10727,15624,1939,1269,424,4.64060361451085,551.0068890734841,"Census Tract 22, Stanislaus County, California",5928,964,
06,099,000501,1400000US06099000501,06099000501,5.01,Census Tract 5.01,CA,Stanislaus County,California,CT,37901284.0,427113.0,1400000US06099000501,"Census Tract 5.01, Stanislaus County, California",7992,802,,0.396851637509,0.4031983399,0.00390721939466,26.183128141652688,0.4498472666476233,0.47118509775390777,0.5771802632505103,91.79981699162386,0.0,0.01407756739635391,0.0,0.0,0.0,0.0,7.299218695009502,0.309706482719786,13.356754221388368,0.052769,0.026384,0.026384,0.0,0.026384,0.158306,0.0,0.342996,1.294545,0.276026,0.142643,92.7641,0,19,58,87,87,88,350,252,1323,309,110164,28898,39228,8244,698,515,7.121746815490177,1170.9378439532447,"Census Tract 5.01, Stanislaus County, California",7992,802,
06,099,000101,1400000US06099000101,06099000101,1.01,Census Tract 1.01,CA,Stanislaus County,California,CT,429824904.0,8942771.0,1400000US06099000101,"Census Tract 1.01, Stanislaus County, California",5468,650,,1.01598409255,1.01599259229,0.0449184913189,75.16554304419297,3.239893351767389,0.36348890815502555,2.589059530167899,6.86129121772627,0.11278834878454143,0.02745113250840691,0.0,0.28525307258735877,85.71287905687457,3.3081598491381237,0.7387935227262555,0.3643242694865743,1.0031557651191516,0.004653,0.002327,0.0,0.0,0.002327,0.002327,0.0,0.039551,1.332179,0.15545,0.241039,101.1773,13,17,4,6,56,43,202,112,1284,209,120750,28987,51368,6235,442,204,3.2092738945265133,996.8904766724224,"Census Tract 1.01, Stanislaus County, California",5468,650,
06,099,000914,1400000US06099000914,06099000914,9.14,Census Tract 9.14,CA,Stanislaus County,California,CT,1938107.0,0.0,1400000US06099000914,"Census Tract 9.14, Stanislaus County, California",5233,500,,0.0580985283931,0.0580985283931,0.000197880382452,31.895151420314875,0.08039277884153177,0.2772397581057447,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3457249070632,0.515967,0.0,0.0,0.0,0.0,0.0,0.0,1.031935,-0.0,0.254156,0.090388,130.4271,0,19,0,19,28,49,86,84,1106,289,148741,9950,43645,7487,285,337,1.4111262737695929,1036.2166333020136,"Census Tract 9.14, Stanislaus County, California",5233,500,
06,099,000403,1400000US06099000403,06099000403,4.03,Census Tract 4.03,CA,Stanislaus County,California,CT,3911909.0,0.0,1400000US06099000403,"Census Tract 4.03, Stanislaus County, California",4391,823,,0.0804720411596,0.0804720411596,0.000399573770717,33.1002777150381,0.11707866257805212,0.41339234249945406,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.427025782688766,0.25563,0.25563,0.0,0.0,0.0,0.511259,0.0,1.278148,1.039721,0.26281,0.203826,96.6413,19,21,0,13,12,23,212,101,766,195,114069,14945,38667,9804,266,147,5.734698905652954,1209.5982002796957,"Census Tract 4.03, Stanislaus County, California",4391,823,
06,099,002006,1400000US06099002006,06099002006,20.06,Census Tract 20.06,CA,Stanislaus County,California,CT,1172364.0,0.0,1400000US06099002006,"Census Tract 20.06, Stanislaus County, California",5287,1094,,0.0450249720744,0.0450249720744,0.000118532909571,33.52389206416318,0.12045984722493175,0.3323784961699085,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.371428571428574,0.852977,0.0,0.0,0.0,0.0,0.0,0.0,0.852977,-0.0,0.296766,0.061661,93.5212,9,16,18,22,23,32,270,146,1019,244,97159,22621,26664,4072,204,131,6.50248880266851,934.6150381864061,"Census Tract 20.06, Stanislaus County, California",5287,1094,
06,099,003603,1400000US06099003603,06099003603,36.03,Census Tract 36.03,CA,Stanislaus County,California,CT,135242436.0,193136.0,1400000US06099003603,"Census Tract 36.03, Stanislaus County, California",3867,993,,0.688787513799,0.688789609978,0.013796055133,23.124265353897833,0.11193626417812379,0.491715468572925,1.9350906597592563,94.67723094113465,0.0,0.0,0.0,0.0,0.0,0.23871197115140436,1.6506678856214132,1.4982985423332826,3.645498707460842,0.007394,0.066547,0.0,0.0,0.0,0.022182,0.0,0.133094,0.790268,0.307473,0.188777,91.9107,14,16,41,55,152,159,216,111,579,203,63623,18243,33639,15535,1039,776,1.6296079715343301,762.5733437599304,"Census Tract 36.03, Stanislaus County, California",3867,993,
06,099,000906,1400000US06099000906,06099000906,9.06,Census Tract 9.06,CA,Stanislaus County,California,CT,2485043.0,0.0,1400000US06099000906,"Census Tract 9.06, Stanislaus County, California",6736,1130,,0.104325564148,0.104325564148,0.000253083025168,33.15432159259807,1.2382909134545195,0.40568302947783064,0.0,98.98181818181818,0.0,0.0,0.0,0.0,0.0,0.0,1.0181818181818183,0.0,45.510893246187365,0.402408,0.0,0.0,0.0,0.0,0.0,0.0,0.804815,-0.0,0.213925,0.171318,100.2378,44,71,0,19,38,44,573,333,1212,310,72267,12090,31372,3574,380,233,11.476651208103789,2127.6236827157104,"Census Tract 9.06, Stanislaus County, California",6736,1130,
06,099,001300,1400000US06099001300,06099001300,13,Census Tract 13,CA,Stanislaus County,California,CT,3637676.0,0.0,1400000US06099001300,"Census Tract 13, Stanislaus County, California",5738,786,,0.0794968969784,0.0794968969784,0.000371125028571,27.114309986080674,0.07313726218390577,0.3635381805722848,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.69680455783998,0.0,0.0,0.0,0.274901,0.549802,0.274901,0.0,1.374504,1.039721,0.266643,0.164169,101.4747,0,19,17,36,153,118,278,160,993,235,91563,23041,40371,6608,486,221,9.875723009272392,3298.6221657853207,"Census Tract 13, Stanislaus County, California",5738,786,
06,099,003612,1400000US06099003612,06099003612,36.12,Census Tract 36.12,CA,Stanislaus County,California,CT,3098173.0,0.0,1400000US06099003612,"Census Tract 36.12, Stanislaus County, California",8757,787,,0.104101016806,0.104101016806,0.000316269847725,31.762123826287645,0.09123106194365743,0.34253574488652677,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.23375870069606,0.0,0.645542,0.0,0.0,0.0,0.0,0.0,1.291083,-0.0,0.293137,0.069088,93.0981,72,76,0,19,71,80,254,159,1511,345,101012,30995,36479,5456,532,374,3.373801124619335,1271.1158017459927,"Census Tract 36.12, Stanislaus County, California",8757,787,
