cb_2020_3,ndvi_mean
1400000US36001000100,0.27908059877692826
1400000US36001000201,0.37287658874089824
1400000US36001000202,0.3770448756665421
1400000US36001000301,0.4143471231738868
1400000US36001000302,0.4294414184553333
1400000US36001000401,0.5313468128581139
1400000US36001000403,0.41908157145804925
1400000US36001000404,0.4019104294525385
1400000US36001000501,0.3557499975954782
1400000US36001000502,0.47622142094847497
1400000US36001000600,0.2764010334675762
1400000US36001000700,0.4378946733430258
1400000US36001000800,0.27719044281871014
1400000US36001001100,0.14848598791419768
1400000US36001001400,0.4722418488011394
1400000US36001001500,0.43011229592858313
1400000US36001001600,0.4851185721974915
1400000US36001001700,0.5254336506680766
1400000US36001001802,0.5714886255610712
1400000US36001001803,0.5977649316835155
1400000US36001001804,0.6491810985903597
1400000US36001001901,0.5454268149042022
1400000US36001001902,0.5663142172910768
1400000US36001002000,0.5304782324876808
1400000US36001002100,0.38846199595025593
1400000US36001002200,0.313556891786172
1400000US36001002300,0.5046290068501046
1400000US36001002500,0.1521488601576213
1400000US36001002600,0.3382809994953135
1400000US36001012700,0.3190105031191999
1400000US36001012800,0.32963125721624037
1400000US36001012900,0.2785632550443539
1400000US36001013000,0.5339481186690708
1400000US36001013100,0.2971346855645351
1400000US36001013200,0.2624874046236016
1400000US36001013300,0.40074264859611947
1400000US36001013400,0.2803668339736944
1400000US36001013503,0.49894794314421603
1400000US36001013505,0.5766362997406107
1400000US36001013507,0.5144140907600357
1400000US36001013509,0.5216371511523208
1400000US36001013510,0.5610840304705174
1400000US36001013511,0.4617782299334639
1400000US36001013512,0.5624799656228046
1400000US36001013602,0.4208929273470891
1400000US36001013603,0.5675135331399812
1400000US36001013604,0.576955716219304
1400000US36001013703,0.5239352600710576
1400000US36001013706,0.5908381529809534
1400000US36001013707,0.6424011412385509
1400000US36001013708,0.5120843553748314
1400000US36001013709,0.531139373832693
1400000US36001013802,0.6364258508037484
1400000US36001013803,0.6398848906509869
1400000US36001013804,0.6322576315612206
1400000US36001013901,0.4652076054649305
1400000US36001013902,0.5272373223395741
1400000US36001014001,0.3650984158716524
1400000US36001014002,0.49448176173044933
1400000US36001014100,0.6959169213455207
1400000US36001014201,0.6351669505923472
1400000US36001014202,0.7104427255813343
1400000US36001014203,0.6875523849334383
1400000US36001014301,0.5434744625652361
1400000US36001014303,0.6718134754913524
1400000US36001014304,0.6389775716152951
1400000US36001014401,0.6726957521925288
1400000US36001014402,0.6150133044963229
1400000US36001014501,0.7203069033156003
1400000US36001014502,0.7094402328412805
1400000US36001014503,0.7040470093638299
1400000US36001014606,0.6991957867930245
1400000US36001014608,0.5061914876853453
1400000US36001014609,0.6380326289834433
1400000US36001014611,0.76537779724309
1400000US36001014612,0.7156754498805235
1400000US36001014613,0.7179730595910614
1400000US36001014614,0.6726994657789043
1400000US36001014615,0.7253295996443427
1400000US36001014616,0.6683878302789166
1400000US36001014617,0.6709361828263614
1400000US36001014700,0.7349358894132713
1400000US36001014801,0.7331271372560747
1400000US36001014802,0.7826097198937748
1400000US36001014803,0.7276337461429355
1400000US36083040100,0.4321623338991898
1400000US36083040200,0.35532423241181754
1400000US36083040300,0.3012632333320477
1400000US36083040400,0.2611740727420842
1400000US36083040500,0.5836355876615262
1400000US36083040600,0.42962963724295694
1400000US36083040701,0.17978567307694465
1400000US36083040702,0.6319398883114796
1400000US36083040800,0.22739132400023263
1400000US36083040900,0.4485010496386639
1400000US36083041000,0.49324544172231943
1400000US36083041101,0.6423396085153443
1400000US36083041102,0.6805437465842898
1400000US36083041200,0.6887323748937708
1400000US36083041300,0.5862864754587502
1400000US36083041400,0.6200819191545117
1400000US36083051500,0.25080337406125847
1400000US36083051601,0.3952284412177534
1400000US36083051602,0.5882153629117234
1400000US36083051701,0.7665821815326094
1400000US36083051702,0.6791551699571646
1400000US36083051800,0.7033032868553839
1400000US36083051901,0.624049163316899
1400000US36083051902,0.7463811044876001
1400000US36083052002,0.7363143044081684
1400000US36083052003,0.719617805693871
1400000US36083052004,0.7237853092049761
1400000US36083052101,0.8337336683983078
1400000US36083052102,0.8453967944582861
1400000US36083052103,0.8678171733522635
1400000US36083052201,0.8302793543283167
1400000US36083052203,0.7915669882644866
1400000US36083052204,0.7405997764436928
1400000US36083052301,0.6914123794467921
1400000US36083052303,0.7517932935060861
1400000US36083052305,0.7240644240602269
1400000US36083052306,0.7241521039159138
1400000US36083052402,0.7320639376760186
1400000US36083052405,0.5824108764903932
1400000US36083052406,0.6427402705761727
1400000US36083052407,0.6326053554897334
1400000US36083052408,0.5383164156090684
1400000US36083052501,0.6161275260631237
1400000US36083052502,0.7049566136046105
1400000US36083052503,0.5417289817042609
1400000US36083052601,0.7815236432560305
1400000US36083052602,0.7044214897759472
1400000US36083052603,0.8152731298577621
1400000US36091060102,0.5371684148286807
1400000US36091060103,0.6503949504302206
1400000US36091060104,0.6035466919433872
1400000US36091060200,0.4540994692796407
1400000US36091060301,0.6837680501298592
1400000US36091060400,0.48470247637937347
1400000US36091060501,0.6983616870149257
1400000US36091060504,0.747761613841218
1400000US36091060505,0.7664018621025235
1400000US36091060506,0.7563738795998205
1400000US36091060507,0.760401202813584
1400000US36091060601,0.7002489770517967
1400000US36091060602,0.7402687869189155
1400000US36091060703,0.685071680841323
1400000US36091060704,0.6818168192944664
1400000US36091060705,0.6966170291948905
1400000US36091060706,0.6658567450286085
1400000US36091060800,0.6468505737408582
1400000US36091060901,0.5773894467437788
1400000US36091060902,0.5507509252769368
1400000US36091061001,0.4447714998694721
1400000US36091061002,0.2915790988937977
1400000US36091061101,0.5609195442400658
1400000US36091061102,0.5456194532465036
1400000US36091061201,0.5408261750357632
1400000US36091061202,0.5132071773886084
1400000US36091061301,0.6200402932349018
1400000US36091061303,0.47936573289195755
1400000US36091061304,0.6767129697982254
1400000US36091061305,0.6370806589633395
1400000US36091061401,0.689256372389633
1400000US36091061403,0.6430390599361376
1400000US36091061404,0.6726294684474164
1400000US36091061500,0.7054202161538831
1400000US36091061600,0.7326459192726456
1400000US36091061701,0.6890859531144279
1400000US36091061702,0.7166795649333999
1400000US36091061800,0.5742825898509754
1400000US36091061904,0.6527251095276563
1400000US36091061905,0.5112663887801265
1400000US36091061906,0.49797675324280216
1400000US36091061907,0.6797751239830886
1400000US36091062001,0.6440803172634392
1400000US36091062002,0.572872597334257
1400000US36091062100,0.497048934325987
1400000US36091062200,0.37929459652191755
1400000US36091062300,0.42619937621768494
1400000US36091062404,0.5357534951307437
1400000US36091062406,0.6252461461327993
1400000US36091062407,0.5759615746335852
1400000US36091062408,0.6249216452370593
1400000US36091062409,0.6235467208044132
1400000US36091062410,0.5846583919704474
1400000US36091062501,0.6690203644531085
1400000US36091062503,0.7216089628578067
1400000US36091062505,0.5900912142590355
1400000US36091062506,0.695355241763133
1400000US36091062507,0.6806095987468073
1400000US36091062508,0.5822394694507165
1400000US36091062509,0.6435972290325942
1400000US36091062601,0.7404740334879358
1400000US36091062602,0.7015898197925571
1400000US36091062700,0.5116071082865857
1400000US36091062800,0.40866244972631954
1400000US36091062900,0.6933929055402274
1400000US36093020101,0.6237746398654632
1400000US36093020102,0.5568212298642019
1400000US36093020200,0.33667665324415885
1400000US36093020300,0.31483974875174303
1400000US36093020500,0.5501329452711743
1400000US36093020600,0.5968037596275769
1400000US36093020700,0.4955243328052974
1400000US36093020800,0.5106676803524092
1400000US36093020900,0.31892836793769064
1400000US36093021001,0.16647312809071016
1400000US36093021002,0.44316538134136263
1400000US36093021200,0.49075087061033384
1400000US36093021400,0.447154604823092
1400000US36093021500,0.41399645996053147
1400000US36093021600,0.3707253046500496
1400000US36093021700,0.4233755055491685
1400000US36093021801,0.6237016146451297
1400000US36093021802,0.5541821354357979
1400000US36093031901,0.6967543929233341
1400000US36093031902,0.6330203513688923
1400000US36093032000,0.6061402663374111
1400000US36093032101,0.6592872091843781
1400000US36093032102,0.6393928352648164
1400000US36093032200,0.5582066473987586
1400000US36093032300,0.5052881675415464
1400000US36093032402,0.5614812764096668
1400000US36093032403,0.49834325921144873
