source,target,rmse_raw,mae_raw,r2_raw,mape_raw,r_raw
Albany,Albany,617.3363647460938,295.4343566894531,0.8447461128234863,23.457782745361328,0.9505924
Albany,Atlanta,1224.1405029296875,654.72314453125,0.15340930223464966,97.0965347290039,0.79792994
Albany,Baton,326.6465148925781,193.32696533203125,0.7185964584350586,310.59967041015625,0.89072573
Albany,Bridgeport,2027.370849609375,1033.9434814453125,0.38292545080184937,41.5206298828125,0.8732865
Albany,Chicago,4129.8544921875,1916.151123046875,0.22978270053863525,364.76544189453125,0.51308465
Albany,Duluth,355.4970703125,205.15335083007812,0.8499269485473633,452.2275085449219,0.9271322
Albany,Fort_wayne,840.8525390625,624.6060791015625,-0.22863316535949707,360.5524597167969,0.89678156
Albany,Hartford,1236.1357421875,616.81640625,0.47915440797805786,350.57342529296875,0.8975594
Albany,Jackson_MS,260.6682434082031,162.72628784179688,0.6913013458251953,87.203857421875,0.873835
Albany,Knoxvile,877.0895385742188,227.19482421875,0.5032216310501099,373.90557861328125,0.74882376
Albany,Lansing_east,2347.773193359375,732.0811157226562,0.22157752513885498,308.67010498046875,0.48130152
Albany,Modesto,1260.5174560546875,982.7933959960938,-0.07024157047271729,55.08319854736328,0.7588599
Albany,Montgomery,337.46197509765625,216.5381622314453,0.5545835494995117,59.912254333496094,0.89021516
Albany,newyork,14456.10546875,8114.216796875,-0.2083340883255005,2651.54736328125,0.54197776
Albany,Oklahoma,1272.7174072265625,1035.1451416015625,-1.1767842769622803,2675.69873046875,0.8190005
Atlanta,Albany,746.308349609375,463.396484375,0.7730995416641235,58.87889862060547,0.9073339
Atlanta,Atlanta,861.0533447265625,269.2747802734375,0.5811378955841064,21.61217498779297,0.7720691
Atlanta,Baton,406.3077087402344,260.51397705078125,0.5646048784255981,68.83467102050781,0.82345605
Atlanta,Bridgeport,1365.6402587890625,793.09619140625,0.7200091481208801,44.08415222167969,0.8799594
Atlanta,Chicago,4454.6611328125,2571.57958984375,0.10386580228805542,224.8216552734375,0.53547704
Atlanta,Duluth,506.958251953125,294.9447326660156,0.6948067545890808,177.4402313232422,0.9387285
Atlanta,Fort_wayne,1255.6317138671875,801.4024658203125,-1.7397255897521973,282.7230224609375,0.91315895
Atlanta,Hartford,1212.3314208984375,612.5826416015625,0.49902117252349854,54.60731887817383,0.90630054
Atlanta,Jackson_MS,369.47442626953125,219.93661499023438,0.3798065185546875,53.3783073425293,0.8648652
Atlanta,Knoxvile,784.7311401367188,242.76097106933594,0.6023356914520264,153.9136962890625,0.8114641
Atlanta,Lansing_east,2420.80810546875,1037.96044921875,0.1723935604095459,206.06533813476562,0.47120455
Atlanta,Modesto,1058.23486328125,816.6234741210938,0.24569272994995117,59.07411575317383,0.77093244
Atlanta,Montgomery,301.307373046875,194.78323364257812,0.6449118852615356,48.028404235839844,0.89837426
Atlanta,newyork,13253.84375,7366.4619140625,-0.015706300735473633,2049.753662109375,0.38974944
Atlanta,Oklahoma,659.2012329101562,462.21331787109375,0.41603410243988037,2149.665283203125,0.79902446
Baton,Albany,1381.59033203125,721.3494873046875,0.222398042678833,57.43185806274414,0.75340533
Baton,Atlanta,1524.880126953125,907.2667236328125,-0.31365811824798584,86.72957611083984,0.652638
Baton,Baton,239.04737854003906,127.92881774902344,0.8492902517318726,26.61362075805664,0.9410369
Baton,Bridgeport,2650.222900390625,1569.800048828125,-0.054474472999572754,75.1665267944336,0.7269677
Baton,Chicago,4871.76416015625,2383.859130859375,-0.07180595397949219,386.937744140625,0.12301925
Baton,Duluth,974.8130493164062,411.8377685546875,-0.12842631340026855,198.29425048828125,0.7427901
Baton,Fort_wayne,514.844970703125,348.9400634765625,0.5393877029418945,274.60223388671875,0.8443843
Baton,Hartford,1612.582275390625,908.8373413085938,0.11361896991729736,351.9482421875,0.82699597
Baton,Jackson_MS,437.07916259765625,306.7919616699219,0.1320820450782776,72.52529907226562,0.8401997
Baton,Knoxvile,1149.815673828125,342.94207763671875,0.14624899625778198,156.7290496826172,0.5784519
Baton,Lansing_east,2434.735595703125,754.0326538085938,0.1628434658050537,227.1302032470703,0.6309221
Baton,Modesto,1961.103759765625,1617.0531005859375,-1.5905096530914307,85.30689239501953,0.7759753
Baton,Montgomery,494.61279296875,354.0129089355469,0.04314255714416504,71.93611907958984,0.8489933
Baton,newyork,16250.689453125,9839.361328125,-0.526961088180542,1760.250244140625,0.23154184
Baton,Oklahoma,832.6047973632812,560.2985229492188,0.06840044260025024,458.992431640625,0.66819775
Bridgeport,Albany,694.36572265625,396.6417541503906,0.8035846948623657,196.1728973388672,0.8970856
Bridgeport,Atlanta,1656.5369873046875,1306.6717529296875,-0.5502911806106567,474.94000244140625,0.7490909
Bridgeport,Baton,528.68408203125,371.9422912597656,0.2628329396247864,683.44873046875,0.88988304
Bridgeport,Bridgeport,1127.8349609375,491.048828125,0.8090312480926514,24.259592056274414,0.9269568
