cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,poi_comm,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US18003010604,0.0033652398820022,-0.1416598154049817,0.1215301654987247,-0.0911254654310569,0.1255033705694998,-0.0465775737600698,-0.0213977515878956,-0.1326927023045097,-0.0092077716582836,-0.1594175530531505,0.0534997338119967,-0.19165592221358,-0.1374005354732894,-0.1239208012167592,-0.3155635614961456,-0.0774039227563439,-0.1134084225457496,0.0809980832804922,-0.1049350135080733,0.039226860605135,-0.010539338989408,-0.10309624560817,-0.0951499892582925,-0.1082979666764232,-0.0768536900421702,0.2085667385196804,-0.0088821144019022,-0.0788759911689293,0.1191235734944246,0.0196107282803653,-0.0478499823223582,-0.0358196132634281,-0.0041218414408038,-0.0557828859722198,-0.0417917502187427,-0.0262279258893641,-0.035309652548594,-0.1800730164560835,0.020889510885323,0.0140470523791682,-0.1040409536171318,-0.0366961367048192,0.0704526399184621,0.0085402552266273,0.1470015406441318,0.0942801723491039,0.0966301859810685,0.0051185398963567,0.12086627333277,-0.1782043276919373,-0.0481875142762724,0.0760870799044019,-0.1955542284605275,0.0195885503502323,0.1398448677918984,0.028541769585096,0.1193847043243314,0.0647536480792767,0.0459296413695702,0.050527013931393,-0.0239848412908022,-0.1966269761208363,-0.1683958551479869,0.0513254067397243,0.388107,2771,5.153217,537.722358674203,6.289200333696547
1400000US18003010705,0.0168126376560644,-0.1549253138038939,0.1211580870897583,-0.0475115492918345,0.1195061820291679,-0.0502087758553055,0.0040768573940742,-0.0920493107940213,0.0326168683935033,-0.2002258777751603,0.0444073629904375,-0.2102412843802171,-0.167361171227913,-0.1036071620277498,-0.2745320223568873,-0.0068064825187546,-0.1294157638163365,0.0631217057159337,-0.0668662385301777,0.0699264739964811,0.0147306138791036,-0.0853036087610432,-0.0655147532284435,-0.0828881591432773,-0.0360065189076792,0.2376966233816833,-0.0362499793039872,-0.0995776785242409,0.1700151767642813,0.0169993718218825,-0.064838815034522,-0.011479342212816,-0.0822632854022345,-0.0286370191469541,-0.014338623769063,-0.0283129249935502,-0.04478892302457,-0.1812817014288537,-0.0149983708967646,0.0182224864546642,-0.1255969265095347,-0.0365722757042938,0.0875563130300057,0.0326695134101926,0.1341134071116249,0.1131434959282953,0.0922319738095505,-0.0082246079561168,0.0978038890294551,-0.1901465410821317,-0.0797075644513581,0.0274705505566187,-0.1959687405012422,0.0319287723528687,0.1601334556497629,0.0199202702731974,0.1732274302999993,0.0760850964835385,-0.0004213645053580732,0.0560213124512978,0.013331008031224,-0.1535015254588975,-0.1368210373535516,0.0339906216993724,0.866761,5237,4.614882,1134.806913806247,7.035098614593538
1400000US18003010706,0.0216565692219863,-0.1543153170010825,0.1209832693590927,-0.0839199664503608,0.1164674427911472,-0.0332154648805522,0.0088329491672462,-0.1341610501695057,0.0128853057352466,-0.1996006484232475,0.0488367596967661,-0.1950784855847421,-0.1489174559934053,-0.1047177933097253,-0.2869310973214171,-0.0525858030481871,-0.1277658460281553,0.0640561307375769,-0.0626677251798292,0.0563833920338796,0.0064998028924374,-0.0862475953094784,-0.0758940280242427,-0.1083006709990711,-0.0796460800472503,0.2340207761749679,0.02433318963286,-0.0831081344879026,0.1300891097499502,0.0072076740215273,-0.0510514311306547,-0.0445996930448336,-0.0527682628854845,-0.0366717539275551,-0.0454985964301992,-0.0276255840868625,-0.0289117202518388,-0.1784942733617973,0.0072383362784746,0.0306220225946167,-0.1077169429860371,-0.0266082829801726,0.078778216921203,-0.0021244589300186,0.1498463892963357,0.088037455815328,0.0879488365078044,0.0054995703830406,0.1085339088338502,-0.175985197034473,-0.0670800814934571,0.040837517487074,-0.2017392959812014,0.002798875036226,0.1628051837072252,0.0317150117964769,0.1231591457481073,0.0666480885103415,0.0324639686808058,0.0377772962588108,0.0020360250626079,-0.1736106457572048,-0.1492609366698542,0.0500036378522164,0.833477,4600,7.198757,638.9992050016413,6.46146693416801
1400000US18003003200,0.0431013568955881,-0.2178226334017431,0.1104954119412522,-0.0122789722164979,0.0945193967051872,-0.0548471949994571,0.0059184951627816,-0.081757028691848,0.037009918836499,-0.2150451224680139,0.0660273935975376,-0.1976821007697226,-0.17519448277469,-0.1247811837251387,-0.2123287536784616,0.0366331316103146,-0.0968326371073514,0.103256588989649,-0.0062395702053456,0.0730549005154392,0.0315775456882846,-0.0104034768562625,-0.0631126849751177,-0.0618788600919789,-0.0352139243130669,0.2642441176634209,0.0273838157827639,-0.066999480052915,0.1219791427795347,-0.0036754323628251,-0.0420008117805254,-0.0243832531507931,-0.1674453961355413,0.0126037527906432,0.0593283069649655,-0.0670891784101952,-0.0775813499078586,-0.123491541498344,-0.0402830028939896,-0.0157291238159861,-0.1599770638914682,-0.0573376597347938,0.0894939145656121,0.028950701829988,0.1485483061280499,0.1279668556485937,0.0641477606251349,-0.0422223419695459,0.1039243391805318,-0.1474987233671594,-0.0792208869018093,-0.0249418094579568,-0.2329108296449373,0.0534900615594231,0.2201114746795969,-0.0204671329248093,0.1605136720221972,0.1030435832102342,0.0027669639542183,0.0488020407293559,0.0548792949297472,-0.0822670800637265,-0.1226724923669414,0.0366689870501035,0.0,5376,3.704661,1451.1449225718627,7.280796999337951
1400000US18003011201,-0.0042582077036493,-0.1059461638686305,0.0960093352649043,-0.1107829754797762,0.0953251107827155,-0.0885587898669238,-0.0087368435365482,-0.0932426878883599,-0.0298121717113406,-0.1337469545886745,0.083691733794754,-0.1548456047408939,-0.0801377474587485,-0.0756104001421504,-0.3213783588165215,-0.0999831731536296,-0.1326310669426796,0.0468070854178982,-0.1317921675657415,0.041622499155761,-0.0081582368106435,-0.0979686103025261,-0.0703808939369411,-0.0861097732864742,-0.0734518727780036,0.1877587179784045,0.0050285705579239,-0.0217671978942994,0.1097835037688587,-0.0023813645927907,-0.0648609863583933,-0.0407562815972107,0.0336863596208646,-0.0539886818910687,-0.0370583645155354,-0.0546087269373619,-0.0277760703871247,-0.1535807093462777,0.0460267640776818,0.0060868063798519,-0.1113125414250807,-0.019184451207868,0.0866029819832577,-0.0382168666362365,0.110218603193106,0.0918085686642892,0.1217161286714076,-0.0076336231642009,0.1493391445674843,-0.1602068890627239,-0.072710806716618,0.1068717500946349,-0.1443609156084218,-0.0074201629266773,0.1410930431759889,0.0751003761883541,0.1147589960697079,0.0502848237918985,0.0458395124710094,-0.0200841689184829,-0.0406674020601358,-0.2245352096672694,-0.1284137208658447,0.0708635214514187,0.421081,2379,9.499351,250.43816151229697,5.527197080627936
1400000US18003002900,0.0183681772629532,-0.1976535138030793,0.130966020856837,-0.0289319621927977,0.0969730763327745,-0.0591504252676312,-0.0320491870478012,-0.1091791228901182,0.0245542018625121,-0.1589197062018847,0.0820915652355331,-0.1891764901692425,-0.1486391227413306,-0.1355423310293808,-0.290745071940526,-0.0266039934038029,-0.0955445303583912,0.1048484322759801,-0.06970510864933,0.0603670219663736,0.0085200850418612,-0.0088472602654622,-0.0805887268917117,-0.0757276926780866,-0.0534629477230261,0.2734090262178854,0.0153657603275045,-0.0442006680102518,0.1263141619150979,0.0239435936705154,-0.0381335261954942,-0.036043515060295,-0.0993807893041989,-0.0307472684088233,0.059000034555721,-0.0774798359367969,-0.0763908251766674,-0.1344537132667572,-0.0170463978432393,-0.0437170540702609,-0.1725613198495073,-0.0726259070544328,0.0860960025918099,0.0252012101502606,0.1460894173135723,0.1327387718489726,0.0917543670463373,-0.0557070435525131,0.1317278363867118,-0.1584466132549855,-0.0594396566879936,0.0113250677091929,-0.2096905828693203,0.0528909244616946,0.2066344273182801,-0.0163900882682348,0.1663652521245754,0.0794954063123522,0.0137727600027496,0.0316582532173374,0.0317161543458327,-0.1090109678847221,-0.1371991539326103,0.0463861695461951,0.0,2529,1.607743,1573.0126021385258,7.361383435386546
1400000US18003011604,0.024713028038566,-0.179742632925999,0.103826141275421,-0.038670893571181,0.1154919222255611,-0.0521641207795009,0.0027836309709892,-0.1089296052276108,0.0195123942406226,-0.1964983698153684,0.0471243179228098,-0.2168869465561602,-0.1746221664177868,-0.1205269188763706,-0.2590229376468474,-0.0004699445574975892,-0.1248115163140236,0.0772507518443162,-0.0378320785530888,0.0679467244065883,0.0240300484888432,-0.0664884401895454,-0.0776549684211055,-0.0875471833410789,-0.0591390391019459,0.2424067246513233,0.0158149994793346,-0.0873556102647112,0.1321762473947366,0.0063218493988492,-0.0567424506128514,-0.0161744423631332,-0.1033250145656178,-0.0147473849612784,-0.0065905390159338,-0.0336104263329982,-0.0448663836046057,-0.161036690819542,-0.0265757472437478,0.031636558638784,-0.1386221189027782,-0.0361895271996299,0.0798952585536498,0.0208711421171212,0.1454094720453069,0.1170834961172804,0.0746146066648427,-0.0146611896296243,0.1043593368606275,-0.1875289946546928,-0.074610939812121,0.0272054555265318,-0.2021766221149285,0.0283793283974854,0.1790933445463571,0.0014934261729005,0.1613662225847636,0.0952262622753634,0.0028104287611293,0.038839977802245,0.036974693650048,-0.1473051979907848,-0.1308973010390828,0.0450509571164136,0.0,4260,4.243949,1003.7820906895913,6.912525971798711
1400000US18003010202,-0.0241652636590892,-0.0390956988224343,0.0598818196036017,-0.0898968184834933,0.1049318957178012,-0.05935939764477,0.0651047299341681,-0.0017413096772712,-0.0120319779785673,-0.1652239855595012,0.0620155329120467,-0.1766292142531021,-0.0554666719544731,0.0066054828200036,-0.2711587031787074,0.0165620730337757,-0.1595135183747048,0.0098430274970386,-0.101188535488153,0.08032131412807,-0.0140360463112617,-0.1448911976492041,0.0232215365250279,-0.0277448278472914,0.0203129545494031,0.1064483859167201,-0.063528817143171,-0.114272491535306,0.1540352811215429,-0.0688125582187882,-0.1533928629453212,-0.025975631218459,0.018226723396914,-0.0445596247612048,-0.139044777563675,0.0080197282869248,-0.0053359488368416,-0.1700572381968305,0.01731193110646,0.0278344134209066,-0.0361053802892096,0.0415250237898615,0.0891879868653325,-0.0506479817485868,0.0413965710017086,0.0188538083814164,0.1527396522076518,0.009424803244233,0.116126329040341,-0.1409078592196193,-0.0828265015410098,0.0729212979418223,-0.123456073206977,-0.0017039189568673,0.1110008240424939,0.169355263390209,0.0653430817008795,0.0627449505322063,0.0026954289116046,0.0162341185905632,-0.0666286970625593,-0.210031936076884,-0.1147979883084713,0.0579448421596233,0.0,5978,47.87375,124.87010104702472,4.835250431091879
1400000US18003011702,-0.0110125335828809,-0.0101945111457052,0.0497529378622443,-0.158552466391618,0.0723652558916394,-0.0723069527354266,0.0519054193361385,-0.0064349218641344,-0.0035466160132598,-0.2117754304462711,0.0832332678891745,-0.0779834052846117,-0.0195439183841988,0.0148005312318328,-0.2037552498319747,-0.0071923606299681,-0.1758801759912236,0.0377857418174694,-0.1176162580675475,0.0696249772844968,-0.029938473453764,-0.059515271952394,0.0449833316986556,-0.0054237880223227,-0.0800977268005844,0.1793099883303918,0.0606978501844789,-0.0001263999429886453,0.0491064671380033,-0.1450898248656058,-0.1595254937720329,-0.0951051390651225,0.035025461932526,0.0072576666424639,-0.0478315599071503,-0.0975353837046255,-0.0070064092594549,-0.0885932009135934,0.1002128728317194,0.0139102846940031,-0.0367956573408037,0.0789955574392879,0.1414916015942409,-0.1446278960195586,0.0041910017918409,0.0412617911684427,0.1701024021281315,-0.0414606553451913,0.1648216685632239,-0.0878496839832902,0.0035955108135803,0.0846251267279065,-0.1676293788435596,-0.0193379351934835,0.1687842088903973,0.1876875854032231,0.0201906486347569,0.0679491382456298,0.00751687803954,-0.0963183553702664,-0.0858953935776811,-0.1583443649701847,-0.1297126853315956,0.068799049518699,0.011021,3501,90.73375,38.585421631972665,3.678460909873295
1400000US18003000701,0.0437482282674396,-0.2185834904163807,0.1440745206362716,-0.0535471981678227,0.1159659959664423,-0.0183886317199338,-0.0406621443726528,-0.1596490471247146,0.0333673492913161,-0.1911132415745015,0.0507594459725976,-0.1491828990512434,-0.1706258848322124,-0.155119548755026,-0.2594472258656735,-0.0420578549091973,-0.0477186624650245,0.1505480481842347,-0.0079202008576787,0.0405216299139089,0.013545650923599,-0.000645573710116541,-0.0872586639070728,-0.0705168857562515,-0.076251639240715,0.2965515589249464,0.0341607704305936,-0.0562100555313635,0.1138548459266085,0.0096831355493689,-0.0171099796272673,-0.0574875379185562,-0.0982434218425293,-0.0479263252662438,0.061560855963985,-0.079064948786339,-0.1190671232709769,-0.1184865215331197,-0.0063854168368289,-0.0016468666619248,-0.1791241594098721,-0.0808352697063121,0.0726581264171118,0.0268762689104383,0.1765265799628658,0.1105929796195414,0.0482619228848205,-0.0191203886436973,0.1370354668363713,-0.1491296883832128,-0.0276271342826018,-0.0066175122940689,-0.2371399155530114,0.042538885049779,0.2214009156350993,-0.0610444481355892,0.1363674194366251,0.0709665639692362,0.031718559224926,0.0243910470535461,0.0592128556144129,-0.0721814342966608,-0.1707893797622754,0.0291146755527011,0.0,3098,1.49746,2068.836563247098,7.635224928189215
