feature,mean,std
A00,-0.009828437424481858,0.059049996524057145
A01,-0.1916070194688875,0.08944628690856911
A02,0.04474117455528179,0.07087883378589314
A03,0.0030639193204816543,0.09173117161174804
A04,0.047393018249402875,0.04921714015274439
A05,-0.1345196196195335,0.07910632070434255
A06,-0.04459984397514545,0.049209302172044514
A07,-0.06766710921384196,0.09511245818019388
A08,-0.020417927933635876,0.09632985181354559
A09,-0.10990325094955185,0.06738461920858864
A10,0.08714508492697776,0.06723354025626489
A11,-0.059643961700718374,0.07114411602025958
A12,-0.1468599109030878,0.06634337241754186
A13,-0.12785412936249302,0.0786589220864339
A14,-0.1787370166370202,0.08155411773167617
A15,-0.0008178524603768137,0.08066675973111091
A16,-0.040182467439501726,0.08107828073807345
A17,0.12987238567810172,0.07619913094772042
A18,-0.0742220844252143,0.057648716518030704
A19,0.03523798253860556,0.0491268821132819
A20,0.0028801441648815007,0.04944711197654101
A21,0.018470708880412124,0.054056725855263034
A22,-0.10016182560417784,0.05521429310681531
A23,0.024037448090320233,0.05981518629678973
A24,-0.03203927285545815,0.061678013199797974
A25,0.19961079084526154,0.0808012549928213
A26,-0.028779642950042046,0.08553767303690937
A27,-0.05529473783189399,0.06596970894602897
A28,0.07172700843461031,0.05137475554740126
A29,0.025727698474699863,0.061413018023864945
A30,-0.02682992035930765,0.050926615059314166
A31,-0.0034742082088183436,0.062159765246410176
A32,-0.057873568726700485,0.05997066750252248
A33,-0.039683780859180326,0.046743202785161975
A34,0.029527591043406295,0.08733236130044617
A35,-0.08401723984423626,0.07723346910694374
A36,-0.12219093749768785,0.07763191731364963
A37,-0.10631015156556596,0.05303086042477734
A38,0.02747114762932647,0.04206739150839363
A39,-0.005821943032394058,0.07056155004419962
A40,-0.10570635410492063,0.053025873209874126
A41,-0.03904000091992119,0.05836813349576895
A42,0.11825230647765132,0.05500760079186067
A43,0.01801215262354945,0.056133374950501386
A44,0.13170720155120305,0.06789998006251438
A45,0.12887470237528523,0.03979239531399037
A46,0.03325484951504421,0.07441787936273017
A47,-0.020954159697431706,0.06691637320798721
A48,0.20825416917081518,0.07632339459259456
A49,-0.1347472994008003,0.06232731548216078
A50,-0.07445335299349187,0.05089883284201435
A51,0.06250438585274551,0.05602038535775048
A52,-0.1610275947970435,0.05635285369755218
A53,0.078222252615153,0.06262614987887219
A54,0.17944106577126914,0.06593154656473249
A55,-0.04329876772352634,0.10047696772856161
A56,0.10045310997414598,0.08234626789012135
A57,0.0995702678317402,0.04760640637264938
A58,0.03946134754176188,0.0394994626592708
A59,-0.02415633124231973,0.06925152021130473
A60,0.01951500433167536,0.04891222771676858
A61,-0.08196519268438728,0.06562601305941715
A62,-0.11797555619814212,0.06742372106280414
A63,0.027498619012558796,0.05860811561162517
