cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,poi_med,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US01001020501,-0.0806569740132008,-0.1816213619619271,0.0592559860748949,0.2406708324787644,-0.045790655423284,-0.0766579957430738,0.0003743016651236823,-0.0783064235030312,0.0116090771994516,-0.1083076108284371,-0.0447254421454698,-0.0360922391590769,-0.2437914771984299,-0.0405624180079847,-0.0988861366110841,0.0087347576184473,-0.0821974095849927,0.1062649667032307,-0.00016964527371365415,-0.0495875960582817,-0.0815240668419917,0.1540408634979415,-0.0467174717359898,-0.0393430130619087,-0.0475562376073421,0.1807335825969204,-0.050218976374555,-0.0643550638170218,0.0026142749722497,0.1191471675625618,0.1115323387503844,-0.0715519298611456,-0.0288926156048593,-0.0075351046842358,-0.1563914381580947,-0.0594212215942828,-0.0935878266716042,-0.1009769283150627,0.0028341009888195,-0.0145578559931958,-0.0207622161334178,-0.0022410397468833,0.1206929126135469,0.068414487278376,0.1263701971632083,0.076952277749121,-0.0232924284029853,-0.0985129273089872,0.2068361705539809,-0.1148098501335251,-0.1084503482330131,0.0207931834367988,-0.1689016633304439,0.1223966684461171,0.1864798471052513,-0.0784192764313527,-0.0459715063056628,0.0844333942063931,0.0979846557831577,-0.226977059785551,0.0279453129444404,-0.060083582211492,0.0346278032717883,0.049165420644831,0.0,4306,6.203654,694.1070536815882,6.54406586777699
1400000US01051030102,-0.0872779856129663,-0.0827945665273599,-0.0497788955391761,0.1949669597436746,-0.0797745791450928,-0.1130391025849482,0.0599311622507269,0.0147563662182076,-0.0034187358250822,-0.092573880717116,-0.0799093069727442,-0.0256051128086436,-0.1709583907904471,0.0678816363355256,-0.0697003956087885,0.0107261636874079,-0.1180526230685318,0.0164157242025495,-0.0145176812806723,-0.0266068846112072,-0.0993479445124635,0.0876511587877056,-0.0168423469582001,-0.0028890598812483,-0.0135484568958949,0.0920497220220712,-0.0904029449066417,-0.1221108831935646,0.002679653899545,0.13311717564273,0.0436079792451253,-0.0571913626419552,0.0096534388894217,-0.0543645872550916,-0.2403625641065201,-0.0394311076494679,-0.0828067902735767,-0.1187620702559433,0.0264670096475046,-0.0338087938294339,-0.0091127081707577,0.0589303440663994,0.1394902716708449,0.0255932425521381,0.068750083653592,0.0543415452741438,-0.0274117024635281,-0.1167279144363531,0.2045294044313327,-0.1037453231335763,-0.166540357790998,-0.0023876811530006,-0.081113918993893,0.0839587196198216,0.1527348202175575,0.0895702721676326,-0.0939043816698687,0.1196130886695304,0.0927664885795379,-0.2309005210421357,-0.0398142779645782,-0.0769945258182859,0.0751447879995325,0.1140683766291638,0.0,1415,29.172823,48.50404775705114,3.902054439101146
1400000US01051030600,-0.0549173614792345,-0.0186078127912379,-0.0659466556773509,0.229714166930662,-0.0241590494071214,-0.1369689091721803,0.0257602114762827,0.063238984459077,0.1078933588346836,-0.0444706104338876,-0.0798087118806962,-0.032396306518931,-0.2329931035639909,0.0080569791989675,-0.0767872762659254,0.0409510447615631,-0.0915076742142701,0.0182489666985307,-0.0534134368406803,-0.0574065931330211,-0.075011169497782,0.0950304824637216,-0.0550576925886877,0.0556773755267517,0.0282750782604492,0.1256338072024264,-0.2164424617232608,-0.118873241267583,0.0168639167185904,0.2036428949568996,0.0172040914151762,0.0356584819131227,-0.0185583941801199,-0.0784751541045833,-0.1658317287161634,-0.0541275861537955,-0.1728582450180634,-0.1563307559071489,0.0579932715745542,-0.0736159920722592,-0.0404077850751667,0.0622929056491252,0.1693453143831329,0.01036065969893,0.0817262178312032,0.0647967637034282,-0.0156364338744825,-0.138249689737397,0.2019374295408964,-0.1305264260345249,-0.1683582241470785,0.013598505621627,-0.0678616970928134,0.1474077052102307,0.1036991855577644,0.058285407978943,-0.0479184705077991,0.1203330659877488,0.0756910055886383,-0.1554625020285094,-0.045296394113653,-0.1242867042866093,0.0141149902318884,0.0630464581367136,0.0,6539,130.889056,49.958340290879626,3.931008441873241
1400000US01051030801,-0.0941776828560623,-0.1908753364290155,0.014575255170908,0.2384686708215983,-0.02893561900252,-0.1080359528213704,-0.0240879194478063,-0.0550134266648628,0.0103629628308211,-0.1126460505506122,-0.0305795113779006,-0.08636719635995,-0.2470051816351962,-0.0423319209870692,-0.0819228467198966,0.043065447800495,-0.0595216192131301,0.0698760436159212,-0.0474862727727606,-0.0264212122421241,-0.0458065350758884,0.0859661986559584,-0.0651432981108649,0.0157784026819178,-0.0634802547338611,0.154301020213954,-0.0886473910197375,-0.1055842421618524,0.0015748119245336,0.1392608297699491,0.0265219607764337,-0.05707293612312,-0.0402810246477285,-0.0441281623297679,-0.175879726523956,-0.0668366962967088,-0.1341735007515476,-0.122059369395011,-0.0185878756824292,-0.012181058215897,-0.0678199679220352,-0.0061751741262526,0.1223070214607427,0.0601691300364863,0.0858331105632173,0.1191561217975802,-0.0487511587126311,-0.0621707647333161,0.1943513522852029,-0.1238398739849704,-0.1438049727692706,0.0715506369217982,-0.150619602291889,0.1432660590249815,0.1804488415567239,-0.0427775306797219,-0.0469699518156817,0.1177249555533718,0.1078769203559559,-0.1713751480179429,0.0173164039734081,-0.1181119144074233,0.0108040876003809,0.0519332506840157,0.0,2924,6.452531,453.1555137046223,6.118439680587113
1400000US01051031100,-0.0782580335136821,-0.1443836537047342,-0.0120383894406622,0.2629863717018852,-0.0657665581064873,-0.1153769388728411,0.0292581011126218,-0.0202143530976266,0.0250641845904621,-0.0900163693751744,-0.0582411962534409,-0.0584687142150259,-0.2453642883621918,0.010542803999602,-0.1025293425099806,0.037502337805343,-0.0841815076742845,0.0515093243293017,-0.0059214909915068,-0.0124683185864308,-0.0773126969694216,0.106127076333934,-0.0607910682439113,-0.0131694649532294,-0.016761058424796,0.1538201890239587,-0.1322217190585169,-0.1165964129497683,0.0330923589808518,0.1828198685792762,0.0647679078621133,-0.0569408588308977,-0.0758525078572576,-0.0445746471128292,-0.1975889311671389,-0.0305038329858881,-0.1364116083829961,-0.1300461523115571,-0.0177767484550751,-0.0926934213364291,-0.0427683753449404,0.022975722517158,0.1251544640971897,0.074568600351865,0.1064757794091621,0.0714114629877383,-0.0134608206458815,-0.1019591110188942,0.2159233136703661,-0.1371988028972815,-0.1967586276012018,-0.0227967807841682,-0.1258583109224588,0.1397224742602108,0.1738932204603301,-0.0032027040201167,-0.0607730874863932,0.1005590559379081,0.1069103605888662,-0.1986249716574363,0.0014759224074467,-0.0948162272083399,0.0330418031885557,0.0569932941760927,0.0,4176,10.553153,395.71112064801866,5.983208360018771
1400000US01051030802,-0.0772602989984967,-0.0651973679590392,-0.0569327762958082,0.176336862600563,-0.0615562356162321,-0.1068306214957409,0.033620736778676,0.0295024883402462,0.0095283619214982,-0.0684951044394661,-0.0660479858254993,-0.0286785302531108,-0.1912877435376131,0.0501953430184752,-0.0672517825084603,0.0120222165687939,-0.1087494561107466,-0.0031473626012435,-0.0408439389065971,-0.0393491172880837,-0.0937199077218787,0.0719541336985333,-0.0438190829650564,0.0215710659764218,-0.0125516850868704,0.1118228242988034,-0.1248485947802707,-0.1175448479175991,0.0060750442176313,0.1559182625248484,0.0240648938869319,-0.033463812872172,0.0022504685081517,-0.0658777645399468,-0.2269928133066203,-0.0488778300923852,-0.1113768773092636,-0.1249614384280715,0.0455000623679847,-0.0381008703332393,-0.0431475405603782,0.0603831158184151,0.1517959586053232,0.0298819175211273,0.0750772554899119,0.07825387780417,-0.0285831468529834,-0.10235390736789,0.2082084195976887,-0.1136668701799805,-0.1747113446025161,0.0040345393459765,-0.0635100624975614,0.1112214942593849,0.1322475931147111,0.0769231639325151,-0.0885271511378875,0.1206380860682291,0.0898904254716042,-0.1987784994813695,-0.0523607794557453,-0.1073218450485206,0.0568956220583813,0.0990054105076269,0.0,4456,47.474657,93.86060440626248,4.55240849198999
1400000US01085780800,-0.1073159654992256,-0.0202072423373753,-0.0409685080813986,0.1836437680520458,-0.0542914103570881,-0.089308544148255,0.0347221461899953,0.0585289630787154,0.0361423363660551,-0.0115901707668766,-0.0954273056515221,-0.0418300577182774,-0.1970785268655882,0.025681344720203,-0.0568122251222944,0.0467955737013596,-0.0942453060981195,0.0236529894844995,-0.0597929444681613,-0.0764666859222091,-0.1181241331901537,0.0653237152768308,-0.0883923954716224,0.0624662077609975,0.0127871085901825,0.0823061464497026,-0.2006412022195627,-0.1667000500311454,0.0190698499429435,0.1897089278029996,-0.000971842255180214,-0.0306965275071132,0.0104738085400767,-0.1350156599344413,-0.2523679434707074,-0.0280599534720615,-0.1504073224974552,-0.1476892614938268,-0.0031000646864858,-0.0738394264370375,0.0089559599834133,0.0580474194981063,0.1255834595218947,0.021817547041081,0.0880200312981225,0.0348208480038104,-0.038079366303868,-0.1360472632120767,0.2016273045111433,-0.066090455033235,-0.1927027273254608,-0.010851358557398,-0.0647665411355967,0.1333130741731665,0.0948617428240858,0.0738206474222537,-0.1021538989792827,0.1195635982676198,0.087647262430979,-0.1610581222370061,-0.105197089880513,-0.1056016695966874,0.0071355858560936,0.0667018539144744,0.0,3272,401.741603,8.144538617774172,2.213156828713795
1400000US01085781100,-0.0405441665271938,0.0035259371619533,-0.0789020661960794,0.1751625930107746,-0.0454608754766042,-0.1305637188535213,-0.0011544283341481,0.066505056674094,0.0686547955450353,-0.0202974945021132,-0.0718151287634609,0.004501092843491,-0.215011204631472,0.0050427339871411,-0.0452187300556517,0.0344659359442719,-0.0988310326957621,-0.0237802047386328,-0.0557335576656823,-0.0778915855467546,-0.1041267114268481,0.0617114940351787,-0.0647399014333725,0.0742594361479352,0.0340108628889623,0.1381852312814664,-0.2121084510653345,-0.0894437813575692,0.0206144244227076,0.2126924254266826,0.0236247814905804,0.02788512988496,-0.0129768952987586,-0.0938580211155481,-0.16767607322482,-0.0534647970245223,-0.1690009123646657,-0.142333860606885,0.0505165380163344,-0.0708770047004881,-0.0537717998562768,0.0990437468819788,0.1723253490646094,0.0070434597301083,0.1023559737712976,0.0681923591614032,-0.0386685394684476,-0.1446398675537472,0.2471221031916005,-0.123292588905543,-0.1933836420257516,-0.035512237650609,-0.0439003033105331,0.1414733068514097,0.0915016569080811,0.0691483854772531,-0.057371736379904,0.1224554957455959,0.0784736868873543,-0.1411235489472611,-0.0730548829306096,-0.1086488907489609,0.0359019598646131,0.0811307416706097,0.0,1490,408.297013,3.649304189252053,1.5367175716825854
1400000US01085781200,-0.0313713407797238,0.0012127467751125,-0.0724708853596008,0.1929601524799494,-0.0314086199842445,-0.1237867501609073,0.0140048573603795,0.0836299662536387,0.0874895303827719,-0.0159769175491061,-0.0763856340166936,6.234007432542101e-05,-0.2210955484740222,0.0160211719503705,-0.0379645993481502,0.042446999696073,-0.1013891932167771,-0.0161708727600437,-0.0405548112459684,-0.0916345634667314,-0.0987697041978337,0.0617864747718871,-0.0644824700475049,0.0641231356799115,0.0444248974844879,0.1400040982572471,-0.2189316102322528,-0.090178042490424,0.0150246506771493,0.2158368897684134,0.0362479452462065,0.038889885273194,-0.0176221603054669,-0.0852986381235981,-0.1683733738181902,-0.0432655728043751,-0.1762003435734084,-0.1495544583698716,0.0597857383940815,-0.0666404630163831,-0.0428078656183346,0.0871402467137684,0.1733239717108758,0.0085138498549199,0.0858915867816162,0.0549716556840555,-0.0331935037346382,-0.1424392459926253,0.2256575704170459,-0.1257221719221496,-0.1761088377734068,-0.0391888759688185,-0.0523930359308607,0.1432966646658391,0.0895899269186726,0.0573546545343064,-0.0609005250762859,0.1209359568857457,0.0710663868504649,-0.1482361614931917,-0.070031109239381,-0.1162055707654593,0.0281560883192353,0.0736795381528149,0.0,2820,474.919514,5.937848239270286,1.9369916744643159
1400000US01101005902,-0.098904882181968,-0.1559323280145412,0.0115060340807307,0.2021676419322283,-0.0836617134214917,-0.0709412809279319,0.014407139671528,-0.0471952214126675,-0.0304176176042121,-0.0394247716755136,-0.0130630049194047,-0.0630980718849021,-0.2251873390991679,-0.0148230668891705,-0.0760235243719701,0.03461827585134,-0.0700585003048929,0.0332746086891668,-0.0496611585230342,-0.0211131342578459,-0.104219593040749,0.1050480534100279,-0.1147316244294465,-0.0039559501185749,-0.0689511140930761,0.2051946577375252,-0.1105381062511591,-0.1151723171729541,0.0329566540828583,0.1832936455335584,0.0405403658179122,-0.0984067760393385,-0.0723745106956662,-0.0569679151276627,-0.1890410615655246,-0.0441017092620025,-0.1051814361698459,-0.1175601575219225,-0.0280703895394637,-0.0803869864412627,-0.0683048712697324,0.0194991961785612,0.1255588999096278,0.0829135608179237,0.1002679853098939,0.0683406268964992,-0.0271039925120238,-0.0897278636010843,0.2384888642390209,-0.0877627555236615,-0.1833488754130762,-0.0409205669051029,-0.1469863902414747,0.1486264942474874,0.1538748966295196,-0.026256000083703,-0.098544372922471,0.0808278588779883,0.1076728809667317,-0.1585965369534378,-0.0216770673164944,-0.0883597856536023,-0.0335134534169894,0.037610988891134,0.0,2608,5.208396,500.7299752169382,6.218062076998489
