TRACT_ID,MSA_NAME,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
1400000US40015161601,Oklahoma,0.03905059639623663,-0.11781721193649315,0.11465209486226909,-0.07853454422518077,0.06788517050400579,0.02702435600987568,0.013455166039849,-0.04187801172797145,-0.035113252619214726,-0.17627341270781854,-0.17001671866360507,-0.1888696380386726,-0.19309022670016734,-0.24782792406110343,-0.14618009362400092,-0.04141336095269853,-0.15544991709849054,0.06073295217835184,-0.03556100900734868,-0.06449618194706541,-0.1793625678389843,-0.08720806035850825,0.07914222970262184,0.08112546642051956,0.13492728750417438,0.08639827597865499,-0.1789550239464738,-0.05667264015825179,0.10479579281965846,0.10908562440343703,0.06975648010942478,0.04547962450268707,0.18743161179369003,0.007517488858506249,-0.05208867212664408,-0.04118614817611812,-0.1291519559777583,-0.10752594246381263,-0.015054127117973073,0.11982312391135871,0.02438051673211477,-0.1874290897639887,0.052174867920693965,-0.05413777020485752,0.13983456334863523,0.09206973497214817,0.1328156516223683,-0.036932494607452224,0.049672445909592244,-0.23479608077854774,0.024325784708721432,0.06507111507452326,-0.1373927764732141,0.05342626828220985,-0.05839065580325505,-0.07564450432167692,-0.020479330356771436,0.026902979315668225,0.02880247275879997,0.23778560495040743,-0.07722816352029714,0.01073703834225492,0.10707734044549554,0.16624140414926444
1400000US40017300803,Oklahoma,-0.005866295239951758,-0.1251809151313681,0.11256370953736987,-0.06488707013365741,0.0833083806151405,0.009822193571359317,0.006650943181162055,-0.023658317509120345,-0.035802030710320405,-0.1492132064299464,-0.1285433953242108,-0.167494251605944,-0.14194392901706532,-0.2382852504074517,-0.14487973105566204,0.015267961213118231,-0.1823350837432722,0.05477980861918721,-0.09749048528277522,-0.029596130062557843,-0.18610682777277127,-0.07095861657579018,0.05954688424174723,0.11411981509643956,0.1503938004538291,0.046209985614921054,-0.12959517740084972,-0.10941707638809782,0.09474115212466286,0.05620648493806955,-0.03087799655100124,0.007878301288015395,0.15033518764236636,-0.054085261301447286,-0.08651620378676401,-0.05516456729502822,-0.10589051476223155,-0.1388264601570877,0.019390517158296875,0.08468300155049113,0.021175504711981274,-0.14761615501215758,0.014250448908150306,-0.09407213943963472,0.121255295657418,0.05941425649300715,0.126883289441321,-0.03641456093638586,0.03962190566429262,-0.15115425139216174,0.0055427316719813356,0.08893672334696603,-0.15173124999171095,0.039589673829205085,-0.05274513533691702,-0.02566417944889135,-0.03718254419182861,0.041184622907036846,0.0025594867254168504,0.23012883856675903,-0.11012341942423416,-0.014914683267015717,0.045819298151825706,0.18084266075921562
1400000US40017300904,Oklahoma,0.017262052267595175,-0.20676797428420685,0.05486382578807084,-0.04293569775906915,0.05829174695404592,0.02437349594269978,-0.010297201175617169,-0.02581134466603891,-0.09302587337473828,-0.11200750297388055,-0.007763904890316914,-0.14427831399505894,-0.10505609249947917,-0.24185602451332897,-0.12123846268307033,-0.03516595692747002,-0.09364636009655014,0.012764927842722795,-0.07998587652652342,-0.0351013819765884,-0.1511865837302492,-0.0267870024130734,-0.00838839116599704,0.08567685475260532,-0.006578090863034948,0.10188893184920039,-0.05206259873078976,-0.16709567146653082,0.05154704744288946,0.07913367968281002,-0.09378540480326478,0.03767113536268648,0.1082462222513727,-0.07946439649709743,-0.05914835834405572,-0.010843157667983917,0.02194311104472197,-0.13098406335503837,0.01911030358970794,0.11889719946456441,-0.08442871336509633,-0.1559495710206964,0.10650909481169354,-0.04896376164932148,0.09230386343907683,0.15027111026851192,-0.028172906852027654,0.05644124177102961,0.00412266938395776,-0.1549142138514069,0.03333590328538969,0.14209083218967614,-0.19452693803754187,0.045213764131620794,0.015212417826980918,-0.015537634345770351,-0.048575169122970156,0.1074915057289486,0.04230507089962408,0.12768995278414091,-0.06378590317244419,-0.04432210008320703,-0.010571426136432638,0.23714162265039154
1400000US40017301006,Oklahoma,0.01058068651817913,-0.2143210257884764,0.16330862617597772,-0.0477078844118596,0.0862850520872772,0.005057944892588769,-0.038280466356541344,-0.1134161306185006,-0.07397980765888347,-0.16041600411476617,-0.07927522983845917,-0.14974881149673164,-0.16137885473600808,-0.26029399462982583,-0.20548203029714165,-0.0663782342209013,-0.08132535096548844,0.09583583964315359,-0.06777801541855628,-0.01163268977236767,-0.1545829081266599,-0.025732067953652685,-0.018952558539543824,0.044116250334609995,0.03003339350940943,0.16084477383181067,-0.07537348133898673,-0.11877520496514661,0.048776821846555206,0.11265303770903637,-0.011204196668136579,-0.03274851761507593,0.08337890486802527,-0.08883909990351088,-0.02599325195718016,-0.0400317637207188,-0.1124438599739279,-0.14203287265483128,0.015986052162159776,0.08405790848263882,-0.0314192022267778,-0.15647761135323063,0.020635917400704862,-0.05142083244208932,0.1662245079820988,0.08067613516015949,0.07768771633927346,0.01100593117260673,0.060770108111936345,-0.1482697630617105,0.017285989432255365,0.12076124001498147,-0.22549703393420245,0.07396259624421307,0.02201739846285208,-0.05031439335032309,-0.024733946641235422,0.05184916444107427,0.027075062344402,0.20252020818565825,-0.057824546867553644,-0.01850937421704755,-0.05717480245949359,0.14757976628652913
1400000US40017301406,Oklahoma,-0.009727870098413858,-0.18571966126712386,0.14396981372445636,-0.030774369020309302,0.07746307290277547,-0.027381388541025283,-0.06131533110612569,-0.05700787181688393,0.00620476218192178,-0.14939654861401142,-0.11933322105162228,-0.16077895391486832,-0.17870364479466555,-0.2779408754807076,-0.16929132430167534,0.002592349653282285,-0.1113495170374809,0.08404128954977778,-0.09924287756127792,-0.007601201751928578,-0.15909325530565807,-0.01867092764041544,0.016322626867696245,0.09821718989578604,0.08238472558534402,0.14045164818611683,-0.16345395065340662,-0.13030477601991325,0.0804226080731868,0.12950149569274344,-0.022756373042209475,0.03338223417850532,0.0808874658727988,-0.06283613978366676,-0.012032830766055706,-0.04764695918050789,-0.13735801125021146,-0.1358851423246903,0.01355743848523799,0.018149555442247313,-0.022856662731704936,-0.16138444006923572,0.035643450759842585,-0.04383217210922565,0.14282110534264764,0.10349793374908606,0.12625470232429611,-0.03193892476542188,0.04412513374089759,-0.1832077015668181,0.003464036359268434,0.11771679056439271,-0.20788490701229256,0.12944328132346003,-0.008747371074728637,-0.07748676132788015,-0.018833700450000858,0.06639804475003767,0.025195146409677092,0.2422708963920463,-0.08738410882885717,-0.03628389809273256,-0.02942758896234478,0.1224670629344414
1400000US40017301409,Oklahoma,0.01856200574084562,-0.21874835554768676,0.18818278648230016,-0.03535244081505184,0.07353926244414416,-0.012745850426129867,-0.056914940439845865,-0.10527639960905014,-0.041784942388139,-0.18026587778077025,-0.11237697777919692,-0.13812704123283823,-0.18570658903164922,-0.2712485428635789,-0.1954036008775974,-0.05697314683743817,-0.07669863818776845,0.11475125756946898,-0.03674828220462129,-0.030710011288889064,-0.13384770913885105,-0.029195118644889058,-0.020858318055173238,0.05205266876481,0.023315801978364803,0.19020887546045254,-0.09978626713267613,-0.09589814239211294,0.04381179860508016,0.12044468725606998,0.016094850531572624,-0.027476815628467908,0.06665628782744579,-0.06957134488396398,0.0028110940649750163,-0.023587139173646385,-0.14733322796221918,-0.1361897200001968,0.011417704919536292,0.06515727618308137,-0.04533565068224824,-0.15731668965176626,0.007622661415767195,-0.033051798539507696,0.1569479413637207,0.10681674511779997,0.07612605684912975,0.0067491586722989326,0.04391950302270538,-0.1704063197367663,0.022532528624952194,0.12023637900666134,-0.24784370381007279,0.10578833412093915,0.039048104133167734,-0.1082662791209502,-0.006578766952793303,0.08033473074233129,0.043887184496049475,0.19785729175489192,-0.06305898022154396,-0.017363567407655996,-0.0641877926902617,0.11843625087407803
1400000US40017300600,Oklahoma,0.023830840276283845,-0.23126653098382632,0.2064790894238529,-2.543612729075856E-4,0.07619685000484262,-8.215096971048367E-5,-0.03237662513925119,-0.10182273907059175,-0.10314637707924691,-0.2031322887067199,-0.07439152409047972,-0.14223833229139146,-0.17893061512562425,-0.25031357552171224,-0.18494262391331345,-0.06488779736492692,-0.08791628394697584,0.12041514124648386,-0.03951507225973746,-0.011986390993146247,-0.15114748023989008,-0.022766984474677985,0.005522092218790993,0.027652922247643555,0.03432798057399924,0.21534247141706328,-0.05709293547622259,-0.10137843320366773,0.04627826571357429,0.10140787349366037,0.004297349752211099,-0.055456448409480094,0.05730577835602555,-0.0417595321709266,0.009126331913845256,-0.03628323019044861,-0.127351693655865,-0.13663631685225017,-0.0278206736865408,0.08208740563441387,-0.051951872565042294,-0.17380296861404557,-0.006546124255355563,-0.055004901829368,0.1593756359526253,0.13126216564358836,0.0694074560168196,0.024234374931190333,0.06949204715434076,-0.12677817447419715,0.026849478342796437,0.11973659237831659,-0.2400360254084455,0.08860427173905615,0.03882241153251317,-0.10721963216223353,-0.01951643926935365,0.053567158372521316,0.011995280758133569,0.19182249653426556,-0.03475014233818017,-0.011520183969797839,-0.025425134678699945,0.13767182123155597
1400000US40027201302,Oklahoma,0.03314275315456009,-0.2849062775716425,0.1508873449049341,0.02098244855290814,0.09257134511998036,-0.014613591734467773,-0.07450988759174254,-0.1293792387648111,-0.02964912359529125,-0.11639775514714741,-0.06110274018946033,-0.09408615630313025,-0.19311139734488336,-0.29202013785648545,-0.19919940529653857,-0.06842908281435142,-0.03187653009155228,0.13795106062913787,-0.062364310431918445,-0.0568965708265525,-0.130512039442132,0.015878169844682086,-0.0894795793359052,0.024938227543949545,-0.0021613953938539447,0.23095286094568562,-0.0679495741786648,-0.028813816126083604,0.02269479199986658,0.1469300993039226,0.02561742315546341,-0.08185506575710161,0.03220242000707502,-0.08973903377496206,0.07604328962629175,-0.06633709833724544,-0.15405102645827443,-0.17205703290672336,0.009601648145499351,0.07875757338386932,-0.07409777125012859,-0.14006855601702778,0.07134227779045309,-0.009316444751156682,0.1743615322839093,0.11065273305089436,0.02019355492311674,-0.026464429436543348,0.06231405810419801,-0.14719674922876377,-0.009364457279949518,0.10592020697967995,-0.2571813626968622,0.13521581561655724,0.0730448126142108,-0.1463366847171174,0.03294744012631839,0.06642251084533962,0.06357466004604644,0.14064161978732412,-0.03115021147811369,-0.012960981848532763,-0.11777216406755206,0.10608886460780613
1400000US40027201509,Oklahoma,-0.028037987450011563,-0.1942314131074716,0.13955727255266398,-0.035523922494871164,0.0689679210452436,0.009227377518040971,-0.040732758767873745,-0.07552617677512483,-0.023755683034986274,-0.1417317043551282,-0.12049986168015168,-0.16075618472322556,-0.17023358696655355,-0.2624360598403489,-0.19127480578998746,-0.030368690221363955,-0.1024759972440347,0.10160310542841758,-0.09914086462945022,-0.0370268674740746,-0.17653746758649322,-0.0013433209487391838,-0.04201925820735391,0.09187684484536097,0.061277687655440505,0.1098516757266594,-0.1296116090297729,-0.16085475475447963,0.05736238381290827,0.13637313648570362,-0.013630928165154606,-0.02695553082580579,0.08080220172088094,-0.11538618954778736,-0.049863619171727304,-0.015266891481476462,-0.11832640829359543,-0.15181957144215227,0.015753372175673658,0.05634694013499864,-0.01310173047597531,-0.1497842656950983,0.03561849851732622,-0.0686564253646614,0.14508058100432297,0.08508926253861686,0.0871666740240143,-0.027423905896250572,0.027684625883186435,-0.1500009829980094,-0.014340258955785815,0.13296814810347385,-0.2011727167314024,0.10370336076998789,-0.001428102867584628,-0.04257269141070513,-0.03950466421301922,0.06927562062301083,0.030161549458868106,0.22753276032361652,-0.09662800647676636,-0.024803354045839263,-0.02786910495953331,0.1400114750973074
1400000US40027201612,Oklahoma,0.029960277076473096,-0.2778546834058248,0.1743231865403253,-0.00956338191301061,0.0774888786066796,-0.003774600697384254,-0.09668055167998156,-0.14458472221653254,-0.07978471120477501,-0.1513493505864946,-0.06816040399116324,-0.10513759999638364,-0.1825276901728262,-0.2859331857322748,-0.20747633745822291,-0.05894641116412632,-0.01897776541333508,0.13862368868930983,-0.031867805314639355,-0.024351849489018317,-0.14302332266217263,0.0163550391857263,-0.046060549420661435,0.026443564343334953,-0.01578888268268483,0.25792683768936703,-0.047898251822421176,-0.03955457661159155,0.020475674071459015,0.11057456885476628,0.011660243092978771,-0.0795105965955016,0.0332420797846919,-0.09335501367607194,0.08204203652748239,-0.07092513238884958,-0.15957584092041344,-0.1316881581129106,0.008828899180426099,0.07973471460183916,-0.09065892852020095,-0.15712998203232714,0.03985999128512298,0.006270315808939877,0.1702818690405311,0.12146014703755524,0.022660218755190562,0.006356036486404968,0.07186721014281797,-0.16651054743796448,0.014291560345439422,0.09126704383146261,-0.2403581757432399,0.10909945981365488,0.07962701076408642,-0.14837323319969228,0.027035527697295576,0.07065077286892171,0.050879412299602016,0.15116870620133285,-0.023228118308380598,0.016710974753007063,-0.11039634944363412,0.11146928763604685
