cb_2020_3,cbsa_code,cbsa_title,group,elev_mean,slope_mean,ndvi_mean,tcc_mean,dist_water_m,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio
1400000US18003010306,23060,"Fort Wayne, IN",low,256.93171914604824,1.6186876382419078,0.5316394890174654,17.49875265652389,408.88018638691176,0.031693,0.0,0.0,0.0,0.0,0.0,0.0,0.063386,-0.0,0.359761,0.107221,97.3505
1400000US18003010307,23060,"Fort Wayne, IN",low,261.05282519460957,1.3556451927149302,0.5125914148275819,8.53526837996388,342.2744963396591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170341,0.0,0.281292,0.090379,102.5624
1400000US18003010308,23060,"Fort Wayne, IN",low,259.1110675628202,1.439684914501345,0.565908906598017,14.747842725399032,271.86182342152836,0.0,0.225216,0.0,0.0,0.112608,0.337824,0.112608,1.238687,1.277034,0.297898,0.140541,107.7355
1400000US18003010400,23060,"Fort Wayne, IN",low,259.5382495496309,1.6526743315580128,0.5271662073326606,11.168141434968998,567.401605879221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084563,0.0,0.259153,0.173379,98.6494
1400000US18003010500,23060,"Fort Wayne, IN",low,258.22618993837887,1.142855675905728,0.48243447464352035,9.779914672054385,725.3386724808756,0.010815,0.0,0.0,0.0,0.0,0.021631,0.0,0.075708,0.636514,0.246744,0.181274,109.0508
1400000US18003010601,23060,"Fort Wayne, IN",low,253.95669729353025,1.7573074661782042,0.4766795270735603,14.796186743825174,564.4961431795108,0.113825,0.0,0.0,0.0,0.0,0.056913,0.0,0.68295,0.636514,0.164318,0.219278,118.3385
1400000US18003010602,23060,"Fort Wayne, IN",low,262.71912246873785,1.2268055857145146,0.5571358457943953,13.366322841070126,552.4498834222677,0.0,0.0,0.0,0.0,0.0,0.060937,0.0,0.121875,-0.0,0.251174,0.094836,93.9008
1400000US18003010603,23060,"Fort Wayne, IN",low,260.7618044217146,1.272220549084077,0.5310716963164449,10.404919983185088,480.3321222364182,0.13206,0.264119,0.0,0.0,0.0,0.0,0.0,1.056477,0.636514,0.147872,0.198404,96.6527
1400000US18003010604,23060,"Fort Wayne, IN",low,253.65156740041297,1.7076731078331302,0.4620276072806529,12.158784352186602,797.4073605551574,0.0,0.388107,0.0,0.0,0.0,0.194054,0.194054,1.940535,1.039721,0.260917,0.16817,119.5721
1400000US18003010705,23060,"Fort Wayne, IN",low,246.05869576092675,1.9894111546256985,0.548409523492728,19.122223434733428,570.4951263349666,0.21669,0.866761,0.0,0.0,0.0,0.866761,0.0,2.383593,0.964963,0.194386,0.147604,101.3456
1400000US18003010706,23060,"Fort Wayne, IN",low,252.20982878746338,1.1609470655269452,0.475759533758111,10.994914579332415,850.480349674863,0.0,0.833477,0.0,0.0,0.0,0.138913,0.277826,1.666954,0.848686,0.22913,0.192826,99.3932
1400000US18003010707,23060,"Fort Wayne, IN",low,250.31772981668627,2.0035428822272583,0.5080017168674974,15.921464308663795,378.94188474562617,0.0,0.546108,0.109222,0.0,0.0,1.638325,0.546108,4.259644,1.076745,0.101403,0.243366,101.2204
1400000US18003010803,23060,"Fort Wayne, IN",low,244.5696384237486,0.873574046747335,0.5283219878985136,16.491529951897327,848.5296358495331,0.0,2.483802,0.382123,0.382123,0.191062,1.528494,0.191062,6.305037,1.342042,0.274284,0.176608,77.6248
1400000US18003010804,23060,"Fort Wayne, IN",low,243.01176664836268,1.0204437087755525,0.5314973410859506,9.848625986953998,600.0261213796379,0.340416,2.382911,0.0,1.021248,0.0,0.340416,0.340416,4.084991,1.263626,0.247232,0.185655,65.3069
1400000US18003010807,23060,"Fort Wayne, IN",low,241.65343157662116,1.4461863668225243,0.5362390102486815,14.187414438056472,643.9745715198881,0.0,0.209408,0.0,0.0,0.0,0.628224,0.0,1.884672,0.562335,0.286013,0.129057,89.8055
1400000US18003010808,23060,"Fort Wayne, IN",low,238.90235270593635,1.2185644561091282,0.5072040415640062,9.337537424696057,413.1781291277764,0.0,2.746888,0.17168,0.0,0.0,1.201763,0.515041,5.322095,1.026258,0.246641,0.183249,93.8161
1400000US18003010809,23060,"Fort Wayne, IN",low,236.78267819528375,0.8455937607536116,0.47409792416930463,8.7293274517525,789.4632403850493,0.0,0.999662,0.0,0.428427,0.142809,0.285618,0.142809,1.856515,1.331664,0.338148,0.119724,79.516
1400000US18003010811,23060,"Fort Wayne, IN",low,232.7823886542099,1.444796063049801,0.47871373874098494,16.37788036051855,455.31766452185366,0.133766,1.337661,0.0,0.401298,0.0,0.802596,0.133766,3.210386,1.279177,0.269702,0.192792,93.1712
1400000US18003010812,23060,"Fort Wayne, IN",low,230.2138170322711,0.9350815374159401,0.47026100646291463,11.089249063110156,473.65310550017364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.210559,0.159621,87.4372
1400000US18003010813,23060,"Fort Wayne, IN",low,240.84306277628585,2.357123640783301,0.5091647946769738,22.607261445379667,234.84998164424837,0.0,0.30027,0.0,0.0,0.0,0.80072,0.0,1.501351,0.585953,0.213175,0.115635,109.2899
1400000US18003010815,23060,"Fort Wayne, IN",low,243.74426917355305,1.2582719219128784,0.5087257447151918,12.11775321306271,293.9495291276021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122755,0.0,0.331516,0.152877,87.1217
1400000US18003010816,23060,"Fort Wayne, IN",low,244.5175358531639,1.167671265518935,0.5320376447670502,9.782979222136143,313.3281327756466,0.0,0.148949,0.148949,0.0,0.0,0.0,0.0,0.744743,0.693147,0.262954,0.148668,102.9484
1400000US18003010817,23060,"Fort Wayne, IN",low,242.48861773136582,1.2083157806803604,0.5283176007927534,14.34121137371246,677.4765407236083,0.0,0.0,0.0,0.687012,0.0,0.0,0.0,0.687012,-0.0,0.229277,0.237591,112.9292
1400000US18003010819,23060,"Fort Wayne, IN",low,241.1409406219486,1.2721343484744163,0.5549982278474973,17.200770685077995,511.16888493600993,0.0,0.659689,0.0,0.0,0.0,0.329844,0.0,0.989533,0.636514,0.153493,0.16048,73.4848
1400000US18003010821,23060,"Fort Wayne, IN",low,243.75038202843714,1.1474332953821949,0.5197704661629959,18.365360397433733,1373.200291555781,0.282038,0.0,0.0,0.564075,0.0,0.0,0.282038,1.128151,1.039721,0.250141,0.175267,87.4428
1400000US18003010900,23060,"Fort Wayne, IN",low,229.63023504817812,0.6743992289594603,0.4306485437238311,3.3616132823743037,1092.2890659651705,0.006076,0.0,0.0,0.0,0.006076,0.0,0.0,0.042529,0.693147,0.357832,0.11314,81.9287
1400000US18003011000,23060,"Fort Wayne, IN",low,234.78999289087463,0.4601244447376744,0.3668898291720014,2.2941765938213807,1204.7531973231794,0.006225,0.0,0.0,0.0,0.0,0.01245,0.0,0.056027,0.636514,0.237275,0.212826,126.2013
1400000US18003011100,23060,"Fort Wayne, IN",low,229.61109291637234,1.3801746949691693,0.5299496439073061,13.230351283016835,599.1228914676799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752215,0.0,0.316334,0.119573,90.1704
1400000US18003011201,23060,"Fort Wayne, IN",low,232.83228318715598,1.5068187534216555,0.4112761507990582,14.331020445306164,444.92178374767565,0.0,0.421081,0.0,0.0,0.0,0.10527,0.0,0.631622,0.500402,0.26776,0.065153,117.6578
1400000US18003011202,23060,"Fort Wayne, IN",low,234.98547929370167,1.2094258841454815,0.44979568690791066,12.393886764988345,589.8400968946366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204598,0.241586,114.3571
1400000US18003011204,23060,"Fort Wayne, IN",low,240.30608187111667,1.2728005658643686,0.4670092119812123,11.025679361541522,323.2001999175321,0.0,0.142377,0.0,0.0,0.0,0.0,0.0,0.142377,-0.0,0.267307,0.204372,86.7038
1400000US18003011205,23060,"Fort Wayne, IN",low,237.0898279154933,1.3126321542978705,0.5636998701146338,12.714427858438695,629.5298117985507,0.0,0.0,0.0,0.0,0.0,0.32159,0.0,0.32159,-0.0,0.270718,0.185083,77.3719
1400000US18003011302,23060,"Fort Wayne, IN",low,240.48455341609792,0.9878480615729218,0.49987496335896703,9.81505129167075,1184.0652257183815,0.226855,0.0,0.0,0.0,0.0,0.0,0.0,0.226855,-0.0,0.254641,0.174386,82.7622
1400000US18003011303,23060,"Fort Wayne, IN",low,239.01332965573818,1.435516822795852,0.44188007935956014,11.274699543762342,647.0350005186909,0.0,0.0,0.0,0.0,0.0,0.130746,0.0,0.130746,-0.0,0.341256,0.163229,77.4065
1400000US18003011304,23060,"Fort Wayne, IN",low,242.73715102003595,0.8966065064288563,0.40882393521037447,8.805763135624442,832.5218918348013,0.038774,0.0,0.0,0.0,0.0,0.0,0.0,0.038774,-0.0,0.332366,0.120457,68.468
1400000US18003011501,23060,"Fort Wayne, IN",low,245.8751380951479,2.0044856777776405,0.44117842949211256,20.332963542926347,492.6559606153002,0.100466,3.415853,0.100466,0.0,0.0,0.904196,0.0,5.626111,0.702856,0.187725,0.183854,88.2874
1400000US18003011502,23060,"Fort Wayne, IN",low,233.4617253638796,3.049457978564727,0.4751677055148626,14.333374616765798,393.76873017181447,0.122856,0.040952,0.0,0.0,0.0,0.0,0.0,0.245711,0.562335,0.168882,0.172771,114.8329
1400000US18003011603,23060,"Fort Wayne, IN",low,250.4864136223812,1.9944686971106544,0.5593620964515514,23.604795898629227,353.47335641818364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136885,0.0,0.198837,0.24877,84.9738
1400000US18003011604,23060,"Fort Wayne, IN",low,249.6291884108279,1.6657121208338639,0.5355485011091985,16.36707958862996,321.97043151650627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471259,0.0,0.244836,0.164085,85.7828
1400000US18003011605,23060,"Fort Wayne, IN",low,233.72543926566883,1.517819490189374,0.44606418606628345,18.037219427396483,410.8384606327195,0.0,0.0,0.062611,0.0,0.0,0.0,0.0,0.187833,-0.0,0.145619,0.241088,94.5914
1400000US18003011606,23060,"Fort Wayne, IN",low,253.6953426398174,1.9700315086945996,0.5267757386390104,17.316342162376312,286.20046359010706,0.152859,0.0,0.0,0.0,0.152859,0.0,0.0,1.222875,0.693147,0.242863,0.105517,87.2156
1400000US18003011607,23060,"Fort Wayne, IN",low,256.76396253712846,1.7701604383264897,0.49577655574197665,16.459237443125588,371.32041857400844,0.0,0.0,0.150137,0.0,0.0,0.0,0.0,0.150137,-0.0,0.336798,0.089533,94.4681
1400000US18003011608,23060,"Fort Wayne, IN",low,253.84109693696547,1.716041284684834,0.5018366412879753,9.614376672995714,261.2230706628945,0.0,0.114561,0.0,0.0,0.0,0.057281,0.057281,0.458245,1.039721,0.360826,0.094105,106.8761
1400000US18003011609,23060,"Fort Wayne, IN",low,245.0370451763123,2.556615164269486,0.573656795281038,27.07166397831074,297.7324154231322,0.107656,0.0,0.0,0.0,0.035885,0.0,0.0,0.322967,0.562335,0.256334,0.137579,112.1687
1400000US18003011701,23060,"Fort Wayne, IN",low,246.9548839837321,1.3563183838537096,0.43980074504983874,8.87870187091882,646.5643963157866,0.011193,0.0,0.0,0.0,0.0,0.0,0.0,0.929015,-0.0,0.282505,0.159787,103.0217
