cb_2020_3,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity
1400000US18089041200,0.0,0.086826,0.086826,0.0,0.0,0.173652,0.173652,1.12874,1.329661
1400000US18089041302,0.176602,0.0,0.0,0.0,0.0,0.0,0.0,0.706408,-0.0
1400000US18089041400,0.282743,0.0,0.0,0.0,0.0,0.0,0.0,0.84823,-0.0
1400000US18089041500,1.528736,0.0,0.0,0.0,0.0,0.0,0.0,2.547894,-0.0
1400000US18089041600,0.680143,0.0,0.0,0.0,0.0,0.0,0.0,1.360286,-0.0
1400000US18089041700,0.106468,0.106468,0.0,0.0,0.0,0.0,0.0,1.171153,0.693147
1400000US18089041800,0.25659,0.0,0.0,0.0,0.08553,0.0,0.0,1.454012,0.562335
1400000US18089041900,0.306199,0.1531,0.0,0.0,0.306199,0.0,0.0,2.908891,1.05492
1400000US18089042000,0.243088,0.0,0.0,0.0,0.0,0.0,0.0,0.891324,-0.0
1400000US18089042100,0.189376,0.0,0.0,0.0,0.0,0.0,0.0,0.757502,-0.0
1400000US18089042200,0.142025,0.0,0.0,0.0,0.0,0.0,0.0,0.710125,-0.0
1400000US18089042301,0.017852,0.0,0.0,0.0,0.0,0.0,0.0,0.178515,-0.0
1400000US18089042302,0.080284,0.080284,0.0,0.321136,0.0,0.321136,0.0,0.722556,1.19355
1400000US18089042401,0.273518,0.0,0.0,0.0,0.0,0.0,0.0,1.777868,-0.0
1400000US18089042403,0.515162,0.0,0.0,0.858603,0.0,0.0,0.0,1.717207,0.661563
1400000US18089042404,0.485142,0.0,0.0,0.242571,0.0,0.0,0.0,0.727713,0.636514
1400000US18089042405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245084,0.0
1400000US18089042501,0.270568,0.0,0.0,0.0,0.0,0.0,0.0,0.811704,-0.0
1400000US18089042503,0.0,0.177427,0.177427,0.532282,0.0,0.0,0.0,0.709709,0.950271
1400000US18089042506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206001,0.0
1400000US18089042507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213481,0.0
1400000US18089042508,0.0,0.0,0.148965,0.0,0.148965,0.0,0.0,0.893793,0.693147
1400000US18089042509,0.0,0.132167,0.0,0.396502,0.0,0.264334,0.0,1.057338,1.011404
1400000US18089042602,0.149422,0.0,0.074711,0.0,0.0,0.074711,0.074711,1.045954,1.332179
1400000US18089042606,0.0,0.0,0.5459,0.0,0.0,0.0,0.0,0.5459,-0.0
1400000US18089042607,0.131828,0.0,0.0,0.0,0.0,0.0,0.0,0.395485,-0.0
1400000US18089042608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892136,0.0
1400000US18089042610,0.135512,0.0,0.0,0.0,0.0,0.0,0.0,0.271024,-0.0
1400000US18089042611,0.072598,0.0,0.0,0.0,0.0,0.0,0.0,0.362992,-0.0
1400000US18089042612,0.0,0.0,0.0,0.0,0.0,0.301124,0.0,0.451686,-0.0
1400000US18089042613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251582,0.0
1400000US18089042702,0.203283,0.0,0.203283,0.0,0.0,0.203283,0.0,1.829549,1.098612
1400000US18089042703,0.0,0.0,0.0,0.0,0.193543,0.0,0.0,0.387087,-0.0
1400000US18089042704,0.194041,0.09702,0.0,0.0,0.0,0.194041,0.0,1.358286,1.05492
1400000US18089042802,0.672019,0.0,0.224006,0.0,0.0,0.0,0.224006,2.688078,0.950271
1400000US18089042803,0.0,0.0,0.0,0.532747,0.0,0.0,0.0,1.065493,-0.0
1400000US18089042804,0.0,0.301416,0.0,0.0,0.0,0.150708,0.150708,0.904249,1.039721
1400000US18089042901,0.05329,0.10658,0.0,0.0,0.0,0.10658,0.0,0.692773,1.05492
1400000US18089042903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150771,0.0
1400000US18089042904,0.061061,0.0,0.0,0.0,0.0,0.0,0.0,0.183183,-0.0
1400000US18089043001,0.0,0.184434,0.0,0.0,0.0,0.092217,0.0,0.368868,0.636514
1400000US18089043003,0.313365,1.566827,0.0,0.0,0.0,0.0,0.313365,3.44702,0.796312
1400000US18089043004,0.944132,0.0,0.0,0.0,0.472066,0.0,1.888265,5.192728,0.9557
1400000US18089043101,0.078232,0.078232,0.0,0.0,0.0,0.078232,0.0,0.391158,1.098612
1400000US18089043103,0.0,0.0,0.0,0.0,0.0,0.0,0.148534,0.297069,-0.0
1400000US18089043104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453548,0.0
1400000US18089043201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279466,0.0
1400000US18089043203,0.0,0.247297,0.0,0.0,0.0,0.164865,0.32973,1.318919,1.060857
1400000US18089043204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086982,0.0
1400000US18089043301,0.158242,0.632968,0.158242,0.0,0.158242,0.474726,0.0,3.164842,1.418484
1400000US18089043302,0.0,0.017302,0.0,0.0,0.0,0.034604,0.0,0.138415,0.636514
1400000US18089043401,0.006232,0.0,0.0,0.0,0.0,0.0,0.0,0.062317,-0.0
1400000US18089043403,0.071361,0.356803,0.0,0.0,0.0,0.214082,0.0,1.141771,0.936888
1400000US18089043404,0.006914,0.0,0.0,0.0,0.0,0.006914,0.0,0.013828,0.693147
1400000US18089043405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021229,0.0
1400000US18111100400,0.00552,0.0,0.0,0.0,0.0,0.00552,0.0,0.049678,0.693147
1400000US18111100500,0.009127,0.0,0.0,0.0,0.0,0.002282,0.0,0.034226,0.500402
1400000US18111100600,0.00808,0.0,0.0,0.0,0.0,0.0,0.0,0.016161,-0.0
1400000US18111100700,0.005761,0.0,0.0,0.0,0.0,0.0,0.0,0.046086,-0.0
1400000US18127050104,0.0,0.058584,0.029292,0.0,0.029292,0.058584,0.0,0.410086,1.329661
1400000US18127050105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200016,0.0
1400000US18127050106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081408,0.0
1400000US18127050107,0.0,0.0,0.0,0.022155,0.0,0.0,0.0,0.121852,-0.0
1400000US18127050202,0.0,0.637894,0.0,0.0,0.0,0.212631,0.0,3.189472,0.562335
1400000US18127050203,0.101292,0.075969,0.050646,0.050646,0.025323,0.126615,0.050646,0.886306,1.836698
1400000US18127050301,0.0,1.310177,0.0,0.0,0.0,0.131018,0.0,1.441195,0.304636
1400000US18127050302,0.044692,0.044692,0.0,0.0,0.0,0.044692,0.0,0.715066,1.098612
1400000US18127050405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.048873,0.0
1400000US18127050407,0.0,0.0,0.0,0.0,0.0,0.048175,0.0,0.674447,-0.0
1400000US18127050408,0.0,0.0,0.0,0.0,0.264493,0.264493,0.0,1.05797,0.693147
1400000US18127050409,0.133729,0.0,0.0,0.0,0.0,0.0,0.0,1.738483,-0.0
1400000US18127050501,0.770994,0.0,0.0,0.0,0.0,0.0,0.0,2.158782,-0.0
1400000US18127050503,0.387748,0.775496,0.387748,0.0,0.0,0.0,0.387748,3.877481,1.332179
1400000US18127050505,0.0,0.1271,0.0,0.0,0.0,0.0,0.0,0.7626,-0.0
1400000US18127050506,0.0,0.694354,0.0,0.0,0.173588,0.173588,0.173588,1.388707,1.153742
1400000US18127050507,0.0,0.0,0.0,0.0,0.0,0.488049,0.122012,1.220122,0.500402
1400000US18127050508,0.191565,0.0,0.0,0.0,0.0,0.191565,0.0,0.766258,0.693147
1400000US18127050509,0.0,0.192053,0.064018,0.0,0.0,0.128035,0.064018,0.832229,1.277034
1400000US18127050602,0.179853,0.0,0.0,0.0,0.0,0.0,0.0,1.079119,-0.0
1400000US18127050603,0.071013,0.0,0.0,0.0,0.0,0.0,0.0,0.071013,-0.0
1400000US18127050605,0.0,0.061004,0.0,0.0,0.0,0.122009,0.061004,0.610044,1.039721
1400000US18127050606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194617,0.0
1400000US18127050703,0.370129,0.370129,0.0,0.0,0.0,0.0,0.0,2.590906,0.693147
1400000US18127050704,0.436003,0.0,0.0,0.0,0.0,0.0,0.0,1.744013,-0.0
1400000US18127050705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446893,0.0
1400000US18127050706,0.496945,0.248472,0.248472,0.0,0.496945,0.745417,0.0,3.230142,1.522955
1400000US18127050801,1.074147,0.537074,0.537074,0.0,1.074147,2.148295,0.0,11.278547,1.470808
1400000US18127050802,0.355157,0.0,0.0,0.0,0.0,1.42063,0.0,4.261889,0.500402
1400000US18127050901,0.272828,0.818485,0.0,0.0,0.545657,1.63697,0.0,7.093538,1.198849
