cb_2020_3,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
1400000US40017301408,-4.353293800256393,2.1256376803941537,7.38580730333735,-0.8412640285331549,5.0404816410067,3.071059739015055,4.924173811107671,0.6098724370924785,-2.4189424633776286,1.123519916400334,-1.317421906100219,1.3493162997620949,2.474446851820299,0.33239405178935955,0.5360138827293801,-0.5636056209458042,1.3355316868286204,-0.8520002182687043
1400000US40017300300,1.1389898238505674,0.9373022732543327,2.8055082265103732,-3.8425017633634515,4.933490796694631,2.0962368070955213,4.475300159267509,0.6389525748762539,-0.5432821328730701,0.3490699195347274,-0.7660697911116048,-0.3981864106344393,0.7494577052932793,0.67590478459357,0.6950709514627026,-1.3274141195009475,-0.06806612170498968,-0.737957510555162
1400000US40017301201,1.7294879186465175,0.32513363971487513,2.527439857112749,-3.1948602367043697,4.640430492870286,2.0573043274435627,4.534322483165007,0.33991703613075397,-1.481051737663221,-0.7424018641328922,-0.5775532789598025,0.21333111600064905,0.39285055990748674,-0.16175988219208337,0.24998918261372932,-1.8224772962443276,-0.5656643351104906,-0.13164279531041959
1400000US40027200800,-0.9975463391306326,-0.03466852463868433,4.319561080091559,-2.5210366158159982,4.990180495812829,3.0362395516929412,4.575163219491656,0.057769435881709866,-2.47281925122075,-0.4629774260007209,-1.0557289712850257,0.13102233156689372,0.6571364538555401,0.508256426134999,0.10778702505525954,-0.7571539076880489,0.3745454288118446,0.5784416455546564
1400000US40027201204,-0.6778529687380259,0.5165231197451984,4.087602430157898,-3.1069021914742203,4.7656271108254336,2.9177692649118145,4.510037557956072,-0.47783993114122997,-2.224071088469291,-0.3267521712015613,-1.0111814486458177,-0.6946130880208294,0.9636127734269376,-0.05811520384168567,-0.3021907949395686,-1.4383970310321714,-0.44592585358129994,0.6342755104503373
1400000US40027201514,-3.314564266052437,2.200743516751978,7.913155411408766,-1.4052901020259536,4.882083632881257,3.204830725787098,4.716305032239119,-0.40248813586950255,-1.8156745189736534,1.418495479859871,-1.0871483807451525,0.2331850977858083,2.2364914305718235,0.3831399596464915,0.5633032741658699,-0.2410367029153322,0.8525974845458707,-0.07853672906264766
1400000US40027201604,1.748375982754307,-0.30933695961257246,4.841082512586616,-3.386419319173295,4.604818397803599,2.2241148776599804,3.4026639330273283,-0.9267461620705453,-3.1432018480302566,-0.5990817922148557,-0.4907293605391612,-0.3946725850586034,0.778779868416713,-0.5747486961464494,-0.8122137187250487,-1.404197986795981,-0.8927482759025809,1.0810523783166952
1400000US40027201609,0.022569351645288553,0.9871983659760898,4.7987514810990195,-2.529693524659774,4.904646315126099,2.582941757906041,3.954582915836702,0.2868397545648219,-2.0889879252771544,-0.09741741391291515,-1.1579995136904344,0.23161502736108525,1.0686251408810117,0.610398987942966,-0.20577716613022273,-0.9528165159402633,0.7050413938903916,0.15635140835201544
1400000US40027202102,2.446335115591249,-0.5985617716000944,3.646142981522557,-3.1173052026405017,4.372315409163758,1.654558534457691,3.6044057812334107,-0.6123109916961396,-2.6062575650437734,-0.6069860936209583,-0.7027866915741882,-0.2951436367531677,0.17279020026836278,-0.4176063283501915,-0.5657149815756951,-1.5930770548600577,-0.990444659500399,0.6704401395149727
1400000US40027202403,-5.669774674579096,-0.12953581492241995,4.941130413049755,0.6760058067541899,3.8460182788231956,1.8070463336078664,5.834887630752101,1.3550689575652854,-1.7721809481871762,-0.1818476870779175,-2.5130342876537255,1.6017257795776494,0.23735425256325798,0.5932574197592848,0.8081570865588794,-0.0626135827923966,1.141300898577695,-1.0709119271994427
