cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,elev_mean,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US06099000911,0.1705756014166269,-0.2695984755604917,0.2045114482652487,0.0441188454377203,0.0713437299247197,0.0048422754057959,-0.0130053340622204,0.0022371502967346,-0.062321695703037,-0.1422323907352596,0.215236144064285,0.0486453469173123,-0.1334593004377655,-0.1742718223836102,-0.0303619784134359,-0.0539580524907853,0.0507401375042149,0.0623425090843702,0.0124456666924208,0.0399820463182942,-0.0159869791426401,-0.016195055695832,-0.0902273521001088,-0.011295122072756,0.0030160979623236,0.3152211005572239,-0.0315200511512458,0.0313407641292078,0.1724184919340922,-0.0124240278072711,-0.0593717291890609,-0.2561843753767024,-0.0340251204708766,-0.0986187889704923,0.0691991955770912,0.0148070921329046,-0.1959332955511961,-0.0928687962269005,-0.1746084811487124,0.0680781473098316,-0.1125164172388896,-0.1969037979622173,0.1092456174661015,-0.0998136509661428,0.129447534870203,0.0614552530286905,-0.0797578494909986,0.108976729397058,0.0938221983559962,0.0177538175551396,-0.0420806118404167,0.1065801516942414,-0.0833024597229158,0.0153414877279485,-0.015061888678454,-0.1915480009526418,0.1892873410877711,-0.0452645671491185,-0.0356805062035252,-0.0053264220338303,0.1669824403077894,0.0652395503009775,-0.1402000413471842,0.0656277844953644,31.77300136519252,4773,1.335345,3574.357188591712,8.181820363029933
1400000US06099000915,0.1310323014147007,-0.2657985201538788,0.2608554680900629,0.0607244657078734,0.0636308049173435,0.0063336665841626,0.0374537070544187,0.055694643116288,-0.0676659317385378,-0.1458060800088821,0.1760236221349211,0.0341114412735876,-0.1233449191676005,-0.1457583701752187,0.0081894220665816,-0.0478700943418569,0.0097473756827511,0.0589861236231319,-0.020470987185733,0.0048778015949977,0.0183967782586775,-0.0436859836698127,-0.0524264439842595,0.0243668201364361,0.0386464012389056,0.2665406313833484,-0.068543303386915,0.0196042011545261,0.2022457643460373,-0.0228597835672096,-0.0372326889108935,-0.2617511953067066,0.004047435557622,-0.1151952627231263,0.0201219334667592,0.0566369174179339,-0.1569378404301562,-0.1007669986600468,-0.2174057863458108,0.0492270491351307,-0.0664854457782115,-0.2094679270923748,0.033654701824496,-0.1402888130177604,0.1282967563858296,0.0812843032220358,-0.0431547085636419,0.1158853497130278,0.0503407872975172,0.0471602924679066,-0.0626092165014885,0.1779215678971238,-0.1084466905429583,0.0049316337916493,-0.0391313415212195,-0.1862318110603792,0.1577760437207125,-0.0547444449798478,-0.026512171265693,0.0106708815321044,0.1479970283528003,0.0292119476613811,-0.0793362101350694,0.0454212070038245,34.147408013770885,4088,1.916954,2132.549868176284,7.665542476236438
1400000US06099002505,0.1587491237953361,-0.2470729628319032,0.2472206733407485,0.0702056773939377,0.0595471647294879,0.0183129091750471,0.0639459504782539,0.0283112117696004,-0.0798785148014541,-0.1314199171034098,0.1636966569838343,0.0034914954168434,-0.1351422770551005,-0.1449799135188744,-0.0102617099382377,-0.0775580334590149,0.0431357451055949,0.0502677706817196,0.0058018362926117,0.0124152443186396,0.0079495368097107,-0.0574599673191071,-0.0766709544839928,0.0046382204401075,0.0393110256901808,0.2913775238759587,-0.055984081821783,0.0232780024456279,0.1905406826510643,0.0108026271474881,-0.0154128603101997,-0.2749545996309013,0.005239053962576,-0.1313535886439991,0.0444844813072982,0.0563301899794775,-0.1794994855897952,-0.1043083611399276,-0.2372169314272359,0.0623936243796859,-0.0467157123645324,-0.2232928090268542,0.0385909026703664,-0.1388671242695484,0.1227655531677433,0.0763923214955501,-0.0558694739065153,0.0944028415386019,0.0308197091456075,0.0521388379554787,-0.07685591263439,0.1573767059398598,-0.099945922253222,-0.0207920348516142,-0.0196790085303037,-0.1912685526816123,0.1665310224702244,-0.0568825630712985,-0.0206815662667178,-0.0048049222321934,0.1623405105254655,0.0456666123167412,-0.1148040943805646,0.0762032092162635,26.382298275640032,4917,1.306007,3764.9109078282127,8.233745051961222
1400000US06099000913,0.1624761028393816,-0.2680154453409669,0.227059456659829,0.0546498144352568,0.0617375028401974,0.0013352933430723,0.0131241630119379,0.0273714295267342,-0.050886824724026,-0.1408912574085399,0.1971909289444142,0.0436989874376468,-0.1289856261573727,-0.1695216429675288,-0.0064396051312961,-0.0427263640206786,0.0387413168017017,0.0642429162136738,0.0014770344423612,0.0175360778902952,0.0014027595556379,-0.02673656369491,-0.068592067594233,0.0082629501983734,0.0253245643402882,0.2808782279404853,-0.0585302339902423,0.0285424965172755,0.1847576605943224,-0.0150851949322482,-0.0463234500372352,-0.2490383967663373,-0.0291611256085007,-0.1120738404829605,0.0423842536471365,0.0264071006071001,-0.1816895749027008,-0.0980692175060835,-0.1942803901841092,0.0593628609133805,-0.0836716485381636,-0.2037249547732099,0.0603179288810402,-0.1107851935555253,0.1412579580490865,0.0733108853406021,-0.064686529973067,0.1043781663828779,0.0698765424284223,0.039369142309363,-0.0480665739497893,0.1333348961634486,-0.1022046982205365,0.0109484430160264,-0.0357694514268397,-0.2085273362179619,0.1826974258870902,-0.049264704347182,-0.0315009806164595,-0.0008550982319898864,0.1533780083516817,0.0560832346867861,-0.1131012599498139,0.0590873871666423,33.50111908262187,6144,2.619291,2345.6729321026187,7.760753830410508
1400000US06099000202,0.0965872101730432,-0.23867201838406,0.2188996312378908,0.1018569524398303,0.0773953680000501,0.0357632913593219,0.0414217351084811,0.0924137801055804,-0.0725665200318465,-0.0832266421269286,0.1551917005850152,0.0050488213876251,-0.0982188071435952,-0.1470278722198114,-0.0189141064250333,-0.0301097349218656,0.0175916564551228,0.0382222655449014,-0.0356235538579565,0.0031995249098656,-0.0012825736354985,-0.0804723802319522,-0.0372581523961773,0.0409848412133255,0.0897460535249262,0.2182729831451255,-0.0741945752583451,0.0391275428305431,0.177552752174335,-0.0374844193389374,-0.0631460544301944,-0.2223294821588422,0.0429380040523321,-0.1280042327001632,-0.0313776631308136,0.037016154432707,-0.1451899408300644,-0.1127734542064528,-0.2312535572901128,0.0898066824846339,-0.0078621835278873,-0.2018894965843311,0.0404266109147537,-0.1449874428913046,0.12239438738808,0.0948583677158069,-0.0363633896259886,0.0931793877462816,0.0416456993978913,0.0488201275677805,-0.0914784922438584,0.1977230533953629,-0.0668152808281886,0.0020969034429364,-0.0713394836102383,-0.2126100576338943,0.1670218127752846,-0.0745615675325359,-0.0113733779644151,-0.0206080599848909,0.1108746460074791,-0.0043914384543368,-0.0412312864293973,0.0357519042679523,51.46748634445732,7188,4.679901,1535.929926722809,7.337542151557728
1400000US06099000905,0.1758856064347134,-0.2773790457958678,0.1823834494469805,0.075265622089217,0.0870610623052794,0.0026117509892577,-0.0230394820287383,0.0184486372607729,-0.0285462997500556,-0.1306956899091261,0.2065893255578,0.0325881824126316,-0.1582563902282105,-0.1982839779074714,-0.024380023745471,-0.010312412354637,0.0256114587446032,0.0634983671001105,-0.0008446294825924187,0.0382648206194474,-0.019841754255788,-0.0220706443744237,-0.0830929834714951,0.0086523687748427,0.0250811691688296,0.3224514084295029,-0.0548688542210693,0.0412556118159751,0.1667358629042289,-0.0175252336933464,-0.0659314491244868,-0.2412118976614586,-0.0385496340454329,-0.0696720788673201,0.0671021807318129,-0.0031091041345492,-0.185008008626367,-0.0838109175791297,-0.1693959629983608,0.0526259058821864,-0.116936233121199,-0.1894696157526478,0.1068100011229836,-0.0919915668928375,0.1317699793152545,0.0691869588583652,-0.0740798800565044,0.0845258749583475,0.0827700608068021,0.0181629409388032,-0.0412846369912632,0.0972505375903506,-0.1066033977048489,0.0563345264502541,-0.0039307181480047,-0.2341957546525115,0.1964881402067311,-0.027671230565938,-0.0227720179781302,0.0192064785337574,0.1789915504727262,0.0463226694768994,-0.1345595224118241,0.0524827427717819,32.445621024942874,6534,2.452202,2664.5439486632827,7.888163424089106
1400000US06099000602,0.1260988658207628,-0.2542754360541264,0.2179569612438481,0.0648446828241396,0.0512475751840499,-0.0271033599181666,0.0387687455993985,0.031129614439249,-0.105426375730004,-0.0821671313536749,0.1946684366631609,0.0327627905995485,-0.1052363581454501,-0.1633517216670754,-0.0403339468216649,-0.1054934245806581,0.050402426037335,0.040254334003995,-0.0243498079894911,-0.019143523600044,0.011762980302293,-0.0387636281968843,-0.1280619147615254,-0.0194816381777085,-0.0050014489360185,0.203241805730669,-0.0297427902817109,0.0572513835302799,0.1507121781485239,0.0107762576243674,-0.0040441636171796,-0.2432684070357099,0.047370405574505,-0.1531371153013235,-0.0114467938776651,0.0516673206739297,-0.1747542033778565,-0.0769254452822799,-0.2190038125920425,0.0508423154080127,-0.0399525975632099,-0.2030590561868021,0.0231238867582241,-0.1416930661689193,0.1252113874346964,0.1079645185039582,-0.0480157494807649,0.093813172623734,0.0646726126670444,0.0546242050859442,-0.0887261632473915,0.200995116962179,-0.0990944351327477,-0.0230151965362044,-0.0401464812383841,-0.1817073506515675,0.1443559282816635,-0.0785747785942719,0.0045566352222629,-0.0411384646998813,0.1283424985144783,-0.0203994317101952,-0.09906705757747,0.0731366752210247,24.493214665424997,3149,3.915975,804.1420080567419,6.691018669384489
1400000US06099002304,0.1308046735504477,-0.2194867224971858,0.2413381779269265,0.0438962855101109,0.0765814180371679,-0.0216071022034818,0.0171841693750517,-0.0019559932246494,-0.090516062920199,-0.1060794601961231,0.1827983361968747,0.0506944397362867,-0.1080902023521768,-0.1781485038826279,-0.0419271490250297,-0.0889935228159915,0.0790575580374342,0.0721731347163021,-0.0072115050206676,-0.0158895943093968,-0.0044911551480919,-0.0153010145355602,-0.1152509475873383,0.0141971251402617,0.0047404609145763,0.257432667031256,-0.0571359139647179,0.0473704054145999,0.18242144382563,0.0262497652630231,-0.0202274092639397,-0.2266074072944993,0.0330460246130121,-0.168422017977898,0.0359332148044561,0.0219236889166804,-0.1910291475543371,-0.0710544414710412,-0.2226905383136685,0.0568918643368313,-0.0634952471937743,-0.2353760257537207,0.0316132696682699,-0.1375656566616404,0.1426817463803148,0.119138665281608,-0.0693657203248875,0.0902630701529259,0.0734182089665495,0.0257390896948867,-0.0785203003133462,0.1941636035471061,-0.0825667122866774,-0.006205298717164,-0.0374457621431131,-0.2059226644727308,0.1745595027421273,-0.0948878236518332,-0.0076082044831593,-0.0586521951199748,0.1354428035732268,0.0218276778625645,-0.0920539888318122,0.0582900780821275,25.5154059896006,3020,1.278597,2361.9639339056794,7.767672014228991
1400000US06099000806,0.1777754863952456,-0.2813161921707685,0.1943699190964141,0.0466444096170848,0.0771603310717859,0.0088326417690199,-0.0137927826147123,-0.0007797073429275179,-0.0628099184561255,-0.1393831136074481,0.2146585359981685,0.0324410004545894,-0.1453909716793452,-0.195027035573292,-0.0274202446279264,-0.0397155408913247,0.0220602446711061,0.063209053069519,-0.0085426020088102,0.0391234942534494,-0.026776460295176,-0.0192881648135505,-0.0908011545571099,0.0015342382553186,0.0226436291887222,0.3317750165968552,-0.0442768995964971,0.032292365592381,0.1675713548792222,-0.0305062784989038,-0.0741697883977833,-0.2485365791849676,-0.0603812802686719,-0.072756617242816,0.0673320485337505,-0.0243562511081603,-0.1851363118371106,-0.0958390258638791,-0.1597747471121618,0.0431920271125959,-0.1255039678602331,-0.1944259844942757,0.1094692876783924,-0.0933260800672168,0.1492775473328073,0.0670781464551566,-0.0671474283100974,0.0910691318089825,0.1082842068259645,0.0293884972712128,-0.0330527959134212,0.0838517363190024,-0.1009201641156899,0.0457182041377496,-0.0194781829428071,-0.2173364311100339,0.1974346727264572,-0.0376292965702023,-0.0342482108628329,0.03274820660258,0.1529315672439881,0.0516206102699713,-0.1452451966038128,0.0608248848247647,26.158537910427764,4612,1.41266,3264.7629295088695,8.091248683482734
1400000US06099003908,0.1474646226722984,-0.2532808858607004,0.2076066294973721,0.067126981821971,0.0469806108939136,-0.029832196466864,0.0389540532566664,0.0465344658395338,-0.1300166077609626,-0.1059370969151217,0.2111351252536611,0.0067702168584238,-0.115573343130588,-0.1447947280106576,-0.026139881066754,-0.0938836796756269,0.0005760700824468711,0.0266514176261735,-0.0374845849077635,-0.0086127876869022,-0.0012074699222745,-0.0559539196497534,-0.1213551925258444,-0.0396237344938935,0.0035322521440238,0.2322637150500672,-0.0188718020070608,0.0472195004390942,0.1619362489627267,0.0155392822501935,-0.0307543748647601,-0.2588619798152842,0.0266752117128476,-0.1350245892765749,-0.0145721241439133,0.0722798526933174,-0.1379561773414106,-0.0927655578117119,-0.2338114334497057,0.0575745832607875,-0.0604698068124327,-0.1955009015494078,0.0488490662351245,-0.138423716424376,0.1197510952302924,0.1039708258682675,-0.0500841044286377,0.1064068293798001,0.0511643173170158,0.043815180952687,-0.0939314681680357,0.1762156570987331,-0.0786733059165888,-0.020836174130476,-0.0496203390384111,-0.1477936258127102,0.1515191653417077,-0.059143718750202,-0.0105506578368876,-0.0208378524242439,0.1461922334711707,0.0010644344423261,-0.0774765330905782,0.1095558868944331,31.52244725867151,2836,1.009807,2808.4574577122166,7.940746668139054
